Assemblage_Name	0-1-0	0-1-1774091	0-1224718-4970189	9323835-1-4970189	4-3-2990401	0-1-6593291	0-1-4970189	9274966-1-4970189	6375804-1-4970189	4895060-1-4970189	0-7422084-4970189	4880371-3-0	4-3-0	5125514-1-4970189	0-2512628-4970189	0-5729463-4970189	0-5439127-4970189
assemblage-15-2	13	0	0	0	1	0	143	0	1	0	0	2	40	0	0	0	0
assemblage-11-3	0	1	0	0	0	0	198	1	0	0	0	0	0	0	0	0	0
assemblage-11-2	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0
assemblage-12-4	0	0	0	0	0	3	164	0	0	0	0	2	31	0	0	0	0
assemblage-28-1	21	0	0	0	0	0	78	0	0	0	0	0	100	0	1	0	0
assemblage-12-1	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0
assemblage-12-2	29	0	0	0	0	0	83	0	0	0	0	0	88	0	0	0	0
assemblage-2-3	0	0	0	0	0	5	166	0	0	0	0	1	28	0	0	0	0
assemblage-1-4	32	0	0	0	0	0	126	0	0	0	0	0	42	0	0	0	0
assemblage-3-2	104	0	0	0	0	0	7	0	0	0	0	0	89	0	0	0	0
assemblage-21-4	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0
assemblage-21-3	0	0	1	0	0	0	199	0	0	0	0	0	0	0	0	0	0
assemblage-28-3	0	0	0	0	0	0	198	0	0	1	0	0	0	0	0	0	1
assemblage-25-4	54	0	0	0	0	0	58	0	0	0	0	0	88	0	0	0	0
assemblage-6-2	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0
assemblage-7-3	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0
assemblage-20-3	0	0	0	1	0	0	199	0	0	0	0	0	0	0	0	0	0
assemblage-20-1	110	0	0	0	0	0	11	0	0	0	1	0	78	0	0	0	0
assemblage-18-4	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	1	0
assemblage-16-2	0	0	0	0	0	1	174	0	0	0	0	4	21	0	0	0	0
assemblage-19-1	39	0	0	0	0	2	90	0	0	0	0	0	68	1	0	0	0
assemblage-4-4	102	0	0	0	0	0	7	0	0	0	0	0	91	0	0	0	0
