Assemblage_Name	4-0-8921161	4-0-5800492	4-0-3918580	7668207-0-1	4-0-1	4-7421822-1	4-4794792-1	3120267-0-1	4-0-7525875	105665-0-1	4-3219510-1	3340890-0-1
assemblage-15-2	0	0	0	0	199	0	0	0	0	1	0	0
assemblage-11-3	0	0	0	0	199	0	1	0	0	0	0	0
assemblage-11-2	0	0	0	0	199	0	1	0	0	0	0	0
assemblage-12-4	0	0	0	0	200	0	0	0	0	0	0	0
assemblage-28-1	0	0	0	1	199	0	0	0	0	0	0	0
assemblage-12-1	0	0	0	0	199	1	0	0	0	0	0	0
assemblage-12-2	0	0	0	0	200	0	0	0	0	0	0	0
assemblage-2-3	0	0	0	0	200	0	0	0	0	0	0	0
assemblage-1-4	0	0	0	0	199	0	1	0	0	0	0	0
assemblage-3-2	0	0	0	0	200	0	0	0	0	0	0	0
assemblage-21-4	0	3	0	0	197	0	0	0	0	0	0	0
assemblage-21-3	0	0	0	0	199	0	1	0	0	0	0	0
assemblage-28-3	0	0	0	0	199	0	0	0	0	0	1	0
assemblage-25-4	0	0	0	0	200	0	0	0	0	0	0	0
assemblage-6-2	1	2	0	0	197	0	0	0	0	0	0	0
assemblage-7-3	0	0	0	0	197	0	1	1	1	0	0	0
assemblage-20-3	0	2	0	0	198	0	0	0	0	0	0	0
assemblage-20-1	0	0	0	0	200	0	0	0	0	0	0	0
assemblage-18-4	0	0	0	0	198	0	2	0	0	0	0	0
assemblage-16-2	0	0	0	0	200	0	0	0	0	0	0	0
assemblage-19-1	0	0	1	0	198	0	0	0	0	0	0	1
assemblage-4-4	0	0	0	0	200	0	0	0	0	0	0	0
