Assemblage_Name	1-1895797-2840273	1080247-2-3	1-2-3996369	1-2-9056756	1-2295293-2840273	7297216-2-3	1-3469557-2840273	2857803-2-3	1-2-2840273	8768529-2-2840273	8852275-2-3	1-8286712-3	1-2-3
assemblage-15-2	2	0	0	0	0	0	0	0	72	0	0	0	126
assemblage-11-3	0	0	1	0	0	0	0	0	115	0	0	0	84
assemblage-11-2	0	0	0	0	0	0	0	0	89	0	0	0	111
assemblage-12-4	0	0	0	0	0	0	0	0	102	1	0	0	97
assemblage-28-1	0	0	0	0	0	1	0	0	31	0	0	0	168
assemblage-12-1	0	0	0	0	0	0	0	1	17	0	1	3	178
assemblage-12-2	0	0	0	0	0	0	0	0	36	1	0	0	163
assemblage-2-3	0	0	0	1	0	0	2	0	87	0	0	0	110
assemblage-1-4	0	0	0	0	0	0	0	0	68	0	0	0	132
assemblage-3-2	0	0	0	0	0	0	0	0	43	0	0	0	157
assemblage-21-4	0	0	0	0	0	0	0	1	20	0	0	4	175
assemblage-21-3	0	0	0	0	1	0	0	0	87	0	0	0	112
assemblage-28-3	0	1	0	0	0	0	0	0	7	0	0	1	191
assemblage-25-4	0	0	0	0	0	0	0	0	37	0	0	0	163
assemblage-6-2	0	1	0	0	0	0	0	1	16	0	0	1	181
assemblage-7-3	0	0	0	0	1	0	0	0	103	0	0	0	96
assemblage-20-3	0	0	0	0	0	0	0	0	12	0	0	2	186
assemblage-20-1	0	0	0	0	0	0	0	0	42	0	0	0	158
assemblage-18-4	0	0	0	0	1	0	0	0	49	0	0	4	146
assemblage-16-2	0	0	0	0	0	0	0	0	111	0	0	0	89
assemblage-19-1	0	0	0	0	0	0	0	0	65	0	0	0	135
assemblage-4-4	0	0	0	0	0	0	0	0	54	0	0	0	146
