Assemblage_Name	0-1724081-1	0-0-1	5672923-0-1	4408064-0-1	0-0-6674415	467560-0-1	4259454-0-1	0-1921202-1	180335-0-1
assemblage-15-2	0	200	0	0	0	0	0	0	0
assemblage-11-3	0	196	0	0	4	0	0	0	0
assemblage-11-2	0	198	0	0	2	0	0	0	0
assemblage-12-4	0	197	0	2	0	0	1	0	0
assemblage-28-1	0	200	0	0	0	0	0	0	0
assemblage-12-1	0	163	5	0	32	0	0	0	0
assemblage-12-2	0	200	0	0	0	0	0	0	0
assemblage-2-3	0	196	0	2	0	0	1	0	1
assemblage-1-4	0	199	0	0	1	0	0	0	0
assemblage-3-2	0	200	0	0	0	0	0	0	0
assemblage-21-4	0	167	3	0	29	1	0	0	0
assemblage-21-3	2	196	0	0	1	0	0	1	0
assemblage-28-3	0	170	13	0	16	1	0	0	0
assemblage-25-4	0	200	0	0	0	0	0	0	0
assemblage-6-2	0	176	14	0	10	0	0	0	0
assemblage-7-3	1	197	0	0	1	0	0	1	0
assemblage-20-3	0	168	7	0	25	0	0	0	0
assemblage-20-1	0	200	0	0	0	0	0	0	0
assemblage-18-4	0	184	2	0	14	0	0	0	0
assemblage-16-2	0	200	0	0	0	0	0	0	0
assemblage-19-1	0	199	0	1	0	0	0	0	0
assemblage-4-4	0	200	0	0	0	0	0	0	0
