Assemblage_Name	4-9456874-4	4-2-4	3-3-5247469	4-5834181-4	9425009-2-4	3-3-3	5311318-2-4	9425009-2-7586239	6408701-2-4	6567703-3-3	3-3-6927797	7591067-3-3	2850446-3-3	4-9621865-4	2824570-2-4
assemblage-15-2	0	141	0	0	0	59	0	0	0	0	0	0	0	0	0
assemblage-11-3	0	96	1	0	0	79	0	0	0	24	0	0	0	0	0
assemblage-11-2	0	106	0	0	0	68	0	0	0	26	0	0	0	0	0
assemblage-12-4	0	152	0	0	0	40	0	0	0	7	0	0	0	1	0
assemblage-28-1	0	118	0	0	0	82	0	0	0	0	0	0	0	0	0
assemblage-12-1	0	183	0	0	0	11	0	0	0	5	0	1	0	0	0
assemblage-12-2	0	138	0	0	0	62	0	0	0	0	0	0	0	0	0
assemblage-2-3	0	157	0	0	0	36	0	0	0	7	0	0	0	0	0
assemblage-1-4	0	127	0	0	0	57	0	0	2	13	0	0	0	1	0
assemblage-3-2	0	103	0	0	0	94	0	0	3	0	0	0	0	0	0
assemblage-21-4	0	189	0	0	0	7	0	0	0	4	0	0	0	0	0
assemblage-21-3	0	95	0	0	0	73	0	0	0	32	0	0	0	0	0
assemblage-28-3	1	181	0	0	0	15	0	0	0	2	0	1	0	0	0
assemblage-25-4	0	105	0	0	0	94	0	0	0	0	0	0	1	0	0
assemblage-6-2	1	175	0	0	0	15	0	0	0	9	0	0	0	0	0
assemblage-7-3	0	100	0	0	0	71	0	0	0	29	0	0	0	0	0
assemblage-20-3	0	188	0	0	0	6	1	0	0	5	0	0	0	0	0
assemblage-20-1	0	94	0	0	3	102	0	1	0	0	0	0	0	0	0
assemblage-18-4	0	130	0	0	0	50	0	0	0	19	0	1	0	0	0
assemblage-16-2	0	151	0	0	0	45	0	0	0	4	0	0	0	0	0
assemblage-19-1	0	125	0	0	0	71	0	1	0	1	0	0	0	0	2
assemblage-4-4	0	103	0	1	0	95	0	0	0	0	1	0	0	0	0
