Assemblage_Name	1-1-7929181	1-9318669-4	6138805-1-4	1-1-2793107	7852607-1-4	1-6229333-4	1-8628416-9421955	1-1-9513763	1-1-9162474	3483457-1-4	1-1-9581346	1-1-992093	2159016-1-4	1-9910602-4	1-1-9922478	1-8628416-4	1-8460931-4	5584348-1-4	1-7598282-4	5449887-1-4	1-1-4	3079275-8628416-4	4768241-1-4	1-1-6724345	1-1-8361198	1-8628416-9776450	1-7481930-4	4649027-1-4
assemblage-15-2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	20	0	0	0	0	170	0	0	1	0	0	0	5
assemblage-11-3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	31	0	0	0	0	167	0	0	0	0	0	0	0
assemblage-11-2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	33	0	0	0	0	164	0	0	0	0	0	0	0
assemblage-12-4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	151	0	0	0	0	0	0	10
assemblage-28-1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	186	0	0	6	0	0	4	0
assemblage-12-1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	190	0	0	0	0	0	0	0
assemblage-12-2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	193	0	0	2	0	1	0	0
assemblage-2-3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	40	0	0	0	0	153	0	0	0	0	0	0	4
assemblage-1-4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	181	0	0	5	0	0	0	2
assemblage-3-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	1	8	0	0	1	0
assemblage-21-4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	186	0	0	0	0	0	0	0
assemblage-21-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	169	0	0	0	0	0	0	1
assemblage-28-3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	12	0	0	0	1	181	0	0	0	0	0	0	0
assemblage-25-4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	190	0	0	9	0	0	0	0
assemblage-6-2	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	9	0	0	0	1	184	0	0	0	0	0	0	0
assemblage-7-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	170	0	0	0	0	0	0	0
assemblage-20-3	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	9	0	0	0	1	185	0	0	0	0	0	0	0
assemblage-20-1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	191	0	0	5	1	0	0	0
assemblage-18-4	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	13	0	0	1	0	182	0	0	0	0	0	0	0
assemblage-16-2	0	0	5	1	0	0	2	0	0	0	0	0	0	0	0	42	0	0	0	0	144	2	0	0	0	0	0	4
assemblage-19-1	0	0	1	0	0	0	2	0	0	0	0	1	0	0	1	11	0	0	0	0	177	0	0	2	0	0	2	3
assemblage-4-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	180	0	0	17	0	0	2	0
