Assemblage_Name	2-2-3290345	2-2-4512563	9742153-5574220-1	2-2-995913	2-2721204-1	2-4108311-1	2-2505253-1	2-2-2306527	2-3347205-1	5430468-2-1	2-2-1	2-5787310-1	2-7041592-1	56075-2-1	3628217-6117365-0	2-9920379-1	2-2-4142623	2-2-2106585	9742153-2-1	2-2-6574536	2-2231982-1	2-2-5967771	2-1638419-1	3628217-6117365-2346672	2-2-783337	2-6431289-1	2-2-9285049	2-2-19937	2-3852243-1	3661030-2-1
assemblage-15-2	0	0	0	0	1	0	0	0	0	0	197	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
assemblage-11-3	0	0	1	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0
assemblage-11-2	0	0	1	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-4	0	0	0	0	0	1	0	0	0	0	198	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-1	0	0	0	0	0	0	0	1	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
assemblage-12-1	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-2	0	0	0	0	0	0	0	0	0	0	196	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
assemblage-2-3	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-1-4	0	0	0	0	0	0	0	0	0	0	188	0	0	0	3	0	0	0	5	1	0	0	0	1	0	0	1	1	0	0
assemblage-3-2	0	0	0	0	0	0	0	0	0	0	195	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-4	0	0	0	0	0	0	0	0	1	0	196	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
assemblage-21-3	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-3	0	0	0	0	0	0	0	0	0	1	197	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
assemblage-25-4	0	0	0	0	0	0	0	0	0	0	197	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-6-2	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
assemblage-7-3	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0
assemblage-20-3	0	1	0	0	0	0	0	0	0	0	197	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
assemblage-20-1	0	0	0	0	0	0	0	0	0	0	190	0	0	2	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-18-4	0	0	0	0	0	0	1	0	0	1	194	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
assemblage-16-2	1	0	0	1	0	0	0	0	0	0	197	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-19-1	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
assemblage-4-4	0	0	0	0	0	0	0	0	0	0	184	0	1	0	12	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
