Assemblage_Name	4133708-2-3	4-0-8717902	4-2-2322417	4-2-5960891	4-9170258-3	6792767-2-3	4-2750818-3	4-2-140273	4-2158773-3	1227092-2-3	5374761-2-3	4-3473716-3	7232642-4-1	3-1-2692061	4-7897733-3	4-8642532-3	5183844-2-3	4-2-3680066	4489603-2-3	4-2-567046	7238335-2-3	4-2241882-3	4-2-5719633	8514673-2-3	4-2-4031791	3-1-4	2-4-1	4-2-874899	5374761-6025398-3	4-2-3	1208689-2-3	4-2-1634010	293780-2-3	228029-2-3	4-2-6846063	4-2-6686834	4-7056639-3	4-2581135-3	4-2-8160325	850730-2-3	6896202-0-0	4-2-9543410	4-0-0
assemblage-14-31	0	0	0	1	0	0	0	0	0	3	17243	2	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	147835	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-1-16	0	0	0	1	0	0	0	2	0	0	18335	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	146751	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-73-41	1	0	0	0	0	0	0	0	0	0	14300	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	149754	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-73-62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	163810	0	0	0	0	0	0	0	0	5	0	0	0	0
assemblage-41-8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	578	0	0	3959	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-60-72	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	930	155	0	0	2180	0	0	0	0	0	0	0	0	0	0	2	0	1257
assemblage-40-68	0	0	0	0	210	0	0	0	1	0	0	0	0	0	60	0	0	0	226	0	0	0	0	1	0	0	0	0	0	163374	0	0	0	1	1	0	0	0	0	0	0	4	0
assemblage-9-16	0	0	0	0	417	0	0	0	0	11	30793	0	0	1	41	0	3	0	290	28	0	0	0	0	0	1353	20	0	1	627549	0	2	0	0	0	1	0	1	0	0	0	9	915
assemblage-13-43	0	0	0	0	285	0	0	0	0	0	0	0	0	0	64	0	0	0	402	0	0	0	0	0	0	0	0	0	0	163127	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-62-37	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	4	0	163798	3	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-34-51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	4556	0	0	4	0	0	0	0	0	0	0	0	0	5
assemblage-70-53	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	3395	0	0	0	352	0	0	0	0	0	0	0	0	0	0	6	0	603
assemblage-27-49	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	3358	0	0	0	387	0	0	0	0	0	0	0	0	0	0	15	0	618
assemblage-15-46	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	2184	8	0	0	1651	0	0	0	0	0	0	0	0	0	0	0	0	669
assemblage-43-9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	6	0	163804	0	0	0	0	0	0	0	0	2	0	0	0	0
assemblage-25-47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	4391
assemblage-53-34	0	0	0	0	316	0	1	0	0	0	0	0	0	0	63	0	0	0	337	0	0	0	0	0	0	0	0	0	0	163155	0	3	0	0	0	0	0	0	0	1	0	2	0
assemblage-17-33	0	0	0	0	0	0	0	0	0	0	16507	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	47	147507	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-17-4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	14	574	0	0	3945	0	0	0	0	0	0	0	0	0	0	0	0	38
assemblage-26-45	0	0	0	0	0	0	0	0	0	0	17847	0	0	0	0	0	0	0	0	36	0	0	2	0	0	0	0	0	0	147219	0	0	0	0	0	0	1	0	0	0	0	0	0
assemblage-59-24	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	646	186	0	0	2959	0	0	0	0	0	0	0	0	0	0	0	0	776
assemblage-73-8	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	3363	0	0	0	401	0	0	0	0	0	0	0	0	0	0	3	0	593
assemblage-22-55	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	873	21	0	0	1143	0	0	0	0	0	0	0	0	0	0	0	0	2528
assemblage-52-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	4558	0	0	4	0	0	0	0	0	0	0	0	0	2
assemblage-63-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	4550	0	0	9	0	0	0	0	0	0	0	0	0	5
assemblage-47-10	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	604	81	0	0	3427	0	0	1	0	0	0	0	0	0	0	0	0	455
assemblage-35-51	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	1	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	4405
assemblage-3-10	0	0	0	0	0	0	0	0	0	0	14563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	149484	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-51-32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	4366
