Assemblage 	OriginTime	Duration
assemblage-14-31	4400	1400
assemblage-1-16	4400	1400
assemblage-73-41	5800	1400
assemblage-73-62	7200	1400
assemblage-41-8	3000	1400
assemblage-60-72	3000	1400
assemblage-40-68	8600	1400
assemblage-9-16	3000	7000
assemblage-13-43	8600	1400
assemblage-62-37	7200	1400
assemblage-34-51	3000	1400
assemblage-70-53	3000	1400
assemblage-27-49	3000	1400
assemblage-15-46	3000	1400
assemblage-43-9	7200	1400
assemblage-25-47	3000	1400
assemblage-53-34	8600	1400
assemblage-17-33	5800	1400
assemblage-17-4	3000	1400
assemblage-26-45	4400	1400
assemblage-59-24	3000	1400
assemblage-73-8	3000	1400
assemblage-22-55	3000	1400
assemblage-52-30	3000	1400
assemblage-63-12	3000	1400
assemblage-47-10	3000	1400
assemblage-35-51	3000	1400
assemblage-3-10	5800	1400
assemblage-51-32	3000	1400
