Assemblage 	OriginTime	Duration
assemblage-19-48	3000	600
assemblage-3-74	4200	600
assemblage-74-2	4200	600
assemblage-46-35	3600	600
assemblage-51-43	3000	600
assemblage-23-4	3600	600
assemblage-66-14	5400	600
assemblage-28-69	3000	600
assemblage-55-33	4800	600
assemblage-20-53	3000	600
assemblage-45-24	3000	600
assemblage-7-2	3000	600
assemblage-37-57	4200	600
assemblage-67-29	3000	600
assemblage-36-72	5400	600
assemblage-33-30	3600	600
assemblage-47-21	3000	600
assemblage-57-64	4800	600
assemblage-59-71	3000	600
assemblage-48-1	3000	600
assemblage-12-68	3600	600
assemblage-73-6	3000	600
assemblage-32-5	3000	600
assemblage-2-48	3000	600
assemblage-13-15	3000	3000
assemblage-55-47	3000	600
assemblage-1-73	4800	600
assemblage-3-16	4200	600
assemblage-42-34	3000	600
assemblage-50-41	3000	600
assemblage-29-48	5400	600
