Assemblage_Name	3-5712073-4075510	8757955-3-4075510	3-3-2872050	4124791-3-4075510	652943-3-4075510	4620665-3-4075510	3-7068543-4075510	9591390-3-4075510	3-2901523-4075510	1739180-3-4075510	3-3-72655	3-3-2550368	3-3-1203863	3-3-489512	3-1283587-4075510	3-4965837-4075510	3-3-9339136	3-3-880705	3-6094194-4075510	573367-2888201-4075510	3-3-1892038	7098354-3-4075510	2689530-3-4075510	3-9249123-4075510	8270093-3-4075510	575199-3-4075510	3-5778566-4075510	1702813-3-4075510	8481093-3-4075510	3-1819627-4075510	1086965-3-4075510	8429475-3-4075510	1016494-6039835-4075510	3-3-5075306	3-3-4010200	9642800-3-4075510	3-3-4959101	3-444312-4075510	3-3962197-4075510	7240972-3-4075510	3-4530548-1	0-4-6721439	3-3-758412	4104015-3-4075510	3-7493853-1	3-3-9718391	3-8894619-1	2609958-3-4075510	3-3-8197089	3-5353945-4075510	1499464-3-4075510	3-3-8506365	4936263-3-4075510	3-8220372-4075510	1016494-3-4075510	7759532-3-4075510	3-242754-4075510	573367-2670442-4075510	3-8882648-1	7230155-3-4075510	3-7780044-4075510	6888412-3-4075510	3-3-1246042	7205435-3-4075510	3820251-3-4075510	3-1234145-4075510	5623962-3-4075510	7186348-3-4075510	3-3-794508	3-9010897-4075510	3-3-3749045	6303841-3-4075510	3-7531311-4075510	3-2095147-4075510	3-2820504-4075510	3-264119-4075510	1040228-3-4075510	2901023-3-4075510	3-3-1839825	3-5456479-4075510	5821018-3-4075510	3-3915794-4075510	3-3-8952616	3-6431327-4075510	3-4236690-4075510	3-3-1765123	573367-600787-4075510	3-3-128783	3-7126715-4075510	3545913-3-4075510	3-3-4976598	3-1405445-4075510	3-3-9139321	3-3-5627519	3-3-6144926	3-6704380-4075510	3-9824852-4075510	3-1582348-4075510	3169052-3-4075510	573367-3-1696427	7499004-3-4075510	179146-3-4075510	4068545-3-4075510	3-3-6579690	573367-3-5029941	0-4-7763775	3-1062627-4075510	4150430-3-4075510	0-3926516-1	573367-231544-4075510	5051435-3-4075510	3-3-9259524	3-0-0	3-6818804-4075510	3317421-3-4075510	4635505-3-4075510	6361337-3-4075510	3-3-1	4503048-3-4075510	0-4-1	7197031-3-4075510	3-8540265-4075510	3-3-2771490	3-87082-4075510	3-3-553803	8909496-3-1	3-4648727-4075510	6914867-3-4075510	1097995-3-4075510	6331453-3-4075510	2796980-3-4075510	3-7488967-4075510	9707199-3-4075510	4836606-3-4075510	3-3819885-4075510	3-3-8959127	3-3-8713849	3-3-1132145	6155824-3-4075510	3-3-263626	3-3-5017706	3-1672757-4075510	1721750-3-4075510	3-3-8802863	3-9218989-4075510	8772465-3-4075510	3-5380912-4075510	3-6569854-4075510	3-3-339582	3-5707363-4075510	3-3-8377196	5393547-3-4075510	3-3-2754241	4589266-3-4075510	3-3-3177631	3-4875491-4075510	9294212-3-4075510	2578528-3-4075510	3-3-8981500	8864961-3-4075510	3-7906573-4075510	3-450477-4075510	4276444-3-4075510	1551393-3-4075510	3-3-973909	3-3-9031682	2719350-4-1	7378372-3-4075510	3-3-5074297	3-2326824-4075510	2258463-3-4075510	3-3-5229889	5084680-3-4075510	3-3-8394590	3-3765766-1	3-3-8980172	3-3-8596897	573367-3-6145950	3-3-2474346	3-9847000-1	3-3-8178562	3-9755398-4075510	3-3-9800756	3-3-3124633	3-3-8915962	3-1154001-4075510	3-2779628-4075510	3-3-7295553	3-8526039-4075510	5153008-3-4075510	3-3-9481538	3-9381219-4075510	3-3-7490808	3-3-7404791	0-4-6506976	3-5294151-4075510	3-3-1250114	3-1705134-4075510	3-1963211-4075510	3-3-5437716	3-3-722116	3-3-4075510	3-3-3140997	3-3-4864219	216545-3-4075510	3-4189019-1	3-3-4249693	1074056-3-4075510	573367-3-5641939	3-2916721-4075510	3-4794238-4075510	8776142-3-4075510	8295500-3-4075510	5093730-3-4075510	3-5964707-4075510	3-1904508-4075510	3-3-922896	7650617-3-4075510	3-7223044-4075510	6829191-3-4075510	1034717-3-4075510	3-3-9972968	3-2891714-4075510	3-3-8162781	2691179-3-4075510	3-3-2136774	3-3638071-4075510	3-3-9557273	8589987-3-4075510	3-7718829-4075510	3-4980688-4075510	3-3-15786	3-7653342-4075510	9623945-3-4075510	3-3-8025902	3-9774435-4075510	3-6288219-4075510	573367-3-2345358	3-3-3944563	3-5823697-4075510	3-1708470-4075510	8682246-3-4075510	3-1315617-4075510	4650912-3-1	3-3-8877875	3-3-3949601	3-3896869-4075510	985112-3-4075510	4676745-3-4075510	3-3-7848197	9387293-3-4075510	3-3-2520905	3-3-9715964	6780079-3-4075510	6977614-3-4075510	3-2742208-4075510	2059747-3-4075510	4178117-3-4075510	3-3-4267605	573367-3-4075510	3-3-2195476
assemblage-8-16	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	6292	0
assemblage-36-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	538	0
assemblage-36-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	97	0	0	0	0	9080	0	3893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-14-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-49-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3444	0
assemblage-34-20	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	6460	0
assemblage-45-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	22308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
assemblage-11-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	0
assemblage-7-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67803	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10463	0
