assemblage	easting	northing
assemblage-160-310	160	310
assemblage-162-339	162	339
assemblage-172-324	172	324
assemblage-166-330	166	330
assemblage-172-353	172	353
assemblage-168-335	168	335
assemblage-182-327	182	327
assemblage-169-354	169	354
assemblage-361-322	361	322
assemblage-370-307	370	307
assemblage-370-314	370	314
assemblage-372-327	372	327
assemblage-363-306	363	306
assemblage-370-337	370	337
assemblage-380-311	380	311
assemblage-351-312	351	312
assemblage-418-504	418	504
assemblage-377-503	377	503
assemblage-392-503	392	503
assemblage-388-492	388	492
assemblage-411-517	411	517
assemblage-389-487	389	487
assemblage-394-516	394	516
assemblage-400-495	400	495
assemblage-414-292	414	292
assemblage-439-285	439	285
assemblage-428-302	428	302
assemblage-427-285	427	285
assemblage-425-273	425	273
assemblage-443-290	443	290
assemblage-418-275	418	275
assemblage-431-306	431	306
assemblage-122-155	122	155
assemblage-91-167	91	167
assemblage-95-141	95	141
assemblage-89-150	89	150
assemblage-114-147	114	147
assemblage-104-167	104	167
assemblage-100-151	100	151
assemblage-103-166	103	166
assemblage-197-414	197	414
assemblage-195-386	195	386
assemblage-188-370	188	370
assemblage-170-387	170	387
assemblage-198-381	198	381
assemblage-181-392	181	392
assemblage-178-380	178	380
assemblage-170-370	170	370
assemblage-173-77	173	77
assemblage-167-81	167	81
assemblage-172-72	172	72
assemblage-179-59	179	59
assemblage-179-86	179	86
assemblage-177-82	177	82
assemblage-178-92	178	92
assemblage-173-84	173	84
assemblage-97-376	97	376
assemblage-106-387	106	387
assemblage-83-400	83	400
assemblage-76-392	76	392
assemblage-98-401	98	401
assemblage-90-390	90	390
assemblage-90-408	90	408
assemblage-84-395	84	395
assemblage-366-130	366	130
assemblage-367-123	367	123
assemblage-375-140	375	140
assemblage-368-123	368	123
assemblage-373-114	373	114
assemblage-381-151	381	151
assemblage-363-122	363	122
assemblage-371-141	371	141
assemblage-96-509	96	509
assemblage-86-497	86	497
assemblage-82-497	82	497
assemblage-87-498	87	498
assemblage-63-513	63	513
assemblage-82-496	82	496
assemblage-93-506	93	506
assemblage-91-498	91	498
assemblage-62-435	62	435
assemblage-69-453	69	453
assemblage-76-438	76	438
assemblage-57-446	57	446
assemblage-79-457	79	457
assemblage-76-432	76	432
assemblage-52-434	52	434
assemblage-58-444	58	444
assemblage-411-303	411	303
assemblage-409-296	409	296
assemblage-399-296	399	296
assemblage-415-310	415	310
assemblage-399-306	399	306
assemblage-392-314	392	314
assemblage-394-312	394	312
assemblage-393-297	393	297
assemblage-279-404	279	404
assemblage-262-425	262	425
assemblage-270-415	270	415
assemblage-269-395	269	395
assemblage-258-422	258	422
assemblage-271-422	271	422
assemblage-283-418	283	418
assemblage-278-406	278	406
assemblage-305-91	305	91
assemblage-312-94	312	94
assemblage-310-99	310	99
assemblage-304-94	304	94
assemblage-303-112	303	112
assemblage-314-96	314	96
assemblage-306-103	306	103
assemblage-292-91	292	91
assemblage-424-255	424	255
assemblage-434-255	434	255
assemblage-438-257	438	257
assemblage-438-249	438	249
assemblage-410-246	410	246
assemblage-439-256	439	256
assemblage-413-269	413	269
assemblage-445-272	445	272
