Assemblage_Name	8582949-0-2	7044945-0-2	9676803-0-2	0-0-8915685	4489320-1-2	1-4-31130	8895391-2-3	0-0-7259003	778143-3-1	4-7254036-2	4-1-4515127	203380-0-2	1-4566380-4	0-0-8437762	4-1-3272948	4165734-0-2	2970965-4-4	1-4-4	6041463-1-2	3272950-4-4	1753108-4-4	1-4-7220613	1-4-3415313	2-3-1	0-0-9951306	5221027-1-2	3649657-1-2	4-1-17255	1-4-3756175	4-1-142210	0-2819149-2	1-4791400-4	4-5451697-2	4833699-1-2	8874031-4-4	0-0-8882308	383345-1-2	7752393-4-4	4-1-2	8951544-4-4	0-5936745-2	0-7564069-2	8725886-1-2	0-5241936-2	4-1905090-1	419478-1-2	1-4-923590	0-0-5371550	4-6095416-2	1864511-0-2	0-4876338-2	1-2669578-4	8921300-0-2	1-4-1831002	7094510-4-4	499711-3-1	1-4-3828955	4-7767390-2	0-0-9624476	1-4-6439225	1-6139107-4	6573490-2-3	0-0-2213008	7209085-4-4	8422482-1-2	4521954-4-4	1-4-512333	4-3-8230023	0-5984562-2	4-1-2479527	1-2568994-4	5749352-0-2	5102408-0-2	0-0-1217753	5457252-0-2	0-0-8409024	1-4-2803150	1-4-6656289	4-1501344-1	1-4-8871273	4881496-2-3	4-8294392-2	2394949-4-4	4-1-1103153	9050161-4-4	0-0-2814674	3904997-0-2	0-0-1156707	4-9757936-2	1-4-4529134	1-4409160-4	1-4-5716762	4-2339297-2	1-1891534-4	0-5054058-2	1-635817-4	0-7782788-2	1846463-1-2	1-6407201-4	1-5675819-4	1-9632896-4	1-4-5490144	4-6004616-2	1464629-3-1	4176278-3-1	0-1286100-2	5620511-0-2	4-1-8632795	1-3166509-4	1-4-8836905	0-6415541-2	3123632-1-2	1-986931-4	4-158444-2	4-1-3312478	1-8243002-4	4-573359-1	4-4871776-2	4-8357383-1	0-7344007-2	1-4-8084607	4-1-2577867	1-4-3916425	274313-4-4	8607038-1-2	1-4-1962633	0-0-6054571	4-3-3778425	4-6649885-2	2461666-0-2	0-0-5050030	1-4-9704534	1-1-0	4-1442347-2	4-3129452-2	4-9277043-2	4-1-3319777	0-0-2	1452264-0-2	1-4-1658641	0-0-6239155	0-0-9283368	4-2580832-2	1-9136380-4	0-0-2619851	1-4-5477975	3121596-4-4	0-5204140-2	4-3-4015352	4-1720606-2	0-14859-2	4-1-3240688	4-7785752-1	0-5935116-2	1018664-1-2	5467129-0-2	0-0-8250132	1-4-7260677	2379353-1-2	4-2039733-2	0-0-716448	4-1-5913409	1-4359652-4	1-1-1389414	4-1196130-2	4-4415778-2	6431391-1-2	9721400-4-4	8901197-0-2	4-3-1	4-4500902-2	4-7678713-2	1-4-6368776	0-0-5183552	1-5586204-4	0-0-5594947	0-0-5485386	3113982-0-2	1-4-5076857	1-5536664-4	4-1859946-2	0-0-6841214	7580814-0-2	5442021-4-4	780885-0-2	1-4-6014857	8071634-0-2	4555582-0-2	0-325419-2	5097937-1-2	6918372-4-4	4-6339886-2	1322423-1-2	5055654-0-2	4-4927092-2	1-1-4587309	4-6407086-2	6234156-0-2	0-1853638-2	5801681-0-2	1-8161743-3	1-3927934-4	0-4081660-2	1295727-1-2	0-3639929-2	2828516-4-4	0-9772048-2	6157095-0-2	2121637-4-4	4287561-4-4	8714394-1-2	1-2-3	0-6770696-2	1-9474955-4	4-7863250-2	8416819-1-2	0-8020005-2	0-0-5714987	1-5785289-4	1-4-6500055	0-8006441-2	1-4-672438	1-4-5872026	0-2655189-2	4-2043812-2	1-3941100-4	1-4-5838162	1-175053-4	1-4-835624	365205-1-2	1-4-4151505	3116025-1-2	0-0-5505551	0-4600938-2	1-9877473-3	4-1526353-1	7463273-0-2	0-5065081-2	4-1-9320045	1555802-1-2	815716-1-2	6527338-4-4	0-9694331-2	9343949-1-2	9540822-3-1	0-0-8085022	4-1-7830517	1-657762-3	0-0-9963109	1-4-8752114	9295780-0-2	1-2229146-4	8837179-1-2
assemblage-483-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-482-61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-269-250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79179	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
assemblage-120-208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-228-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-179-485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2562	0	0	0	0	0	2	0	0	0	0	0	0	0	0	27	0	0	0	0	0	91524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	651	0	0	0	0	19111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-179-292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	63634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	59994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-470-325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1346	0	0	0	0	36295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-203-508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11995	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14656	0	0	0	0	19695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9039	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-442-54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49749	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	66479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
