Assemblage_Name	2-1-7300881	2-3201230-1	2-1-637174	2-4671748-1	2180498-2-4	2-1-3921442	8901462-4-1	2-3130793-1	2-1342988-1	0-4-8780389	2-2-4	4-7399966-3	2-1-1	2-4526429-1	2-9271517-1	8796646-4-3	6931256-4-1	2887997-1-1	2-9736528-1	2-8150960-1	5733220-2-4	628876-1-1	2-8946260-1	4-3-0	2-976585-4	4-4-3	3-1-3	0-3725521-1	0-2555930-1	5185718-4-3	4333974-1-1	2-1-4258472	0-4-1	2-1-2011192
assemblage-902-178	0	0	0	0	0	0	0	1	0	0	95	0	157	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	156	0
assemblage-286-770	0	0	0	0	0	0	0	0	0	0	11	0	428	0	0	0	0	0	0	0	0	0	0	50	0	10	0	0	0	0	0	0	1	0
assemblage-860-926	0	0	1	0	0	0	0	0	0	0	6	0	350	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	96	0
assemblage-186-264	0	0	0	0	0	0	0	0	0	0	63	0	2	0	0	1	0	0	0	0	0	0	0	0	0	128	6	1	0	0	0	0	299	0
assemblage-852-918	0	0	0	0	0	0	0	0	0	0	42	0	336	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	63	0
assemblage-903-542	0	0	0	0	0	0	0	0	0	0	18	0	179	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	28	0
assemblage-679-528	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	48	0	1	0	0	0	364	0
assemblage-901-532	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	79	23	0	0	0	0	0	35	0
assemblage-706-533	0	0	0	0	0	0	0	0	0	0	100	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	99	0	3	0	0	0	294	0
assemblage-177-255	0	0	0	0	0	0	0	0	0	0	47	0	8	0	0	0	0	0	0	0	0	0	0	0	0	145	9	12	0	0	0	0	279	0
assemblage-893-534	0	0	0	0	0	0	0	0	0	0	14	0	140	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	34	0
assemblage-431-636	0	0	0	0	0	0	0	0	0	0	4	0	419	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	52	0
