Assemblage_Name	2812161-1-3973894	0-5342771-1	0-1-1	0-1-2	9320771-1-3	233979-1-3	4-7103271-1	2107707-1-1	2812161-3916259-3	3-3965976-3	4-2498572-1	3-1363092-3	9281966-0-1	3-1-1471286	9944047-0-1	3-7015123-3	0-1-243944	2812161-9402639-3	6444227-1-1	2812161-7108164-3	0-4858612-1	0-1-7740131	2812161-4190044-3	4-0-675616	4-8825520-1	4-4-8211116	1039567-1-3	2714837-1-3	2812161-1-7807570	2812161-2290833-3	0-2-6288277	0-3569993-1	362248-1-3	4-4121405-1	0-7527594-1	2812161-3568645-3	9686994-1-3	0-1-6808320	5192311-1-3	2812161-539311-3	4-0-7258467	961263-1-3	9243879-1-1	1078745-1-1	6209060-1-3	2812161-1-7288962	2812161-7424170-3	6613054-1-1	6155725-1-3	2812161-1-5706635	2812161-1-7867151	2812161-9926376-3	4-0-7655783	0-1-2191442	0-5470406-1	2812161-9458622-3	0-7254367-1	0-1-9831885	3-3935385-3	3-1-9268667	3-1-2751736	4962360-2-1	3-6843554-3	3-1-3400676	6100805-1-1	7645164-4-1	2812161-1-6996793	8769394-4-2	0-1-2649147	3-1-1752645	1717888-1-3	3-2326787-3	2812161-1-8336510	3-1-1026490	2684224-1-3	2812161-4495493-3	2812161-7031892-3	2812161-1-1837746	0-1-5445465	2812161-1-5395299	2812161-1-5189746	6263387-1-3	6958811-1-3	2812161-8404228-3	4-0-9236075	2812161-1975940-3	7274816-1-1	0-7986493-1	2812161-1-4474316	2338159-1-1	2812161-2741314-3	2812161-2142369-3	6769139-0-1	3-9671927-3	2709323-1-1	6450417-1-3	0-1-5948173	2812161-1-2271163	2812161-8687660-3	0-2-5806983	0-8541989-1	2812161-4169211-3	8378523-1-1	7702560-1-1	7711648-1-3	3497230-1-1	4092191-1-1	3-9078418-3	2812161-1-9022298	1861358-1-1	2812161-5838812-3	2812161-1-2767286	3-1-8565173	2812161-1-3561393	1982794-1-3	1112980-1-1	2812161-1-8592065	2812161-5410642-3	0-1-8307590	2812161-3049953-3	0-1-530631	2585780-1-3	931665-1-3	4-7003008-1	4348692-1-3	9427755-1-1	4-9772651-1	0-4290627-1	0-1-5401119	7535723-1-3	2812161-1-50884	9989574-1-1	3-4034860-3	2812161-1-2391163	7553095-0-4	0-1-9131931	0-1-4944523	0-1-7992610	0-9242958-6679462	0-9477422-1	4-6071035-1	2812161-5290481-3	6121744-1-3	0-6283502-1	2812161-1453532-3	2812161-308180-3	2812161-280326-3	3307435-1-3	2812161-4684010-3	3245161-3-3	0-2-9908917	0-9169615-1	3354029-0-1	2812161-1-4247521	52585-1-3	2812161-1-5401547	0-7511880-1	2812161-1-9106425	548488-1-3	2305181-1-3	2812161-1-3749019	2812161-1-2751221	0-5053397-1	0-9242958-1	3679273-1-3	2812161-126776-3	0-2240578-1	0-9123014-1	2812161-1-4635956	361704-1-3	425971-1-3	2812161-3278494-3	2812161-1-5946288	2812161-1-4866884	3-1-8335260	0-8837874-1	0-1-1364606	0-1-4135848	2812161-1-3420387	0-8507802-1	2812161-7491711-3	0-8710033-1	0-7342287-1	0-1-7248633	0-1-7348092	0-8861724-1	0-1708746-1	4411352-1-1	4-3720049-1	4-6526757-4	6600280-0-4	4-8896509-1	2812161-932270-3	0-5220630-1	2812161-1-4925247	4-0-73769	9630514-1-1	2812161-6176583-3	2812161-1-6955530	2812161-1-9591003	0-9044412-1	4842927-1-1	4-4507039-1	3307855-1-3	2812161-1-5301324	8388747-1-1	105384-2-1	2812161-3429320-3	4-9438361-4	4-0-1996244	0-1-7183499	1535369-1-3	4728662-1-3	7006326-1-3	4563760-1-1	3-1-8408632	4-2993354-1	0-1-2897059	3-1-730701	2416798-1-1	2812161-1-8147327	4-4435750-1	0-8245882-1	3-3-3	0-9358076-1	2812161-671541-3	2572253-1-1	2812161-1-2328351	793511-1-3	0-6722384-2	3-3-7742104	5727440-1-1	0-2-4470603	9679225-4-1	8547480-1-3	2812161-1-6008748	2568269-1-3	2812161-1-7956552	2812161-6673667-3	3-1-9186093	0-1-1884533	5739247-1-3	3832288-1-3	2812161-690617-3	6572297-0-1	2887901-1-3	2812161-1-5877755	2812161-1-7326179	2812161-1-1032364	4-3057426-4	2812161-1-7042129	4079961-1-3	2812161-1-3	7131840-1-3	2812161-1375301-3	4-0-1	2812161-1-3428135	0-1192094-1	4-0-4	3577203-1-3	2812161-2494680-3	0-1-7862088	0-9343777-1	2812161-4849718-3	9309175-1-1	0-9242958-587678	0-2-7498325	94560-1-3	0-7180625-1	2812161-1-2737727	2032945-1-3	0-2535034-1	0-583031-1	2812161-4888150-3	4-4-1	6550836-1-1	0-1-5869205	0-1-2836395	7372924-1-3	3-1-3	282243-1-1	0-1-9855851	7694736-1-3	4-9913069-1	2812161-1-7624093	2812161-3084507-3	2812161-8548069-3	0-1-9983970	0-1-3441996	6767803-1-3	3344678-1-3	3-1-9623292	5706123-1-3	4-0-6666425	0-5235029-1	0-1-3625533	4-1-1	0-1-5860081	2812161-8210711-3	2812161-1791014-3	8672570-1-3	0-6125483-1	0-1-5899502	0-9852103-1	9088694-1-1	2812161-1-2434655	260737-1-1	2812161-1-2365790	2812161-1-144675	7171713-1-1	2812161-1-756265	5582612-1-3	0-5625246-1	0-5655451-1	2812161-8566776-3	1921323-1-3	2812161-9467408-3	9691901-1-1	4-3229217-1	205787-1-3	0-4-2	31903-2-1	256412-1-3	2754896-0-1	2812161-1499305-3	0-5588618-1	0-1-6105944	4-947820-1	2812161-1-9656695	2812161-8471526-3	0-7710314-1	3-3-2902674	2812161-1-83064	0-1-1763260	3-1199281-3	0-2-4903528	4967648-1-1	2812161-4213904-3	0-0-2	0-8311098-1	0-7560392-1	3-1-5489900	2127293-1-3	0-4291474-1	9410151-0-1	2812161-1-7262389	2812161-8958686-3	9435090-0-1	4-0-8506456	8974354-1-3	2812161-479582-3	2812161-1-6415979	8775711-1-3	2812161-1-7055307	9386692-1-1	306987-1-3	2101001-1-3	0-2972736-1	1991132-1-3	4806379-1-3	237957-3-3	2812161-4675352-3	3-1-9033301	2812161-704837-3	2812161-4189274-3	0-1-1992193	2812161-3148714-3	0-1-4027973	2644029-0-1	2812161-2538492-3	3-5239362-3	0-9141046-1	9267500-1-3	2906462-0-1	2812161-4838839-3	0-2-1	0-4687345-1	2812161-9143321-3	3-1-2780007	2812161-1-1752815	7987945-1-3	0-1-9884578	2949641-1-1
assemblage-182-487	0	0	17028	747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48466	0	0	21501	0	0	2337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2568	0	0	0	0	15396	0	0	0	0	0	0	0	0	0	0	1	0	22	0	0	0	577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	9558	0	0	0	0	0	0	0
assemblage-282-244	0	0	83796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	54582	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-379-325	0	0	63729	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
assemblage-319-455	0	0	4957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74352	0	0	31716	0	0	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8563	0	0	0	0	0	0	0
assemblage-177-306	0	0	26708	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5398	0	0	4621	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	32175	0	0	1	0	53402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1214	0	0	3	0	0	0	0
assemblage-219-255	0	0	43949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-94-364	0	0	12033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90653	0	0	2462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1386	0	0	0	0	0	0	0
assemblage-309-449	0	0	4227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96197	0	0	27324	0	0	7284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	9370	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0
assemblage-262-240	0	0	40851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-306-453	0	0	896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116969	0	0	7476	0	0	1725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	16801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	761	0	0	0	0	0	0	0
