Assemblage_Name	1807666-1-1	6334506-1-2	2-1-1807070	2712676-4-1	8139570-4-1	0-8184127-3	114927-4-1	9331677-3-3	3-4-1397596	0-3-9928162	614292-4-4	2-1108444-1	4-4-9553351	0-3-3519711	0-36734-3	4-8085772-1	2-7153720-2	3-5172071-4	7139811-3-3	1-3-1	9996851-1-1	4-3730190-1	1129080-1-2	2-1-2	2-1-1	4-4-6142845	3-4-3	3-4-4	2-1-2673443	4-4-5636814	2-1-806249	2-1-5138464	4-1498874-1	0-3-1780733	4-4-1	4988330-4-1	2-8336232-2	0-6687833-3	4-4-6414502	0-3-3	1-3-2364009	4-4-8013218	2-4907191-2	9129848-4-1	1179199-4-1
assemblage-169-455	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	366	0	0	0	0	66	0	0	0	0	0
assemblage-446-859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	41	0	0	33	0	0	0	83	0	0	0	0	79	0	0	0	0	0
assemblage-274-761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	2	0	54	23	0	0	0	0	0	0	119	0	62	0	0	10	0	0	0	0	0
assemblage-299-744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	11	14	0	0	0	0	0	0	137	0	118	0	0	21	0	0	0	0	0
assemblage-841-606	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	79	30	0	0	82	0	0	0	0	0	0	227	0	5	0	0	76	0	0	0	0	0
assemblage-446-848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	8	0	0	4	0	0	0	426	0	0	0	0	2	0	0	0	0	0
assemblage-844-595	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	27	25	0	0	159	0	0	0	0	0	0	137	0	3	0	0	145	0	1	0	0	0
assemblage-511-798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	155	0	0	0	0	151	0	0	0	0	0
assemblage-885-525	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	72	2	0	0	82	0	0	0	0	0	0	311	0	3	1	0	26	0	0	0	0	0
assemblage-166-253	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	54	27	0	0	133	0	0	0	0	0	0	180	0	7	0	0	87	0	0	0	0	0
assemblage-513-795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	354	0	0	0	0	61	0	0	0	0	0
assemblage-288-739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	28	13	0	0	0	0	0	0	116	0	142	0	0	0	0	0	0	0	0
assemblage-909-198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	15	0	0	0	0	0	0	280	0	0	0	0	202	0	0	0	0	0
assemblage-164-440	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	328	0	0	0	0	143	0	0	0	0	0
assemblage-784-262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	1	0	0	0	0	0	122	0	0	0	0	194	0	0	0	0	0
assemblage-667-337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	65	0	0	265	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0
assemblage-678-542	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	90	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0
assemblage-517-778	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	384	0	0	0	0	69	0	0	0	0	0
