Assemblage 	OriginTime	Duration
assemblage-169-455	8600	1400
assemblage-446-859	7200	1400
assemblage-274-761	3000	1400
assemblage-299-744	3000	1400
assemblage-841-606	4400	1400
assemblage-446-848	7200	1400
assemblage-844-595	4400	1400
assemblage-511-798	8600	1400
assemblage-885-525	4400	1400
assemblage-166-253	4400	1400
assemblage-513-795	8600	1400
assemblage-288-739	3000	1400
assemblage-909-198	5800	1400
assemblage-164-440	8600	1400
assemblage-784-262	8600	1400
assemblage-667-337	3000	1400
assemblage-678-542	3000	1400
assemblage-517-778	8600	1400
assemblage-499-790	8600	1400
assemblage-454-851	7200	1400
assemblage-513-766	7200	1400
assemblage-880-192	5800	1400
assemblage-903-542	4400	1400
assemblage-425-620	5800	1400
assemblage-848-585	4400	1400
assemblage-706-533	3000	1400
assemblage-989-560	7200	1400
assemblage-512-765	7200	1400
assemblage-527-802	8600	1400
assemblage-890-211	5800	1400
assemblage-971-557	7200	1400
assemblage-958-564	7200	1400
assemblage-445-863	7200	1400
assemblage-677-345	3000	1400
assemblage-170-261	4400	1400
assemblage-497-792	8600	1400
assemblage-950-563	7200	1400
assemblage-692-536	3000	1400
assemblage-685-521	3000	1400
assemblage-420-624	5800	1400
assemblage-899-198	5800	1400
assemblage-508-767	7200	1400
assemblage-437-632	5800	1400
assemblage-664-337	3000	1400
assemblage-771-241	8600	1400
assemblage-780-257	8600	1400
assemblage-888-936	5800	1400
assemblage-676-332	3000	1400
assemblage-954-553	7200	1400
assemblage-190-453	8600	1400
assemblage-183-441	8600	1400
assemblage-830-593	4400	1400
assemblage-170-271	4400	1400
assemblage-181-246	4400	1400
assemblage-782-255	8600	1400
assemblage-902-178	5800	1400
assemblage-776-257	8600	1400
assemblage-771-259	8600	1400
assemblage-690-342	3000	1400
assemblage-797-258	8600	1400
assemblage-508-798	8600	1400
assemblage-705-516	3000	1400
assemblage-420-639	5800	1400
assemblage-413-610	5800	1400
assemblage-886-516	4400	1400
assemblage-291-763	3000	1400
assemblage-771-248	8600	1400
assemblage-182-455	8600	1400
assemblage-898-531	4400	1400
assemblage-195-426	8600	1400
assemblage-529-794	8600	1400
assemblage-884-199	5800	1400
assemblage-452-848	7200	1400
assemblage-666-337	3000	1400
assemblage-849-602	4400	1400
assemblage-279-758	3000	1400
assemblage-895-535	4400	1400
assemblage-794-248	8600	1400
assemblage-174-245	4400	1400
assemblage-513-755	7200	1400
assemblage-676-526	3000	1400
assemblage-678-345	3000	1400
assemblage-894-203	5800	1400
assemblage-180-449	8600	1400
assemblage-850-598	4400	1400
assemblage-417-639	5800	1400
assemblage-852-918	5800	1400
assemblage-782-274	8600	1400
assemblage-186-264	4400	1400
assemblage-173-455	8600	1400
assemblage-908-197	5800	1400
assemblage-450-863	7200	1400
assemblage-867-918	5800	1400
assemblage-879-531	4400	1400
assemblage-495-766	7200	1400
assemblage-492-757	7200	1400
assemblage-528-774	7200	1400
assemblage-841-575	4400	1400
assemblage-499-767	7200	1400
assemblage-860-926	5800	1400
assemblage-173-273	4400	1400
assemblage-969-543	7200	1400
assemblage-195-446	8600	1400
assemblage-429-621	5800	1400
assemblage-956-542	7200	1400
assemblage-671-350	3000	1400
assemblage-169-239	4400	1400
assemblage-292-745	3000	1400
assemblage-864-913	5800	1400
assemblage-832-592	4400	1400
assemblage-443-865	7200	1400
assemblage-418-644	5800	1400
assemblage-959-569	7200	1400
assemblage-683-524	3000	1400
assemblage-526-770	7200	1400
assemblage-523-789	8600	1400
assemblage-534-777	7200	1400
assemblage-841-587	4400	1400
assemblage-901-532	4400	1400
assemblage-868-891	5800	1400
assemblage-449-859	7200	1400
assemblage-519-790	8600	1400
assemblage-896-198	5800	1400
assemblage-292-758	3000	1400
assemblage-982-555	7200	1400
assemblage-453-873	7200	1400
assemblage-431-636	5800	1400
assemblage-893-534	4400	1400
assemblage-679-532	3000	1400
assemblage-286-770	3000	1400
assemblage-908-531	4400	1400
assemblage-663-338	3000	1400
assemblage-280-773	3000	1400
assemblage-886-922	5800	1400
assemblage-437-859	7200	1400
assemblage-859-902	5800	1400
assemblage-959-573	7200	1400
assemblage-290-757	3000	1400
assemblage-838-622	4400	1400
assemblage-871-934	5800	1400
assemblage-662-336	3000	1400
assemblage-683-534	3000	1400
assemblage-183-460	8600	1400
assemblage-417-616	5800	1400
assemblage-905-202	5800	1400
assemblage-864-937	5800	1400
assemblage-172-255	4400	1400
assemblage-177-255	4400	1400
assemblage-679-528	3000	1400
assemblage-901-502	4400	1400
