Assemblage 	OriginTime	Duration
assemblage-547-722	7200	1400
assemblage-627-247	3000	1400
assemblage-627-246	3000	1400
assemblage-986-226	8600	1400
assemblage-984-244	8600	1400
assemblage-337-507	7200	1400
assemblage-167-293	4400	1400
assemblage-870-763	3000	1400
assemblage-922-743	8600	1400
assemblage-383-746	5800	1400
assemblage-862-766	3000	1400
assemblage-864-767	3000	1400
assemblage-381-739	5800	1400
assemblage-904-357	4400	1400
assemblage-859-733	3000	1400
assemblage-981-265	8600	1400
assemblage-713-676	7200	1400
assemblage-960-244	8600	1400
assemblage-303-213	8600	1400
assemblage-479-842	3000	1400
assemblage-591-655	5800	1400
assemblage-586-649	5800	1400
assemblage-163-272	4400	1400
assemblage-478-834	3000	1400
assemblage-864-756	3000	1400
assemblage-905-341	4400	1400
assemblage-406-733	5800	1400
assemblage-968-235	8600	1400
assemblage-869-761	3000	1400
assemblage-133-209	5800	1400
assemblage-598-655	5800	1400
assemblage-357-529	7200	1400
assemblage-894-345	4400	1400
assemblage-971-249	8600	1400
assemblage-882-733	3000	1400
assemblage-574-634	5800	1400
assemblage-149-196	5800	1400
assemblage-937-752	8600	1400
assemblage-628-241	3000	1400
assemblage-299-192	8600	1400
assemblage-165-293	4400	1400
assemblage-165-292	4400	1400
assemblage-919-358	4400	1400
assemblage-941-771	8600	1400
assemblage-549-745	7200	1400
assemblage-710-653	7200	1400
assemblage-873-353	4400	1400
assemblage-861-760	3000	1400
assemblage-154-286	4400	1400
assemblage-604-274	3000	1400
assemblage-535-733	7200	1400
assemblage-973-237	8600	1400
assemblage-321-202	8600	1400
assemblage-160-289	4400	1400
assemblage-494-774	4400	1400
assemblage-593-664	5800	1400
assemblage-724-655	7200	1400
assemblage-154-209	5800	1400
assemblage-396-750	5800	1400
assemblage-405-733	5800	1400
assemblage-391-732	5800	1400
assemblage-718-671	7200	1400
assemblage-364-508	7200	1400
assemblage-496-790	4400	1400
assemblage-344-516	7200	1400
assemblage-498-865	3000	1400
assemblage-173-287	4400	1400
assemblage-975-231	8600	1400
assemblage-712-662	7200	1400
assemblage-173-283	4400	1400
assemblage-570-647	5800	1400
assemblage-865-755	3000	1400
assemblage-342-532	7200	1400
assemblage-492-797	4400	1400
assemblage-611-251	3000	1400
assemblage-301-211	8600	1400
assemblage-469-851	3000	1400
assemblage-366-508	7200	1400
assemblage-573-646	5800	1400
assemblage-494-784	4400	1400
assemblage-615-254	3000	1400
assemblage-548-766	7200	1400
assemblage-477-859	3000	1400
assemblage-985-236	8600	1400
assemblage-183-297	4400	1400
assemblage-717-656	7200	1400
assemblage-899-345	4400	1400
assemblage-125-179	5800	1400
assemblage-500-782	4400	1400
assemblage-414-740	5800	1400
assemblage-129-200	5800	1400
assemblage-494-852	3000	1400
assemblage-531-776	4400	1400
assemblage-623-261	3000	1400
assemblage-708-670	7200	1400
assemblage-615-247	3000	1400
assemblage-927-755	8600	1400
assemblage-144-204	5800	1400
assemblage-851-767	3000	1400
assemblage-541-745	7200	1400
assemblage-583-663	5800	1400
assemblage-312-217	8600	1400
assemblage-896-331	4400	1400
assemblage-896-338	4400	1400
assemblage-557-728	7200	1400
assemblage-572-664	5800	1400
assemblage-507-782	4400	1400
assemblage-308-207	8600	1400
assemblage-555-756	7200	1400
assemblage-499-852	3000	1400
assemblage-928-756	8600	1400
assemblage-497-853	3000	1400
assemblage-512-792	4400	1400
assemblage-937-757	8600	1400
assemblage-547-749	7200	1400
assemblage-395-738	5800	1400
assemblage-938-750	8600	1400
assemblage-343-520	7200	1400
assemblage-558-743	7200	1400
assemblage-898-354	4400	1400
assemblage-496-772	4400	1400
assemblage-140-194	5800	1400
assemblage-319-210	8600	1400
assemblage-714-650	7200	1400
assemblage-618-238	3000	1400
assemblage-289-196	8600	1400
assemblage-936-750	8600	1400
assemblage-717-670	7200	1400
assemblage-1000-236	8600	1400
assemblage-571-745	7200	1400
assemblage-914-345	4400	1400
assemblage-702-662	7200	1400
assemblage-588-651	5800	1400
assemblage-487-841	3000	1400
assemblage-484-855	3000	1400
assemblage-339-512	7200	1400
assemblage-354-522	7200	1400
assemblage-139-277	4400	1400
assemblage-302-198	8600	1400
assemblage-931-764	8600	1400
assemblage-415-741	5800	1400
assemblage-134-183	5800	1400
assemblage-153-204	5800	1400
assemblage-403-726	5800	1400
assemblage-147-199	5800	1400
assemblage-356-517	7200	1400
assemblage-925-741	8600	1400
assemblage-511-774	4400	1400
assemblage-306-208	8600	1400
assemblage-633-229	3000	1400
