Seriation_Number	Assemblage	8391895-3-3328048	3020309-2-0	3-9566666-890340	3-4353017-0	1417608-3-6778706	3-3621656-7582820	0-1-8113793	3-3-1	241617-3-3	0-3-8941422	0-4361061-9911268	0-0-5706451	0-3738578-3	0-1-1	589311-2-0	0-7059737-3	3-4353017-890340	3-4353017-2492427	674415-3-1	9299574-2-0	4730998-3-3	133275-2-0	8026736-2-0	4705744-3-6778706	3-1421603-890340	6356196-3-3	0-3-2860373	4-9226171-1	9631235-3-3	9101232-3-3	0-8817686-3	0-0-2	8219041-3-3	0-2-2	0-3-6778706	3-5483621-0	8391895-3-3	0-3-3124853	0-3-4638975	0-758976-1	0-4361061-2022903	4613929-4361061-1	3-9448822-890340	0-7112822-1	2607933-3321534-1	8996084-3-3	0-764248-3	7290782-4361061-1	0-3-3	0-3-5019720	0-3-9447947	8219041-1373312-3	8791001-3-3	3-6563905-0	6772915-3321534-1	0-3-8831017	8391895-3-7678585	1-4-2	3-2-702082	3-7414092-890340	0-4361061-1	3-3321534-1	4-3-1	3-2-0	1977072-2-0	3-1217866-890340	0-3-734779	249763-3-1	1527783-7644345-1	8459526-3-3	3-2-391109	0-1247527-1	0-3-9983818
1	assemblage-751-198	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	1
1	assemblage-426-377	0	0	0	0	0	0	0	16	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	89	22	0	153	0	0	0	0	0	0	0	0	26
1	assemblage-211-397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	7

2	assemblage-751-198	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	1
2	assemblage-587-474	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	67	0	0	86	0	0	0	0	0	0	0	0	1
2	assemblage-211-397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	7

3	assemblage-655-818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	8	0	0	22	0	0	0	0	0	0	0	0	1
3	assemblage-426-377	0	0	0	0	0	0	0	16	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	89	22	0	153	0	0	0	0	0	0	0	0	26
3	assemblage-703-207	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	4

4	assemblage-655-818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	8	0	0	22	0	0	0	0	0	0	0	0	1
4	assemblage-426-377	0	0	0	0	0	0	0	16	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	89	22	0	153	0	0	0	0	0	0	0	0	26
4	assemblage-386-616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

5	assemblage-655-818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	8	0	0	22	0	0	0	0	0	0	0	0	1
5	assemblage-587-474	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	67	0	0	86	0	0	0	0	0	0	0	0	1
5	assemblage-703-207	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	4

6	assemblage-655-818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	8	0	0	22	0	0	0	0	0	0	0	0	1
6	assemblage-587-474	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	67	0	0	86	0	0	0	0	0	0	0	0	1
6	assemblage-386-616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

7	assemblage-655-818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	8	0	0	22	0	0	0	0	0	0	0	0	1
