Assemblage 	OriginTime	Duration
assemblage-405-662	8600	1400
assemblage-168-128	8600	1400
assemblage-96-554	5800	1400
assemblage-807-241	8600	1400
assemblage-520-767	5800	1400
assemblage-868-369	3000	1400
assemblage-563-209	8600	1400
assemblage-811-595	7200	1400
assemblage-107-531	5800	1400
assemblage-973-578	4400	1400
assemblage-162-175	8600	1400
assemblage-687-721	7200	1400
assemblage-537-343	4400	1400
assemblage-109-547	5800	1400
assemblage-462-472	4400	1400
assemblage-656-344	7200	1400
assemblage-817-785	3000	1400
assemblage-426-523	5800	1400
assemblage-785-245	8600	1400
assemblage-543-780	5800	1400
assemblage-605-982	3000	1400
assemblage-542-771	5800	1400
assemblage-813-234	8600	1400
assemblage-365-506	4400	1400
assemblage-163-179	8600	1400
assemblage-868-358	3000	1400
assemblage-989-563	4400	1400
assemblage-989-562	4400	1400
assemblage-109-521	5800	1400
assemblage-456-475	4400	1400
assemblage-808-599	7200	1400
assemblage-257-587	3000	1400
assemblage-317-799	5800	1400
assemblage-260-615	3000	1400
assemblage-478-448	4400	1400
assemblage-400-525	5800	1400
assemblage-385-510	5800	1400
assemblage-383-474	4400	1400
assemblage-349-817	5800	1400
assemblage-276-841	7200	1400
assemblage-846-601	7200	1400
assemblage-329-825	5800	1400
assemblage-158-140	8600	1400
assemblage-575-225	8600	1400
assemblage-536-366	4400	1400
assemblage-459-455	4400	1400
assemblage-659-325	7200	1400
assemblage-93-530	5800	1400
assemblage-397-507	5800	1400
assemblage-657-738	7200	1400
assemblage-613-1002	3000	1400
assemblage-394-630	8600	1400
assemblage-984-550	4400	1400
assemblage-395-504	5800	1400
assemblage-395-505	4400	1400
assemblage-664-336	7200	1400
assemblage-406-498	5800	1400
assemblage-806-771	3000	1400
assemblage-869-357	3000	1400
assemblage-225-602	3000	1400
assemblage-825-581	7200	1400
assemblage-589-997	3000	1400
assemblage-410-648	8600	1400
assemblage-514-785	5800	1400
assemblage-586-983	3000	1400
assemblage-650-347	7200	1400
assemblage-643-327	7200	1400
assemblage-871-376	3000	1400
assemblage-791-232	8600	1400
assemblage-357-802	5800	1400
assemblage-340-821	5800	1400
assemblage-987-572	4400	1400
assemblage-786-244	8600	1400
assemblage-861-357	3000	1400
assemblage-979-561	4400	1400
assemblage-786-243	8600	1400
assemblage-155-143	8600	1400
assemblage-690-726	7200	1400
