Assemblage_Name	1613298-1-3	3866316-8414082-8374781	5857700-1-5094690	1-6680052-2	2-1-5117689	1-6760579-2	1-3-9282495	5857700-502996-3	577776-1-3	8462731-3-2	5857700-1502262-3	2-1-3	5857700-2028553-128410	171276-8414082-7975816	1-1-9643939	7748833-4-4	2-1-9314448	7216708-1-7975816	9028056-7469102-4567792	5857700-1-3	7567365-1-3	3866316-1-7975816	1-4-588492	3866316-8414082-7975816	4553632-7469102-2	3866316-8414082-7766893	4798911-2028553-128410	1-1570985-4	7211393-8414082-8672426	3866316-8414082-8672426	8929119-0-2	1-3-2	5857700-1-8768088	1-6824755-2	5952504-3-2	6679100-1-3	1-4-4	3866316-4674747-7975816	1-1-7975816	5857700-1-128410	2-1-1168794	2-1-7819610	5857700-1-7156729	9028056-3-2	1-2050665-9643939	3866316-8543375-7975816	3866316-5459538-7975816	5857700-7600171-3	3-0-2	9954363-0-6630532	1-4832600-2	5857700-1-6960395	5857700-8176341-3	9028056-7469102-2	26907-8414082-7975816
assemblage-644-613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461	0	3	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-414-117	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	42	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	7
assemblage-172-473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	12
assemblage-779-681	0	6	0	0	0	0	0	0	0	0	0	219	0	8	0	0	5	0	0	28	0	0	0	143	0	0	0	0	0	0	3	15	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	7
assemblage-792-155	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	5	0	52	0	0	0	0	0	0	0	108	0	0	0	0	0	0	44	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	10
assemblage-522-443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-284-140	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	143	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-512-531	0	0	0	0	0	0	0	0	0	6	0	11	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	8	0	0	0	0	70	29
assemblage-269-147	0	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	139	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-512-534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	84	0	0	0	17	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	9
assemblage-842-245	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	351	4	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	4	0	0	5	0	0	0	0	0	7	14	0	16
assemblage-358-666	0	17	0	0	0	0	0	0	0	0	0	243	0	0	0	0	9	0	0	18	0	0	0	115	0	0	0	0	0	0	6	19	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	8
assemblage-392-346	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	202	0	8	10	0	0	0	0	50	0	0	0	13	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	15
assemblage-705-411	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	405	0	0	0	0	0	0	0	0	0	0	0	43	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	6
assemblage-844-229	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	76	0	0	0	57	0	6	0	0	0	97	0	0	0	0	0	0	0	0	0	0	127	21	0	0	0	0	0	0	0	0	0	0	0	95	16
assemblage-630-588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	7	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-357-740	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	154	0	0	0	75	0	0	0	0	0	0	0	76	0	0	0	0	24	0	0	0	0	0	0	7	0	0	0	0	39	0	0	0	0	15	32
assemblage-557-329	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	348	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	5	0	0	8	0	0	0	0	0	10	19	0	20
assemblage-881-838	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	264	0	0	0	0	4	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	135	21
assemblage-399-844	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	10	0	68	0	0	0	0	0	0	0	114	0	0	0	0	0	0	44	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	11
assemblage-372-680	0	0	0	0	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	15	0	0	0	0	86	28
assemblage-836-772	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	204	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	90	8
