Assemblage_Name	9815329-8909789-1	9618970-5329778-8977913	9815329-8852231-3703337	8591980-2028988-7089217	9815329-6586253-1074801	9759145-5889591-4235863	9815329-1305612-4034758	4838006-5465260-3847775	9618970-921573-7239788	5945169-1305612-2234126	9837725-163924-7089217	9412812-6886347-4235863	4822017-5465260-3437622	32557-1164273-808975	9815329-8852934-1	4822017-9615135-2049424	2022645-5465260-3847775	9618970-8852231-3760826	7733619-1068398-5033213	8500907-1305612-9887721	9310916-8327801-3847775	1998202-1305612-6223000	9815329-1305612-1406007	4990380-3258423-3437622	9815329-1305612-4272702	5056928-8691390-9534850	8009363-1-1	9240610-5465260-3847775	5158911-5071624-5616911	4973509-4431905-7799921	6029231-5889591-4235863	9310916-3189527-3847775	6188593-1649242-3847775	2255254-2-2756065	4838006-3807580-3847775	6188593-8616343-8914524	6029231-6886347-7126569	4-4431905-2	3001584-1671797-7041908	9815329-9555049-4905626	9618970-5353909-4235863	4104165-5353909-4235863	7794442-8090945-7483107	9618970-7906655-7239788	874366-1272175-1	6019014-5067295-1	6029231-3325097-3807569	5056928-7090927-1	4822017-5465260-3068796	2-2-1	6029231-5794778-988156	4822017-5465260-1025252	7354965-6886347-4235863	9815329-5417017-1	922424-1305612-1303244	4822017-188339-3847775	9815329-4463778-1	6564742-4431905-2	9815329-573011-1	9618970-1036915-4235863	2458518-1-1	9815329-1272175-4235863	8244578-5465260-8615455	1998202-1305612-4034758	5351620-1305612-1	2055932-1305612-7235379	8103096-3189527-3847775	1444944-8892728-8914524	2255254-2-2335438	2255254-2-3475996	9815329-8852231-4235863	8636943-5465260-3847775	7265139-1305612-4034758	745997-5465260-3847775	8244578-4214516-3847775	7574791-3258423-3437622	6661107-4431905-2	9815329-1305612-5351509	9618970-5329778-9247161	2772061-9190789-4496246	5056928-8691390-5616911	357863-5889591-4235863	1998202-8438275-4034758	6564742-4431905-2705495	9815329-1272175-1	8809789-1164273-3847775	1065209-5465260-3847775	9815329-1305612-5782647	2831926-1305612-1	6029231-7362773-4235863	9815329-5409612-1	2620721-3274904-3847775	9815329-1305612-9308097	2-6849995-1	9815329-1305612-5676910	982039-8892728-5181027	3001584-1671797-1	2-6586253-1	9815329-6586253-1	2255254-2-1576311	8244578-5465260-3847775	6029231-6886347-379950	3892188-163924-7089217	7733619-8616343-9025472	6029231-6886347-4235863	4838006-8616343-3847775	4822017-5465260-3847775	6029231-6886347-988156	2187138-5353909-5159397	8640835-4431905-2	5665407-1305612-1	798338-1-1	6564742-4431905-4277642	8244578-7764202-3847775	9618970-5329778-7239788	9618970-5329778-6834253	55216-6586253-1	9815329-4029854-1997971	5155282-8606002-4235863	956759-5329778-4235863	7204210-4915420-1	8591980-163924-7089217	2817670-1164273-3847775	6621506-4214516-869287	9815329-1305612-7235379	9815329-1305612-1154517	7412434-1305612-7235379	9618970-5817531-6039182	5851324-1305612-7235379	4973509-4431905-2	4822017-490569-3847775	5056928-1508234-8570618	4589984-762400-8914524	2255254-2-1	9815329-9317026-1	4822017-5465260-1891906	7851735-1305612-1	9815329-1717401-1	7733619-8616343-3800117	3325082-1671797-1101271	9047213-1305612-1	9815329-123187-1	5848328-4545571-3847775	6397404-6586253-1074801	9815329-8616343-8914524	6029231-6886347-8768275	9618970-5329778-5293823	2255254-2-1397670	2-2-2672923	4607690-5465260-3847775	4822017-5465260-1161206	6188593-8327801-3847775	2831926-2864160-1	8591980-8115283-7089217	2620721-4359444-3847775	9759145-5353909-4235863	6019014-4571569-1	9310916-6801727-3847775	4822017-5465260-9343842	4838006-9301924-3847775	9815329-7238635-1	128322-4214516-869287	7733619-5921788-3847775	5067638-1-1	9815329-4029854-4931886	8244578-4214516-4905480	6188593-8616343-6392753	8135331-2-1	9720995-1305612-1	2-1-1	3325082-1671797-661074	9759145-8606002-4235863	1751198-1671797-5616911	624696-1305612-2234126	4822017-5465260-570656	4168871-5805485-5239527	944242-1305612-5416852	1228031-1305612-1	4838006-5805485-5239527	4822017-4545571-3847775	5056928-1671797-7375217	7204210-413620-1	922424-1305612-1	7390401-5465260-3847775	8248202-4532733-1	4973509-4431905-6688106	1587361-1305612-9887721	5945169-5004471-2234126	8591980-8936258-7089217	3563822-4431905-5763701	9815329-1305612-3892023	9618970-5329778-4235863	7204210-1-1245882	7733619-1068398-4999809	2406321-163924-7089217	9815329-1305612-1997971	3069290-8489211-7548510	4822017-5465260-3564606	4822017-5465260-8465600	121351-5465260-3847775	1661885-8616343-3847775	8386735-6849995-1	1455356-1305612-1	1777957-163924-7089217	9815329-762400-8914524	8591980-6753576-1	3110958-8892728-8914524	2831926-1671797-9905404	9815329-1305612-1	7204210-8090945-1	4822017-923664-3847775	3069290-6886347-4235863	3776052-8616343-9025472	6029231-6886347-2393210	9917920-6849995-7292310	4754165-1-1	3371090-1-1	3321619-163924-7089217	1337826-4373512-3847775	2-6586253-3981479	9618970-2119431-4235863	4214520-8616343-3847775	7725152-8616343-3847775	7733619-8616343-3847775	2641948-8616343-9025472	9815329-9479145-2211623	2-315289-1259119	6506564-1305612-1	4556491-3807580-3847775	8244578-4270747-3847775	4822017-1164273-3847775	2-6586253-2694738	5421598-4431905-2	420145-5465260-3847775	5056928-1671797-8570618	5056928-1671797-1	4838006-5805485-3847775	4822017-3274904-3847775	7204210-1-1	9815329-9555049-9697065	4672478-1305612-1	4822017-9322563-3847775	2-6586253-9103975	5056928-7651859-1	2055932-1305612-2956274	8675300-379850-4235863	2-315289-1	944242-1305612-1	9446776-1-1	9701221-5329778-7239788	6564742-2191683-2	7204210-8090945-3472009	4754165-1-2228537	7772835-6886347-8768275	9815329-1305612-1684938	9618970-8852231-5094336	6188593-8616343-3042741	7204210-8090945-8477723	5739595-4431905-2	9815329-1305612-8914524	9815329-6586253-7459723	6188593-8616343-3847775	7733619-1068398-6297971	4838006-8616343-9384732	3120890-5465260-3847775	2-8727433-1	9815329-1305612-2811593	6621506-4214516-4905480	4822017-5465260-1919881	4527502-6166221-1	671597-5353909-4235863	5334368-5465260-3847775	6788890-2-1	8942900-8852231-4235863	9815329-4808183-1	9815329-1305612-8062863	302766-1305612-1	4046193-8616343-6868743	2772061-163924-7089217	5253076-5805485-3847775	7753626-1305612-2234126	3563822-4431905-2	5056928-1671797-7401807	9815329-9555049-1	9815329-4265111-4235863	9815329-1305612-2234126	4822017-9615135-570656	5056928-4316130-1	9618970-8852231-4235863	86888-4270747-3847775	2831926-5252765-1	2772061-9190789-7089217	3788463-1-1	624696-1305612-8326300	5023031-6586253-1	121226-4431905-2	9815329-1305612-7252744	4938294-7647811-4235863	5780011-8892728-8914524	7204210-8090945-7143564	8135331-2-1132571	3704365-6586253-1	4046193-8616343-3847775	4822017-5615849-3847775	4798976-5353909-5159397	9815329-4532733-1	9815329-1305612-2290220	9815329-1305612-9514999	7574791-9656347-3437622	2453936-5465260-9343842	5056928-8691390-1418991	5056928-5948127-1418991	4822017-5465260-2568324	1949671-2513125-3847775	4822017-4662920-3437622	6621506-6933944-869287	5056928-1671797-5616911	3371090-2992928-1	9815329-4808183-6577759	4822017-5465260-220427	8979664-2992928-1	4822017-8690079-3847775	2022645-5465260-7669466	8591980-6753576-7089217	2255254-2-7346470	4822017-490569-4955448	2831926-1671797-1	745997-5465260-6262583	2-1878664-1	7204210-8090945-9931845	3437661-4431905-2
assemblage-134-562	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
assemblage-507-349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	131	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	28	0	0	0	0	0	8	0	18	0	0	8	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	13	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	16	0	0	0	0	0	0	0	0	0	59
assemblage-616-921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82
assemblage-489-622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	45	0	94	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	11	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67
assemblage-558-948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	8	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	108	18	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69
assemblage-608-910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63
assemblage-800-923	0	0	0	29	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71
assemblage-258-718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	55	0	0	0	0	0	0	0	10	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	46	0	0	0	85
assemblage-977-246	0	0	0	19	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66
assemblage-635-923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53
