Assemblage_Name	8650627-8611466-659993	1540821-4477721-1	5232707-1-900127	6092873-2107737-7875410	5075239-7993585-8967295	1218436-2107737-8880068	7743512-9178907-1	8691974-8519348-4567132	7655122-0-3	2248479-5123435-7383245	1-3620545-4	3225875-0-3	811898-2107737-1	4-6972195-5938719	2019699-7072200-1	8691974-8594680-1	398786-8611466-127252	222960-5123435-1789555	9504592-1159711-7383245	6758717-9178907-1	4621137-6884928-955174	8031755-262389-7383245	2978378-2107737-6384986	5232707-3075107-1	6265715-8537441-9536786	0-2687447-3	6433034-1-1	2091946-348583-1024373	6693678-9691780-1	8746992-1-1	4-4937620-5938719	5232707-5562589-1	4-8747697-1	9504592-5123435-7383245	5216489-1-9205519	222960-5123435-368449	5232707-2107737-1442128	5651996-3-1066146	4814444-6102122-1	9260585-8747697-1	5343965-5123435-4189464	3586756-6884928-1	215789-7508275-899440	6265715-1670739-1	8367556-2107737-7875410	5232707-2107737-7875410	1218436-2107737-5285779	3586756-1-1	2948454-1-1	5232707-6747508-1	1379334-5123435-2142087	4710477-8519348-1	5453667-1616700-1	2650326-348583-1	5232707-2107737-4057081	6265715-9769780-1723453	8167468-2107737-1	6894021-3957561-6982277	5378342-4743359-2259847	6433034-9527988-1	4-3-4208367	9504592-5123435-1246506	9596494-8594680-1	6265715-8537441-1723453	8691974-8519348-658484	4-0-4244242	2019699-6090233-1	9746733-3190369-1	5765758-8594680-1	6265715-1928859-1	398786-8611466-8493999	5232707-2107737-1	1624897-0-3	8691974-7312817-1	3157268-1670739-1	7231289-8519348-1	222960-5123435-4189464	2292876-0-3	9746733-1-1	5232707-6097367-1	1218436-5155258-7875410	8031755-5123435-7383245	2073477-6884928-955174	8691974-6498543-1	811898-4743359-1	8691974-2312256-1	6693678-9470078-7125776	1218436-2107737-7875410	5232707-1052636-1	0-0-3	6303384-4260755-1723453	398786-8611466-6970007	1379334-5123435-3148282	2019699-9178907-4266959	4095075-2107737-1	5461404-6097367-9458502	5461404-6097367-3921017	6186405-1-1	2564663-9769780-1723453	6265715-3907615-1723453	5232707-250597-1	7216660-1-3951397	4-3-1	3066475-1-1	5461404-6097367-3945838	6693678-6703081-7125776	811898-2107737-9023988	6372842-8594680-1	1693865-2107737-7875410	5654318-5713362-1	2019699-9178907-9113613	7388928-1670739-1101334	3174468-6097367-8930444	5409584-2107737-1	2935928-4743359-1	8732501-3431239-1	6265715-9769780-4133770	5397932-8611466-4828356	1218436-2107737-2501671	8691974-1-4216630	4814444-9691780-1	5461404-6097367-125882	7471614-1-1	1972858-348583-1	6693678-8611466-5563675	6265715-8537441-8340860	7404252-9303021-5500183	5232707-1-899440	6693678-8611466-7125776	811898-2107737-6384986	4621137-6884928-1	5232707-8116870-1	8691974-1-9351448	2019699-6405742-9113613	5632415-1-1	3-1-1	8691974-1-3925285	398786-2431429-8493999	8691974-3175760-1	398786-8611466-5589335	1-369010-1	2019699-348583-1	0-0-4178420	8691974-8519348-1	530599-2107737-1442128	0-1322387-3	42853-3993421-1	9848103-8981023-1	8031755-5123435-8764242	1218436-8616820-7875410	2978378-1278111-9981482	5654318-6097367-1	8691974-2680341-1	6265715-8537441-4005761	2091946-348583-1	398786-8611466-14774	398786-8611466-4856376	0-7721579-2	7216660-1-1	7798672-2107737-1	5230744-7993585-8967295	5838109-0-3	6723902-9769780-1723453	5232707-9719098-1	2504748-6097367-1	222960-5123435-7383245	5232707-2578868-1	6265715-3062676-1	9746733-3190369-1260306	6693678-3993421-1	8691974-1-8692675	6320320-5123435-7383245	8691974-5450323-1	5216489-1-899440	5230744-7993585-7383245	4-3-5938719	3174468-6097367-7560510	12639-6761334-1	1-0-4	6693678-8611466-1676797	398786-8611466-6740466	8691974-8594680-9939395	811898-4703889-6384986	3760935-5123435-7383245	6265715-9769780-7609867	2019699-2837117-1	6265715-1670739-1723453	811898-2107737-2769155	768744-5123435-7383245	9960563-1-1	1111625-2107737-3520114	6284054-2680341-1	6265715-8537441-1032890	3-3389708-1	1111625-2107737-1442128	155107-2107737-8172738	398786-8611466-2090082	1111625-2107737-176843	2019699-3304814-1	3-4477721-1	8691974-1-6152431	5232707-8135597-1	1218436-2107737-1393204	3-2717307-1	5461404-6097367-7560510	1218436-6322595-8469647	5461404-6097367-1	6693678-8611466-1	2019699-8188343-1	1379334-5123435-7383245	5461404-6097367-7372802	6324185-2107737-6384986	5232707-2107737-6515641	6629791-2107737-6384986	5232707-3244127-8172738	3066475-1-684142	8691974-1-2241295	4-1616700-1	9799946-5450323-1	8691974-1-1	1218436-2107737-8469647	5232707-2107737-8172738	2019699-6024802-1	2154916-5123435-4189464	398786-8611466-659993	0-0-8601040	8691974-3233690-1	8031755-5123435-1783765	8691974-1-68991	9005485-8244040-7383245	7216660-4313720-1	2160771-2084339-1	2901226-2107737-1	8853865-0-3	9094165-1-899440	6542102-2107737-7875410	5232707-1-1	5651996-3-1	9746733-8981023-1	222960-1303065-7383245	398786-8611466-4828356	4814921-0-3	2019699-9178907-6134065	5344385-1278111-6384986	7325659-2107737-1	2019699-1616700-1	2019699-9178907-1	5232707-372693-1	1218436-2107737-522033	2978378-1278111-6384986	3183920-5123435-3148282
assemblage-942-374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	10	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61
assemblage-997-241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	81
assemblage-276-320	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	9	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	31	0	0	0	0	104
assemblage-811-951	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	8	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	82	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62
assemblage-993-252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	20	0	0	0	0	0	0	0	0	0	0	0	63
assemblage-481-987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	89	58
assemblage-932-356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	9	0	0	0	0	0	0	12	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	12	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82
assemblage-963-519	0	0	10	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	27	5	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	7	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	6	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	75
assemblage-955-378	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	17	0	0	4	0	0	0	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
assemblage-291-322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	48
