Assemblage_Name	1153116-7954536-0	1-3-8124578	8467749-3-0	9707673-4-1	3-3323648-3	0-901413-996158	3641988-4-1	0-901413-8674497	3-3-3900976	8844185-3-4317517	1153116-3-4993827	4794733-901413-8674497	8844185-3-4989468	0-4313099-8674497	3638643-4932200-8674497	3-3-6986632	0-901413-9615556	3-3-3	0-9325237-8674497	3-4500439-1	0-4932200-306456	45063-3-0	1153116-2024120-9489249	8844185-3-3944544	0-8282556-8674497	1153116-3-0	0-4989809-8605082	0-0-0	0-4989809-8674497	3-3320880-1	1-3-2924613	2756760-901413-8674497	0-4932200-8674497	0-9827686-1	3-5256480-1	8844185-2601906-0	3-4884733-3	1153116-3-9489249	8844185-3-0	63793-3-0	0-5863362-8674497	0-4989809-9589684	1153116-3-3765609	1153116-2240159-0	0-901413-2637215	0-1714715-8674497	0-2-1	1-3-0	0-1823389-8674497	1134271-0-2	1293166-3-9489249	3-4820243-3	3-4-1	3-9901252-8151939	1453581-3-0	3-9901252-3	0-901413-1	0-4932200-2378020	0-1823389-3286150	7382747-3-9489249	3-4-2376531	0-7735281-8674497	0-1670213-8674497	1-3-2	9166789-0-2	0-901413-7453495	3-0-0	347349-4989809-8674497	2567818-3-0	8844185-3-1063119	0-2160241-5392837	0-3708541-996158	0-4932200-8982932
assemblage-749-925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	153	0	23	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-534-699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-722-718	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	21
assemblage-544-479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	145	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	112	0	59	0	0	66	0	0	0	0	0	0	0	9	0	0	5	0	0	24	0	7	0	0	0	17
assemblage-483-564	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	427	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-564-266	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-100-384	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	243	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-871-379	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	0	0	9	0	0	0	25	0	0	0	0	21	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-532-693	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	8	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	11	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	18
assemblage-163-698	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	5	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	12	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	10
assemblage-861-376	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0	6	0	0	0	27	0	0	0	0	23	0	0	0	0	24	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-976-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-373-944	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	250	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-139-994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-534-295	0	0	0	0	0	0	0	413	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-124-373	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-418-895	0	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	6	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	30
assemblage-697-729	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	16
assemblage-964-988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	470	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-839-987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	66	0	0	0	0	0	20
