Assemblage 	OriginTime	Duration
assemblage-189-363	10165	1835
assemblage-367-929	8332	1833
assemblage-750-917	2833	1833
assemblage-831-976	1000	1833
assemblage-544-479	1000	1833
assemblage-414-919	4666	1833
assemblage-656-900	6499	1833
assemblage-983-1003	1000	1833
assemblage-506-586	10165	1835
assemblage-864-394	10165	1835
assemblage-346-754	2833	1833
assemblage-343-509	1000	1833
assemblage-564-266	8332	1833
assemblage-887-364	8332	1833
assemblage-727-745	6499	1833
assemblage-159-705	4666	1833
assemblage-515-702	4666	1833
assemblage-692-724	6499	1833
assemblage-533-694	4666	1833
assemblage-857-390	10165	1835
assemblage-349-757	2833	1833
assemblage-520-691	4666	1833
assemblage-352-519	1000	1833
assemblage-839-987	1000	1833
assemblage-724-723	6499	1833
assemblage-269-236	6499	1833
assemblage-352-772	2833	1833
assemblage-347-771	2833	1833
assemblage-146-728	4666	1833
assemblage-964-988	1000	1833
assemblage-157-739	4666	1833
assemblage-418-895	4666	1833
assemblage-349-945	8332	1833
assemblage-549-299	8332	1833
assemblage-547-488	1000	1833
assemblage-206-355	10165	1835
assemblage-886-386	10165	1835
assemblage-118-366	2833	1833
assemblage-552-274	8332	1833
assemblage-200-370	10165	1835
assemblage-503-578	10165	1835
assemblage-954-990	1000	1833
assemblage-202-368	10165	1835
assemblage-124-373	2833	1833
assemblage-356-762	2833	1833
assemblage-539-268	8332	1833
assemblage-661-663	8332	1833
assemblage-878-367	8332	1833
assemblage-185-363	10165	1835
assemblage-215-380	10165	1835
assemblage-270-241	6499	1833
assemblage-851-1006	1000	1833
assemblage-370-965	8332	1833
assemblage-374-948	8332	1833
assemblage-396-911	4666	1833
assemblage-141-1001	4666	1833
assemblage-871-379	10165	1835
assemblage-431-904	4666	1833
assemblage-838-986	1000	1833
assemblage-853-988	1000	1833
assemblage-643-890	6499	1833
assemblage-834-987	1000	1833
assemblage-268-940	10165	1835
assemblage-493-587	10165	1835
assemblage-139-994	4666	1833
assemblage-752-921	2833	1833
assemblage-204-472	2833	1833
assemblage-523-676	4666	1833
assemblage-264-950	10165	1835
assemblage-362-505	1000	1833
assemblage-368-489	1000	1833
assemblage-150-708	4666	1833
assemblage-344-500	1000	1833
assemblage-364-627	6499	1833
assemblage-341-745	2833	1833
assemblage-158-689	4666	1833
assemblage-187-481	2833	1833
assemblage-847-379	10165	1835
assemblage-148-1000	4666	1833
assemblage-268-932	10165	1835
assemblage-147-979	4666	1833
assemblage-120-380	2833	1833
assemblage-830-1001	1000	1833
assemblage-897-363	8332	1833
assemblage-538-479	1000	1833
assemblage-976-999	1000	1833
assemblage-554-282	8332	1833
assemblage-427-897	4666	1833
assemblage-390-928	8332	1833
assemblage-827-981	1000	1833
assemblage-362-744	2833	1833
assemblage-421-910	4666	1833
assemblage-122-380	2833	1833
assemblage-344-624	6499	1833
assemblage-702-726	6499	1833
assemblage-861-376	10165	1835
assemblage-261-926	10165	1835
assemblage-540-275	8332	1833
assemblage-499-566	10165	1835
assemblage-889-374	8332	1833
assemblage-187-490	2833	1833
assemblage-160-729	4666	1833
assemblage-527-668	4666	1833
assemblage-490-583	10165	1835
assemblage-174-486	2833	1833
assemblage-489-577	10165	1835
assemblage-639-891	6499	1833
assemblage-368-611	6499	1833
assemblage-420-895	4666	1833
assemblage-534-699	4666	1833
assemblage-527-463	1000	1833
assemblage-153-478	2833	1833
assemblage-540-477	1000	1833
assemblage-373-944	8332	1833
assemblage-262-237	6499	1833
assemblage-128-978	4666	1833
assemblage-631-659	8332	1833
assemblage-209-386	10165	1835
assemblage-890-368	8332	1833
assemblage-264-933	10165	1835
assemblage-268-242	6499	1833
assemblage-657-898	6499	1833
assemblage-749-925	2833	1833
assemblage-549-481	1000	1833
assemblage-100-384	2833	1833
assemblage-545-281	8332	1833
assemblage-174-492	2833	1833
assemblage-639-660	8332	1833
assemblage-354-625	6499	1833
assemblage-634-662	8332	1833
assemblage-967-994	1000	1833
assemblage-540-468	1000	1833
assemblage-967-996	1000	1833
assemblage-142-364	2833	1833
assemblage-473-576	10165	1835
assemblage-370-615	6499	1833
assemblage-357-616	6499	1833
assemblage-947-996	1000	1833
assemblage-665-898	6499	1833
assemblage-357-512	1000	1833
assemblage-161-461	2833	1833
assemblage-357-609	6499	1833
assemblage-357-765	2833	1833
assemblage-651-672	8332	1833
assemblage-881-375	8332	1833
assemblage-722-718	6499	1833
assemblage-281-929	10165	1835
assemblage-757-904	2833	1833
assemblage-872-388	10165	1835
assemblage-648-665	8332	1833
assemblage-516-679	4666	1833
assemblage-636-652	8332	1833
assemblage-709-731	6499	1833
assemblage-212-377	10165	1835
assemblage-651-901	6499	1833
assemblage-337-498	1000	1833
assemblage-275-233	6499	1833
assemblage-150-694	4666	1833
assemblage-338-611	6499	1833
assemblage-170-969	4666	1833
assemblage-275-945	10165	1835
assemblage-262-240	6499	1833
assemblage-162-980	4666	1833
assemblage-284-931	10165	1835
assemblage-200-476	2833	1833
assemblage-656-655	8332	1833
assemblage-718-730	6499	1833
assemblage-413-894	4666	1833
assemblage-118-355	2833	1833
assemblage-359-943	8332	1833
assemblage-483-564	10165	1835
assemblage-957-982	1000	1833
assemblage-879-379	10165	1835
assemblage-163-698	4666	1833
assemblage-660-894	6499	1833
assemblage-546-468	1000	1833
assemblage-762-904	2833	1833
assemblage-358-501	1000	1833
assemblage-763-919	2833	1833
assemblage-697-729	6499	1833
assemblage-872-390	8332	1833
assemblage-888-383	8332	1833
assemblage-270-231	6499	1833
assemblage-131-377	2833	1833
assemblage-144-970	4666	1833
assemblage-534-295	8332	1833
assemblage-283-238	6499	1833
assemblage-773-891	2833	1833
assemblage-532-693	4666	1833
assemblage-653-885	6499	1833
assemblage-375-942	8332	1833
assemblage-761-903	2833	1833
