Assemblage_Name	6278862-0-4	1-1-1	3-5437308-1	4122708-6092088-1	3137862-0-4	1-0-4	4122708-7696843-9020058	4122708-9524480-1	7994592-7057881-4798394	4122708-8858550-9020058	4122708-368458-1	4122708-7057881-8728393	4122708-5054630-1	4122708-533743-4183744	8291512-5796611-5909726	3-0-885661	4122708-4111701-1	4451947-7057881-9020058	3156360-0-1	0-7182328-3	5901222-8746381-1	7994592-7057881-9020058	0-1-3	8593696-7057881-7668173	5901222-7057881-1	4122708-4512747-1	6877217-0-1	4979587-7057881-1	1-1419806-4	7994592-5945578-9020058	1-1-6445342	3-7056631-1	2-2-4	3-4646215-1	4122708-2548673-1	4122708-9173726-3597671	5901222-8819837-1	9982968-7057881-1	3-1-1	3-1-4	3100670-7057881-1	4122708-6764257-1	240441-0-4	4122708-7057881-7668173	4122708-7057881-9318974	4122708-7057881-7880574	4122708-9173726-1	4122708-2229869-9020058	8223918-7057881-9020058	1-0-7788596	0-5796611-3	4122708-7057881-1	4122708-7057881-9020058	2071973-0-4	2936605-5796611-3	0-5796611-6495450	3-0-1	4122708-7057881-4183744	4122708-8447117-1	4122708-8378225-1	1326126-7057881-1	1326126-6150652-1	6688220-7057881-9020058	4122708-3410732-1	9438794-7057881-1	3-3-4	4122708-5387930-1	0-5796611-5909726	9704867-7057881-9020058	1017114-5796611-5909726	4122708-9173726-505969	4122708-9173726-3063168
assemblage-663-968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	50	0	0	0	8	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-832-789	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	12	0	0	9	389	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	26	0	0	6
assemblage-549-432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-637-948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	58	0	0	0	4	217	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7
assemblage-653-972	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	25	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	17	12
assemblage-750-626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	17
assemblage-834-809	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	5	0	0	9	392	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	31	0	0	4
assemblage-639-332	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-749-590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	10
assemblage-788-907	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	32	0	0	0	13
