Assemblage_Name	9246628-1-9950524	1013026-1-5990236	2-9916651-2	4021686-1-5990236	7931861-1-5990236	3492485-4504602-9496889	5645686-4504602-9496889	5476548-1-2	88147-1-5990236	1783693-1-2	2-1-2340702	8946655-1-2	9246628-1-2	2977073-4504602-9496889	3492485-6513121-9496889	2332174-1-5990236	9246628-1-9504569	2-1-247793	9246628-1523665-2	2-1-1550170	3492485-4504602-4966051	3492485-4504602-9069395	2561622-1-2	2-5909991-2	2-665824-2	4-4-9496889	1-1-2655914	2-1-640231	6099974-9916651-2	4-3-9113320	444503-1-6390283	1013026-1-2686690	466407-1-6390283	6099210-3-2	7058111-4504602-9496889	753501-4-9496889	2-4349613-2	2-9916651-9577967	3492485-2399025-9496889	2-1600295-5990236	3492485-4504602-3903795	1-1-6390283	3148074-1-6390283	2-4349613-5869159	2-994381-2	0-3-0	5954475-1-2	9825775-1-2	3492485-4504602-8298826	2-9916651-3433239	5178882-4349613-2	5540663-1-5990236	5844984-1-5990236	7508553-1-6390283	2-8315753-5990236	5083681-1-2	2-1-2	2-1-3	4-9025775-4	9235611-4-9496889	3-4-3	5527302-1-5990236	2-1444959-2	2-1-5990236	2-8366408-2	8116117-1-6390283	6495287-3-0	3492485-9186678-9496889	2-9801755-2	4-3-2	2-1-8432786	3492485-4-9496889	1-3136783-6390283	6864055-1-2	2-1-8643054	2-5134205-2	1174073-1-2
assemblage-663-968	0	0	0	0	0	10	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-832-789	0	49	0	66	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	7	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-549-432	0	0	0	0	0	349	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-637-948	0	0	0	0	0	19	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-653-972	0	0	0	0	0	11	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	12	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	7	31	0	0	0	0	0	0	0	312	0	0	0	0	0	0	6	26	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-750-626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	12
assemblage-834-809	0	71	0	52	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	22	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-639-332	0	0	0	0	0	3	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	98	0	0	0	21	0	0	0	10	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	19	0	5	0	0	0	0	0	0	0	0	0	127	0	25	0	0	0	0	17
assemblage-749-590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	10
assemblage-788-907	0	0	0	0	0	328	6	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	11	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-431-697	0	0	0	0	0	4	0	0	0	0	13	5	0	0	0	0	0	0	0	0	0	0	3	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	21	0	0	0	0	0	0	0	319	0	0	0	0	0	0	6	25	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-393-831	0	0	4	0	0	25	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	178	18	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-752-785	0	0	0	0	0	336	7	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-840-332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	40	0	0	0	0	30	0	316	0	0	0	0	0	0	11	0	0	0	0	0	6
assemblage-895-640	0	0	0	0	0	7	0	0	0	0	12	7	0	0	0	0	0	0	0	0	0	0	10	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	8	22	0	0	0	0	0	0	0	301	0	0	0	0	0	0	12	12	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-762-980	0	0	6	0	0	23	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	187	14	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-766-603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	12
assemblage-737-767	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	4	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-663-744	0	0	0	0	0	314	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	9	0	0	0	0	0	0	0	13	0	0	0	0	0	0	12	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-726-965	0	0	0	0	0	479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-379-102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	39	0	0	0	0	26	0	346	0	0	0	0	0	0	9	0	0	0	0	0	7
assemblage-762-609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	8	0	0	0	0	0	0	4	0	0	0	8
assemblage-753-770	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	8	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-747-774	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	8	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-381-816	0	0	5	0	0	25	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	152	12	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
