Assemblage_Name	267369-9583499-6724635	3-3-4166148	767167-3-2	4496057-3120585-38257	4496057-1996082-3	2733438-4-3	4496057-3292650-3	267369-1466262-6724635	3-1-0	8291693-9583499-0	4053488-3-2	3683355-4835652-0	3-9583499-0	4406852-3120585-3507676	3-5743695-2	2-1393502-5782613	2-1-2	4-582683-4	3-6689462-2	3-3-8469472	2635414-3120585-3	3-3-6707710	3002938-3120585-7923038	4496057-3120585-3	4496057-2025217-3	4496057-4892910-3	3-3-2	6124745-5271346-3507676	4496057-3120585-8707155	3-1852544-0	1396136-3120585-3	3-9583499-1223831	6124745-3120585-8262334	4496057-9721383-3	3-9851857-0	6124745-7298717-3507676	3-8181864-1223831	3-6408404-0	3-9583499-7895744	3009204-3120585-3	6101120-1393502-3	4496057-3120585-5872844	4496057-3120585-4561684	4-3120585-3	4496057-3605675-3	3-9583499-7487243	6124745-8369682-3507676	8251083-4-0	2-1393502-3	3-775260-0	3-9230556-0	6703782-7481702-712580	4496057-6242376-3	4496057-1022389-3	1723683-3-2	4-582683-5659920	4879400-0-3	3-9583499-6724635	6124745-3120585-3507676	1-3-0	767167-3-1199259	4058237-3120585-3	4496057-7481702-3	4496057-5694063-3	3-2709420-2	3-1-5982104	3-4835652-0	3-9583499-2348813	6703782-7481702-3	4-3120585-7847720	4496057-7270820-3	3-3-4502626	3-1-1694170	4-3120585-3507676	2286783-3120585-3507676	3-4835652-3341925	3-3-9086490	3-8727560-0	5440215-3-2	4-0-3	4496057-1411495-3	3-1-1175645	2-4-3	2286783-3839013-3507676	4-4-4	4496057-3120585-7923038	4394405-3120585-3507676
assemblage-663-968	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8
assemblage-832-789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	0	0	0	0	48	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-549-432	0	0	32	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-637-948	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-653-972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	190	0	0	0	0	0	0	0	0	55	0	0	19
assemblage-750-626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	11	0	16
assemblage-834-809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	75	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-639-332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	17
assemblage-749-590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	9	0	10
assemblage-788-907	37	0	0	0	0	0	0	0	0	14	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	13	0	0	0	0	23	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	19
assemblage-431-697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	190	0	0	0	0	0	0	0	0	55	0	0	16
assemblage-393-831	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	363	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	11	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	17	0	0	0	0	0	18
assemblage-752-785	31	0	0	0	0	0	0	11	0	18	0	0	303	0	0	6	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	7	0	0	0	0	30	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	12
