Assemblage_Name	2985196-3399782-2	2985196-3399782-6547093	2-4-9902225	4-3926461-5302837	2985196-3399782-3277457	3637265-4-2	2985196-1395740-6632490	2985196-6884063-6635994	3995080-9466820-846309	5774361-4-0	4-4-846309	1834800-3399782-2	8593898-4-846309	4-1618732-2	2100091-4-846309	1216243-9672862-846309	4-3334887-8930987	2985196-3399782-2022549	4-6931196-9252193	4-4-7547255	2985196-3399782-7714743	490806-9466820-846309	4869641-4-846309	4-6869822-846309	4-4-4087774	2985196-8862709-6632490	4-7471530-4305770	1341369-3334887-2418576	4-5349633-846309	2985196-9971125-2	1341369-8802731-6023578	4-3399782-2	3-3-2	2100091-9672862-846309	4-1549628-2	2100091-4789288-846309	1341369-3334887-6682835	4652528-4-846309	2985196-3399782-3646175	0-0-2	2985196-3399782-192522	2648949-4-2	2985196-3399782-6632490	9000387-6931196-2	4842940-3457856-846309	9248059-4-3974421	4-3334887-6531211	4-6931196-2	2985196-3399782-7088289	2589852-4-2	5774361-2832070-0	4-6931196-1495239	6326812-4-0	4-7841078-846309	4-9064002-2	4-4431020-846309	9248059-4-4305770	4-4-2573420	4-4-5787879	4-3926461-846309	6258677-9470626-846309	4-4-2626037	1341369-3334887-6023578	4842940-9672862-846309	2100091-4-6466645	4-3334887-6023578	2985196-3399782-335169	4-3399782-4660726	4-2035583-846309	2985196-3399782-6635994	8593898-831777-846309	490806-4-846309	6905715-4531181-846309	7678006-4-2573420	2985196-3399782-57284	4-4-5583671	8930332-4-2	9274452-4-3	7348773-3-1	4-3334887-718026	6852543-4-846309	4-4-4305770	2985196-3399782-5293199	4-6931196-3684293	4-1-2	4-1054275-846309	4-800157-2	4166-3926461-846309	2985196-3399782-2503692	4-5966842-2	2100091-4531181-846309	4-35833-2	4-6931196-8819782	800435-6931196-2	4-4202262-846309	4-4-0	4-4-3	4-4-2	4-1281357-846309	4-1485667-2	4-6931196-4279212	4-9470626-846309	2161003-4-4305770	1911545-6931196-2
assemblage-709-796	0	0	0	0	0	0	0	0	0	0	218	0	0	0	126	0	0	0	0	0	0	5	0	0	0	0	0	0	20	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	14	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	23
assemblage-360-495	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	167	0	0	0	0	0	0	0	0	0	8	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	6	0	0	42	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	96	0	0	0	0	0	20
assemblage-567-918	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	28
assemblage-788-130	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	55	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-570-928	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	6	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	24
assemblage-158-804	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	14
assemblage-611-196	0	0	0	0	0	0	0	0	0	0	110	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	15	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	125	0	26	0	0	0	49
assemblage-700-370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	263	0	0	13	0	0	39
assemblage-918-571	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	23	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	18	0	0	0	12	0	89	0	0	0	0	0	2
assemblage-496-351	0	0	0	0	0	0	0	0	0	0	163	0	0	0	27	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	13	0	0	0	0	0	0	64	0	0	0	0	0	18
assemblage-905-591	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	21	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	14	0	0	0	25	0	82	0	0	0	0	0	10
assemblage-1007-690	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	13	0	0	0	0	0	19
assemblage-1011-672	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	41	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	15
assemblage-617-770	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	8	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	23
assemblage-484-504	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	11	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0	0	7
assemblage-481-503	0	0	0	0	0	0	0	0	0	0	3	0	0	0	44	0	0	0	0	10	0	0	28	0	8	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	99	0	0	0	0	0	20
assemblage-494-346	0	0	0	0	0	0	0	0	0	0	0	0	54	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	23
assemblage-602-207	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	5	26
assemblage-346-506	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	173	0	0	0	0	0	0	0	0	0	7	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	7	0	0	35	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	90	0	0	0	0	0	19
assemblage-982-160	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	10	0	107	0	0	0	7
assemblage-486-523	0	0	0	0	0	0	0	0	0	0	5	0	0	0	56	0	0	0	0	7	0	0	25	0	9	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	100	0	0	0	0	0	28
assemblage-695-371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	10	0	0	0	0	0	0	12	0	0	0	283	0	0	0	0	0	31
assemblage-276-404	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	13	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	12
assemblage-255-408	0	0	0	0	0	0	0	0	0	0	189	0	0	0	152	0	0	0	0	0	0	15	0	0	0	0	0	0	21	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	22
assemblage-262-403	0	0	0	0	0	4	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	30	0	0	0	0	0	0	5	0	0	0	0	0	299	0	0	0	0	8	17
assemblage-909-855	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0	32	0	0	0	0	0	0	0	0	0	60	0	0	0	28
assemblage-566-940	134	25	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	18	0	0	0	0	0	0	0	0	27	0	0	0	0	0	25
assemblage-709-784	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	8	0	20	6	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	12
assemblage-715-796	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	24	0	81	0	0	0	11
