Assemblage_Name	7778611-1-0	7405456-1420358-4262211	4-7466903-4	2-4-650193	8115366-1868695-3	3-4-5799431	1447462-9381167-9192535	3794369-4-3	2-4-3976248	4-9305141-1	3058294-5832730-4262211	1-5832730-4262211	1-1-4	9380424-5832730-8561090	8115366-4-4072146	3970996-1-8527616	1-3892809-4262211	7985907-1420358-9192535	3-4-7034675	8864793-5832730-4262211	1-6089511-4262211	1-5832730-3325835	1640513-3445125-0	2-0-0	2104519-5832730-4262211	4-1-7368696	1-5832730-4221	2-8439971-4	544913-1-4	1447462-1420358-9192535	8115366-4-3	1640513-1-7695689	9380424-5832730-4262211	1-5832730-1007248	1-5186936-4262211	4310016-5832730-4262211	1640513-74579-0	1-1420358-2	7250949-1420358-2	5992602-1420358-4262211	1-4-7228245	4-2254077-4	9408225-5832730-4262211	8115366-4-165376	1640513-1-0	5783339-1420358-4262211	5720006-5832730-4262211	1-1420358-4262211	7985907-4221748-9192535	4-2-1	1640513-1-9440155	1-629963-4262211	1-4-2	1-5832730-2890412	3-4-3	3-9114782-3	1-5832730-8326715	627758-5832730-4262211	1-5832730-6271558	4-5592403-4	7985907-1420358-2	4-1-4	4-8752670-4	4-0-4436461	5901755-0-2	1-4-5197003	1-1420358-5748806	1-5832730-4905036	1447462-1420358-2111951	1447462-9381167-4737048	4-0-2	8115366-4-1361419	4318440-1-0	2-4-4	8115366-4-5029514	6175617-1420358-2	9721942-4-4	4-1-8527616	1-6320036-4262211	2851203-5832730-4262211
assemblage-709-796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-360-495	0	0	0	0	0	0	0	0	0	0	25	269	0	0	0	0	0	28	0	0	0	0	0	0	6	0	0	0	0	0	25	0	0	0	0	0	0	3	0	0	0	0	0	0	0	40	0	78	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-567-918	0	0	0	0	0	0	0	6	0	0	0	209	0	0	101	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-788-130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	33	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-570-928	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	83	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-158-804	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-611-196	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	13	0	13	0	6	0	9
assemblage-700-370	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-918-571	0	0	0	0	0	0	0	0	0	10	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	10	0	10	0	0	0	126	0	0	0	0	75	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	9	5	0	0	0	0	0	9
assemblage-496-351	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	251	0	7	0	0	0	0	0	0	0	135	0	0	0	0	0	0	39	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-905-591	0	0	0	0	0	0	0	0	0	6	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	11	0	0	0	123	0	0	0	0	72	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	9	3	0	0	0	0	0	24
assemblage-1007-690	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-1011-672	0	0	0	0	6	0	0	0	0	0	0	208	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	9	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	6
assemblage-617-770	0	0	0	0	0	0	41	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	6
assemblage-484-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	0	9	0	0	15
assemblage-481-503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	230	10	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-494-346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	10	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-602-207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	12
assemblage-346-506	0	0	0	0	0	0	0	0	0	0	14	280	0	0	0	0	0	27	0	0	0	0	0	0	11	0	0	0	0	0	19	0	0	0	0	0	0	11	0	0	0	0	0	0	0	42	5	67	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
