Assemblage_Name	8747428-3-1	5817790-5514301-9885816	3-3-1642721	3-7661413-1	5817790-5514301-3155459	4812328-4911238-1201087	412298-1389117-7348078	1202764-1-7348078	412298-6024320-7348078	3701711-3797726-7472059	3750475-1545863-2	4020137-1-6611426	412298-1-1863776	3750475-1-7348078	3-4887293-1	7674605-1-7348078	3-2-2	3-3-6833937	6527948-1-7348078	3-3-1	3-3-3	4812328-3-6931415	412298-8001689-7348078	0-1-2	4812328-3-1642721	4750371-1-7348078	3-5514301-9885816	5325197-960067-6611426	808903-5514301-9885816	5109645-1-7348078	3701711-3-7472059	4750371-9626936-6611426	6400441-1-7348078	3750475-1-2	2-4-3	3750475-1-3805113	3-7867265-1	3-5514301-2041369	5817790-8245660-3155459	4812328-3-5249940	4110975-7554510-6611426	3750475-4162886-7348078	1-3407854-4	4812328-3-1201087	412298-1-7348078	7331916-3-1642721	4812328-3-99355	4750371-9626936-2449238	5898407-9626936-6611426	4812328-9514273-1201087	7674605-1-1139042	0-3620350-2	412298-1-2957559	1-4-4	4750371-9626936-4432969	5109645-4787791-7348078	412298-1-8002703	5325197-1-6611426	3423956-3-1201087	4750371-1-6611426	5325197-7554510-6611426	4067697-3-1201087	412298-2874353-7348078	412298-7080700-7348078	1123723-1-6611426	6019964-3-1
assemblage-768-781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	3	5	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	4
assemblage-347-254	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	30	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-163-932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	64	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-762-563	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	27	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-336-243	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	256	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-901-172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	9	340	0	0	0	0	13
assemblage-918-161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	298	0	0	36	0	0	0	0	18
assemblage-776-766	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	129	0	0	0	0	12
assemblage-565-984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	277	0	0	55	0	0	0	0	18
assemblage-288-419	0	0	0	0	0	0	0	0	26	0	0	0	7	0	0	46	0	0	0	0	0	0	0	0	15	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	9	0	15
assemblage-324-239	0	141	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	85	53	0	0	0	0	0	47	28	0	59	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	9	0	0	0	0	0	0	0	0	11	0	0	0	0	0	32	0	0	0	0	0	19
assemblage-973-309	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	23	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-386-263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	64	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-479-922	0	0	0	0	0	0	0	0	0	0	7	0	0	67	0	0	0	0	0	38	0	0	0	0	0	0	29	0	0	0	0	0	0	179	78	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-462-648	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	137	0	0	0	0	0	0	0	0	0	9	27	0	23	0	0	0	0	0	22
assemblage-603-648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	10	0	0	222	0	0	0	0	0	0	0	55	0	0	64	0	0	0	0	0	0	0	7
assemblage-221-603	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	52	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-563-991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	48	0	0	0	0	0	0	0	0	0	0	0	305	7	0	11	0	0	0	0	0	0	0	0	0	0	81	0	15	0	0	0	0	0	24
assemblage-601-539	0	132	59	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	185	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-750-554	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	257	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	41
assemblage-393-835	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	37	0	0	0	0	0	0	0	0	85	0	0	198	0	0	0	0	0	0	0	0	0	0	19	0	0	7	0	0	16	0	0	0	0	30
assemblage-907-165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	10	360	0	0	0	0	12
assemblage-472-672	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	120	0	0	0	0	0	0	0	0	0	12	21	0	15	0	0	0	0	0	21
assemblage-586-653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	14	320	0	0	0	0	8
assemblage-601-535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	55	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-458-665	0	0	29	0	0	0	0	0	4	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	17	0	0	6	0	74	0	11	0	0	0	0	0	0	0	0	0	0	0	0	97	0	32	0	0	0	0	0	0	0	0	0	0	76	0	124	0	0	0	0	0	20
assemblage-127-489	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	7	0	246	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-389-839	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	124	0	0	0	0	18
assemblage-113-492	0	151	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	91	56	0	0	0	0	0	33	30	0	59	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	10	0	0	0	0	0	0	0	0	9	0	0	0	0	0	24	0	0	0	0	0	16
assemblage-776-769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	63	0	0	0	0	0	0	0	0	99	0	0	191	0	0	0	0	0	0	0	0	0	0	18	0	0	4	0	0	9	0	0	0	0	21
assemblage-305-419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	52	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	4	17
assemblage-474-487	0	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-274-321	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	125	0	0	0	0	0	0	0	0	0	8	16	0	30	0	0	0	0	0	18
assemblage-715-441	0	4	0	32	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	93	0	0	0	5	0	0	129	0	0	0	0	0	0	31	70	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-474-673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	41	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	25
assemblage-704-470	0	5	0	24	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	95	0	0	0	8	0	0	153	0	0	0	0	0	0	42	46	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-746-544	0	17	0	0	0	0	0	4	0	0	0	0	0	127	0	0	0	0	0	96	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	38	0	0	0	0	0	7	0	25	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-919-510	0	13	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	26	28	0	0	58	0	0	3	0	0	0	0	0	0	49	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-781-170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	13	0	0	221	0	0	0	0	0	0	0	55	0	0	65	0	0	0	0	0	0	0	8
assemblage-932-504	0	9	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	27	31	0	0	60	0	0	9	0	0	0	0	0	0	47	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-579-642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	267	0	0	55	0	0	0	0	10
assemblage-300-409	0	0	0	0	0	0	0	0	29	0	0	0	12	0	0	66	0	0	0	0	0	0	0	0	6	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	12	0	23
assemblage-720-455	0	10	0	31	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	104	0	0	0	11	0	0	149	0	0	0	0	0	0	27	49	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-963-275	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	267	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	39
assemblage-598-631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	12	0	0	214	0	0	0	0	0	0	0	61	0	0	68	0	0	0	0	0	0	0	11
assemblage-925-524	0	9	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	24	27	0	0	68	0	0	0	0	0	0	0	0	0	41	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-919-184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	294	0	0	36	0	0	0	0	8
assemblage-596-545	0	0	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-216-420	0	0	0	0	0	0	0	0	21	0	0	0	13	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	288	0	0	9	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	14	0	0	0	26	0	0	0	7	0	6
assemblage-393-822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	18
assemblage-467-667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	44	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	18
assemblage-405-159	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	2	0	0	0	0	38	0	0	0	0	0	156	0	0	0	0	21
assemblage-165-933	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	61	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-266-319	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	283	0	100	0	0	0	0	0	9
