Seriation_Number	Assemblage	8747428-3-1	5817790-5514301-9885816	3-3-1642721	3-7661413-1	5817790-5514301-3155459	4812328-4911238-1201087	412298-1389117-7348078	1202764-1-7348078	412298-6024320-7348078	3701711-3797726-7472059	3750475-1545863-2	4020137-1-6611426	412298-1-1863776	3750475-1-7348078	3-4887293-1	7674605-1-7348078	3-2-2	3-3-6833937	6527948-1-7348078	3-3-1	3-3-3	4812328-3-6931415	412298-8001689-7348078	0-1-2	4812328-3-1642721	4750371-1-7348078	3-5514301-9885816	5325197-960067-6611426	808903-5514301-9885816	5109645-1-7348078	3701711-3-7472059	4750371-9626936-6611426	6400441-1-7348078	3750475-1-2	2-4-3	3750475-1-3805113	3-7867265-1	3-5514301-2041369	5817790-8245660-3155459	4812328-3-5249940	4110975-7554510-6611426	3750475-4162886-7348078	1-3407854-4	4812328-3-1201087	412298-1-7348078	7331916-3-1642721	4812328-3-99355	4750371-9626936-2449238	5898407-9626936-6611426	4812328-9514273-1201087	7674605-1-1139042	0-3620350-2	412298-1-2957559	1-4-4	4750371-9626936-4432969	5109645-4787791-7348078	412298-1-8002703	5325197-1-6611426	3423956-3-1201087	4750371-1-6611426	5325197-7554510-6611426	4067697-3-1201087	412298-2874353-7348078	412298-7080700-7348078	1123723-1-6611426	6019964-3-1
1	assemblage-973-309	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	23	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	8
1	assemblage-788-194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	11	350	0	0	0	0	13
1	assemblage-603-636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	12	0	0	206	0	0	0	0	0	0	0	65	0	0	77	0	0	0	0	0	0	0	7

2	assemblage-767-764	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	154	0	0	0	0	19
2	assemblage-314-432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	55	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	7	17
2	assemblage-749-535	5	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	7	0	260	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	16

3	assemblage-767-764	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	154	0	0	0	0	19
3	assemblage-314-432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	55	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	7	17
3	assemblage-973-309	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	23	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	8

4	assemblage-764-521	0	158	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	70	54	0	0	0	0	0	36	27	0	73	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	15	0	0	0	0	0	0	0	0	6	0	0	0	0	0	27	0	0	0	0	0	12
4	assemblage-788-194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	11	350	0	0	0	0	13
4	assemblage-603-636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	12	0	0	206	0	0	0	0	0	0	0	65	0	0	77	0	0	0	0	0	0	0	7

5	assemblage-764-521	0	158	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	70	54	0	0	0	0	0	36	27	0	73	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	15	0	0	0	0	0	0	0	0	6	0	0	0	0	0	27	0	0	0	0	0	12
5	assemblage-973-309	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	23	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	8
5	assemblage-603-636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	12	0	0	206	0	0	0	0	0	0	0	65	0	0	77	0	0	0	0	0	0	0	7

6	assemblage-764-521	0	158	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	70	54	0	0	0	0	0	36	27	0	73	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	15	0	0	0	0	0	0	0	0	6	0	0	0	0	0	27	0	0	0	0	0	12
6	assemblage-314-432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	55	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	7	17
6	assemblage-603-636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	12	0	0	206	0	0	0	0	0	0	0	65	0	0	77	0	0	0	0	0	0	0	7

7	assemblage-764-521	0	158	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	70	54	0	0	0	0	0	36	27	0	73	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	15	0	0	0	0	0	0	0	0	6	0	0	0	0	0	27	0	0	0	0	0	12
7	assemblage-314-432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	55	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	7	17
7	assemblage-788-194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	11	350	0	0	0	0	13

8	assemblage-764-521	0	158	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	70	54	0	0	0	0	0	36	27	0	73	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	15	0	0	0	0	0	0	0	0	6	0	0	0	0	0	27	0	0	0	0	0	12
8	assemblage-767-764	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	154	0	0	0	0	19
8	assemblage-603-636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	12	0	0	206	0	0	0	0	0	0	0	65	0	0	77	0	0	0	0	0	0	0	7

9	assemblage-153-925	0	3	0	0	0	0	0	0	0	0	0	22	0	0	30	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	12
9	assemblage-788-194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	11	350	0	0	0	0	13
9	assemblage-603-636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	12	0	0	206	0	0	0	0	0	0	0	65	0	0	77	0	0	0	0	0	0	0	7

10	assemblage-153-925	0	3	0	0	0	0	0	0	0	0	0	22	0	0	30	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	12
10	assemblage-973-309	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	23	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	8
10	assemblage-603-636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	12	0	0	206	0	0	0	0	0	0	0	65	0	0	77	0	0	0	0	0	0	0	7

11	assemblage-153-925	0	3	0	0	0	0	0	0	0	0	0	22	0	0	30	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	12
11	assemblage-314-432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	55	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	7	17
11	assemblage-603-636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	12	0	0	206	0	0	0	0	0	0	0	65	0	0	77	0	0	0	0	0	0	0	7

12	assemblage-153-925	0	3	0	0	0	0	0	0	0	0	0	22	0	0	30	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	12
12	assemblage-314-432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	55	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	7	17
12	assemblage-788-194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	11	350	0	0	0	0	13

13	assemblage-153-925	0	3	0	0	0	0	0	0	0	0	0	22	0	0	30	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	12
13	assemblage-767-764	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	154	0	0	0	0	19
13	assemblage-603-636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	12	0	0	206	0	0	0	0	0	0	0	65	0	0	77	0	0	0	0	0	0	0	7

14	assemblage-153-925	0	3	0	0	0	0	0	0	0	0	0	22	0	0	30	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	12
14	assemblage-764-521	0	158	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	70	54	0	0	0	0	0	36	27	0	73	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	15	0	0	0	0	0	0	0	0	6	0	0	0	0	0	27	0	0	0	0	0	12
14	assemblage-603-636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	12	0	0	206	0	0	0	0	0	0	0	65	0	0	77	0	0	0	0	0	0	0	7

15	assemblage-153-925	0	3	0	0	0	0	0	0	0	0	0	22	0	0	30	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	12
15	assemblage-764-521	0	158	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	70	54	0	0	0	0	0	36	27	0	73	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	15	0	0	0	0	0	0	0	0	6	0	0	0	0	0	27	0	0	0	0	0	12
15	assemblage-788-194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	11	350	0	0	0	0	13

16	assemblage-153-925	0	3	0	0	0	0	0	0	0	0	0	22	0	0	30	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	12
16	assemblage-764-521	0	158	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	70	54	0	0	0	0	0	36	27	0	73	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	15	0	0	0	0	0	0	0	0	6	0	0	0	0	0	27	0	0	0	0	0	12
16	assemblage-767-764	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	154	0	0	0	0	19

17	assemblage-215-414	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	122	0	0	0	0	0	0	0	0	0	6	22	0	19	0	0	0	0	0	20
17	assemblage-314-432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	55	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	7	17
