Assemblage 	OriginTime	Duration
assemblage-768-781	10165	1835
assemblage-347-254	2833	1833
assemblage-163-932	4666	1833
assemblage-762-563	2833	1833
assemblage-336-243	2833	1833
assemblage-901-172	8332	1833
assemblage-918-161	8332	1833
assemblage-565-984	8332	1833
assemblage-288-419	6499	1833
assemblage-324-239	2833	1833
assemblage-973-309	2833	1833
assemblage-386-263	1000	1833
assemblage-479-922	1000	1833
assemblage-462-648	6499	1833
assemblage-603-648	8332	1833
assemblage-221-603	4666	1833
assemblage-776-766	10165	1835
assemblage-601-539	4666	1833
assemblage-750-554	2833	1833
assemblage-393-835	10165	1835
assemblage-907-165	8332	1833
assemblage-472-672	6499	1833
assemblage-586-653	8332	1833
assemblage-601-535	4666	1833
assemblage-458-665	6499	1833
assemblage-127-489	2833	1833
assemblage-389-839	10165	1835
assemblage-113-492	2833	1833
assemblage-776-769	10165	1835
assemblage-305-419	6499	1833
assemblage-474-487	4666	1833
assemblage-274-321	6499	1833
assemblage-715-441	1000	1833
assemblage-474-673	6499	1833
assemblage-704-470	1000	1833
assemblage-746-544	2833	1833
assemblage-919-510	1000	1833
assemblage-781-170	8332	1833
assemblage-932-504	1000	1833
assemblage-579-642	8332	1833
assemblage-300-409	6499	1833
assemblage-720-455	1000	1833
assemblage-963-275	2833	1833
assemblage-598-631	8332	1833
assemblage-925-524	1000	1833
assemblage-919-184	8332	1833
assemblage-596-545	4666	1833
assemblage-216-420	6499	1833
assemblage-393-822	10165	1835
assemblage-467-667	6499	1833
assemblage-405-159	10165	1835
assemblage-165-933	4666	1833
assemblage-266-319	6499	1833
assemblage-383-175	10165	1835
assemblage-493-921	1000	1833
assemblage-464-478	4666	1833
assemblage-682-132	10165	1835
assemblage-227-417	6499	1833
assemblage-205-591	4666	1833
assemblage-444-470	4666	1833
assemblage-159-926	4666	1833
assemblage-314-432	6499	1833
assemblage-120-520	2833	1833
assemblage-488-489	4666	1833
assemblage-215-414	6499	1833
assemblage-329-233	2833	1833
assemblage-153-925	4666	1833
assemblage-786-764	10165	1835
assemblage-704-150	10165	1835
assemblage-300-431	6499	1833
assemblage-264-322	6499	1833
assemblage-208-589	4666	1833
assemblage-591-641	8332	1833
assemblage-106-503	2833	1833
assemblage-385-184	10165	1835
assemblage-106-508	2833	1833
assemblage-931-516	1000	1833
assemblage-976-294	2833	1833
assemblage-580-539	4666	1833
assemblage-485-929	1000	1833
assemblage-569-984	8332	1833
assemblage-323-254	2833	1833
assemblage-270-332	6499	1833
assemblage-465-461	4666	1833
assemblage-377-173	10165	1835
assemblage-768-770	10165	1835
assemblage-977-280	2833	1833
assemblage-393-178	10165	1835
assemblage-377-179	10165	1835
assemblage-600-534	4666	1833
assemblage-470-474	4666	1833
assemblage-782-174	8332	1833
assemblage-767-194	8332	1833
assemblage-943-508	1000	1833
assemblage-780-771	10165	1835
assemblage-393-273	1000	1833
assemblage-396-853	10165	1835
assemblage-380-266	1000	1833
assemblage-471-468	4666	1833
assemblage-394-839	10165	1835
assemblage-563-991	8332	1833
assemblage-767-764	10165	1835
assemblage-948-525	1000	1833
assemblage-749-535	2833	1833
assemblage-575-646	8332	1833
assemblage-781-776	10165	1835
assemblage-695-147	10165	1835
assemblage-788-194	8332	1833
assemblage-448-666	6499	1833
assemblage-377-268	1000	1833
assemblage-697-453	1000	1833
assemblage-907-151	8332	1833
assemblage-228-424	6499	1833
assemblage-254-312	6499	1833
assemblage-296-429	6499	1833
assemblage-930-503	1000	1833
assemblage-326-246	2833	1833
assemblage-382-196	10165	1835
assemblage-296-426	6499	1833
assemblage-578-554	4666	1833
assemblage-379-264	1000	1833
assemblage-568-994	8332	1833
assemblage-758-164	8332	1833
assemblage-781-185	8332	1833
assemblage-381-173	10165	1835
assemblage-279-335	6499	1833
assemblage-148-933	4666	1833
assemblage-157-926	4666	1833
assemblage-329-265	2833	1833
assemblage-603-636	8332	1833
assemblage-575-975	8332	1833
assemblage-692-143	10165	1835
assemblage-210-589	4666	1833
assemblage-792-172	8332	1833
assemblage-174-925	4666	1833
assemblage-211-606	4666	1833
assemblage-959-514	1000	1833
assemblage-291-419	6499	1833
assemblage-587-643	8332	1833
assemblage-500-912	1000	1833
assemblage-977-271	2833	1833
assemblage-708-443	1000	1833
assemblage-228-436	6499	1833
assemblage-558-998	8332	1833
assemblage-384-265	1000	1833
assemblage-389-833	10165	1835
assemblage-395-842	10165	1835
assemblage-121-518	2833	1833
assemblage-384-269	1000	1833
assemblage-716-134	10165	1835
assemblage-463-661	6499	1833
assemblage-694-439	1000	1833
assemblage-489-915	1000	1833
assemblage-701-457	1000	1833
assemblage-229-409	6499	1833
assemblage-683-134	10165	1835
assemblage-206-601	4666	1833
assemblage-784-522	2833	1833
assemblage-487-919	1000	1833
assemblage-206-609	4666	1833
assemblage-402-252	1000	1833
assemblage-764-519	2833	1833
assemblage-151-925	4666	1833
assemblage-490-917	1000	1833
assemblage-922-171	8332	1833
assemblage-498-925	1000	1833
assemblage-962-284	2833	1833
assemblage-210-424	6499	1833
assemblage-564-992	8332	1833
assemblage-691-148	10165	1835
assemblage-259-320	6499	1833
assemblage-954-291	2833	1833
assemblage-678-129	10165	1835
assemblage-606-537	4666	1833
assemblage-453-654	6499	1833
assemblage-123-486	2833	1833
