assemblage	easting	northing
assemblage-489-915	489	915
assemblage-490-917	490	917
assemblage-500-912	500	912
assemblage-479-922	479	922
assemblage-493-921	493	921
assemblage-485-929	485	929
assemblage-498-925	498	925
assemblage-487-919	487	919
assemblage-694-439	694	439
assemblage-701-457	701	457
assemblage-720-455	720	455
assemblage-715-441	715	441
assemblage-726-448	726	448
assemblage-697-453	697	453
assemblage-704-470	704	470
assemblage-708-443	708	443
assemblage-930-503	930	503
assemblage-948-525	948	525
assemblage-932-504	932	504
assemblage-931-516	931	516
assemblage-919-510	919	510
assemblage-959-514	959	514
assemblage-943-508	943	508
assemblage-925-524	925	524
assemblage-377-268	377	268
assemblage-393-273	393	273
assemblage-402-252	402	252
assemblage-379-264	379	264
assemblage-386-263	386	263
assemblage-384-265	384	265
assemblage-384-269	384	269
assemblage-380-266	380	266
assemblage-754-535	754	535
assemblage-750-554	750	554
assemblage-762-563	762	563
assemblage-746-544	746	544
assemblage-764-519	764	519
assemblage-764-521	764	521
assemblage-749-535	749	535
assemblage-784-522	784	522
assemblage-976-294	976	294
assemblage-955-283	955	283
assemblage-954-291	954	291
assemblage-962-284	962	284
assemblage-977-280	977	280
assemblage-963-275	963	275
assemblage-977-271	977	271
assemblage-973-309	973	309
assemblage-106-503	106	503
assemblage-115-496	115	496
assemblage-123-486	123	486
assemblage-106-508	106	508
assemblage-127-489	127	489
assemblage-121-518	121	518
assemblage-120-520	120	520
assemblage-113-492	113	492
assemblage-336-243	336	243
assemblage-329-233	329	233
assemblage-323-254	323	254
assemblage-329-265	329	265
assemblage-347-254	347	254
assemblage-324-239	324	239
assemblage-325-253	325	253
assemblage-326-246	326	246
assemblage-165-933	165	933
assemblage-153-925	153	925
assemblage-151-925	151	925
assemblage-159-926	159	926
assemblage-157-926	157	926
assemblage-163-932	163	932
assemblage-174-925	174	925
assemblage-148-933	148	933
assemblage-474-487	474	487
assemblage-488-489	488	489
assemblage-471-468	471	468
assemblage-444-470	444	470
assemblage-485-489	485	489
assemblage-464-478	464	478
assemblage-470-474	470	474
assemblage-465-461	465	461
assemblage-211-606	211	606
assemblage-210-589	210	589
assemblage-206-609	206	609
assemblage-208-589	208	589
assemblage-221-603	221	603
assemblage-205-591	205	591
assemblage-206-601	206	601
assemblage-224-589	224	589
assemblage-599-537	599	537
assemblage-601-539	601	539
assemblage-578-554	578	554
assemblage-596-545	596	545
assemblage-580-539	580	539
assemblage-601-535	601	535
assemblage-606-537	606	537
assemblage-600-534	600	534
assemblage-228-406	228	406
assemblage-210-424	210	424
assemblage-227-417	227	417
assemblage-228-424	228	424
assemblage-215-414	215	414
assemblage-229-409	229	409
assemblage-228-436	228	436
assemblage-216-420	216	420
assemblage-262-339	262	339
assemblage-266-319	266	319
assemblage-254-312	254	312
assemblage-270-332	270	332
assemblage-264-322	264	322
assemblage-279-335	279	335
assemblage-274-321	274	321
assemblage-259-320	259	320
assemblage-305-419	305	419
assemblage-288-419	288	419
assemblage-314-432	314	432
assemblage-291-419	291	419
assemblage-296-429	296	429
assemblage-300-409	300	409
assemblage-300-431	300	431
assemblage-296-426	296	426
assemblage-463-661	463	661
assemblage-453-654	453	654
assemblage-448-666	448	666
assemblage-458-665	458	665
assemblage-467-667	467	667
assemblage-472-672	472	672
assemblage-462-648	462	648
assemblage-474-673	474	673
assemblage-792-172	792	172
assemblage-788-194	788	194
assemblage-758-164	758	164
assemblage-767-194	767	194
assemblage-781-185	781	185
assemblage-772-154	772	154
assemblage-782-174	782	174
assemblage-781-170	781	170
assemblage-894-155	894	155
assemblage-922-171	922	171
assemblage-907-165	907	165
assemblage-919-184	919	184
assemblage-901-172	901	172
assemblage-918-161	918	161
assemblage-907-151	907	151
assemblage-920-162	920	162
assemblage-598-631	598	631
assemblage-603-636	603	636
assemblage-579-642	579	642
assemblage-575-646	575	646
assemblage-587-643	587	643
assemblage-591-641	591	641
assemblage-603-648	603	648
assemblage-586-653	586	653
assemblage-558-998	558	998
assemblage-575-975	575	975
assemblage-554-1004	554	1004
assemblage-563-991	563	991
assemblage-569-984	569	984
assemblage-564-992	564	992
assemblage-568-994	568	994
assemblage-565-984	565	984
assemblage-682-132	682	132
assemblage-692-143	692	143
assemblage-704-150	704	150
assemblage-716-134	716	134
assemblage-678-129	678	129
assemblage-691-148	691	148
assemblage-683-134	683	134
assemblage-695-147	695	147
assemblage-394-839	394	839
assemblage-396-853	396	853
assemblage-395-842	395	842
assemblage-389-839	389	839
assemblage-393-822	393	822
assemblage-401-853	401	853
assemblage-393-835	393	835
assemblage-389-833	389	833
assemblage-377-179	377	179
assemblage-382-196	382	196
assemblage-381-173	381	173
assemblage-405-159	405	159
assemblage-383-175	383	175
assemblage-377-173	377	173
assemblage-393-178	393	178
assemblage-385-184	385	184
assemblage-768-781	768	781
assemblage-781-776	781	776
assemblage-780-771	780	771
assemblage-776-769	776	769
assemblage-768-770	768	770
assemblage-786-764	786	764
assemblage-767-764	767	764
assemblage-776-766	776	766
