Assemblage_Name	7625912-3-0	1151317-3-4	3-3-1941712	4528469-3-4	5180057-3-0	3-3-6794026	3-3-8832372	2-1-5102241	6886388-3-0	3-3-2242043	3-3-4846352	3-4258235-0	8569811-3-0	3-5904459-0	3-3-8393036	3-3-7129328	3-3-28084	1-0-9202069	4080754-3-0	2-1-7690797	3-5959870-0	3-3-7199989	3-3-2826600	682089-3-0	1-0-1	3106972-3-0	3-6080466-0	3-3-1809913	2-1-4	2-1-5906191	2-1-911513	3-2398837-0	3-3-9986904	2-1-407797	3-3-8724763	3-3-3592075	1-0-4930498	5213030-3-0	3-3-6913921	353293-3-4	7535894-3-0	3-1713967-0	3-9407662-0	7714862-3-0	8332485-0-1	3-3-4	5885982-3-4	3-3-0	3-8236812-0	3-3612849-0	3-9618826-0	3-3-1633694	217582-1-4	3-1794168-0	5219332-1-4	2-5597874-4	3089552-3-0	2-5342139-4	3-5775730-4	6414665-3-0	2-1-1939643	543127-3-0	3-3-20537	854063-3-0	2-3697097-4	3-477236-4	2-1-2628625	2-5850146-4	3-3-600193	3-3-388812	3-3-2476169	1-5377392-1	1-0-3189005	3-4176784-0	3-6792613-0	8905485-3-0
assemblage-15-2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16610	19	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	68	0	42996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-34-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8894	0	0	0	1315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5936	0	8690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
assemblage-21-45	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6776	0	0	0	4716	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6111	0	7197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16	1	0	0	0	0	0	0	0	0	0
assemblage-69-73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	1103	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	59846	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-39-2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5149	0	0	0	9782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3632	0	6262	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0
assemblage-46-6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55623	0	0	0	0	0	0	0	0	0	0	0	0	0	5290	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-61-59	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55106	0	1	0	0	0	0	0	0	0	0	0	0	0	5723	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-17	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	17601	25	0	0	3	0	0	0	0	1	1	0	7	0	0	0	0	56	0	42002	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
assemblage-8-54	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2532	0	0	0	2626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10809	0	8733	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-58-70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11011	0	0	0	3452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4832	0	5545	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
