Assemblage 	OriginTime	Duration
assemblage-15-2	4200	600
assemblage-34-9	3000	600
assemblage-21-45	3000	600
assemblage-69-73	4800	600
assemblage-39-2	3000	600
assemblage-46-6	5400	600
assemblage-61-59	5400	600
assemblage-35-61	4200	600
assemblage-8-54	3000	600
assemblage-58-70	3000	600
assemblage-48-11	3000	600
assemblage-17-53	3600	600
assemblage-28-22	3000	600
assemblage-55-53	3000	3000
assemblage-15-62	4200	600
assemblage-36-4	3000	600
assemblage-12-17	4200	600
assemblage-10-73	4800	600
assemblage-10-70	3000	600
assemblage-73-74	3600	600
assemblage-57-43	3000	600
assemblage-12-3	5400	600
assemblage-14-69	3000	600
assemblage-41-51	3000	600
assemblage-32-41	4800	600
assemblage-39-34	3000	600
assemblage-26-20	3000	600
assemblage-67-41	3000	600
assemblage-5-34	3600	600
assemblage-71-55	3600	600
assemblage-47-16	3000	600
