Assemblage_Name	3-4686895-1	2-2794365-4	3-7269041-1	3-9507182-1	3-6135114-1	3-2-1958636	3-6565201-1	3-2-6035613	3-5442802-1	5230594-2-1	1208576-4-3	3-2-1	3-1443348-1	3-2-507966	3-2-7409694	1815850-2-1	3-1376620-1	0-3-2	3-8804611-1	3-9118249-1	2-2-4	3156625-2-1	1634033-2-1	3-2-9705108	3-985310-1	4-4-3	5254861-2-1	3-7247130-1	9228319-2-4
assemblage-14-31	0	0	0	0	0	4	0	0	0	0	0	163963	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-1-16	0	0	0	0	0	3	0	0	0	0	0	163967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-73-41	12	0	0	0	0	0	0	0	0	0	0	163805	0	0	5	0	0	0	0	0	0	0	0	80	0	0	0	0	0
assemblage-73-62	0	0	7	0	0	0	16	0	0	0	0	163577	11	0	0	0	0	0	0	101	0	2	25	0	0	0	0	20	0
assemblage-41-8	0	0	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	0	2	0	0	76	0	0	0	0	3381	0	0	0
assemblage-60-72	0	0	0	0	0	0	0	0	0	0	0	1374	0	0	0	0	0	993	0	0	1150	0	0	0	0	1072	0	0	0
assemblage-40-68	0	0	0	0	0	0	0	0	0	0	0	163783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-9-16	91	0	3	1	1	2	3	1	0	1	0	656484	0	10	0	1	0	524	0	5	1430	0	3	45	0	1390	0	8	0
assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
assemblage-62-37	0	0	2	0	0	0	2	0	0	0	0	163732	0	0	0	0	0	0	0	3	0	0	17	0	0	0	0	3	0
assemblage-34-51	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	17	0	0	3937	0	0	0	0	624	0	0	1
assemblage-70-53	0	0	0	0	0	0	0	0	0	0	0	4182	0	0	0	0	0	170	0	0	214	0	0	0	0	23	0	0	0
assemblage-27-49	0	0	0	0	0	0	0	0	0	0	0	4206	0	0	0	0	0	127	0	0	243	0	0	0	0	13	0	0	0
assemblage-15-46	0	0	0	0	0	0	0	0	0	0	0	2321	0	0	0	0	0	427	0	0	1017	0	0	0	0	824	0	0	0
assemblage-43-9	0	0	0	0	0	0	5	0	0	0	0	163713	2	0	0	0	1	0	0	22	0	0	9	0	0	0	0	7	0
assemblage-25-47	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	4039	0	0	272	0	0	0	0	242	0	0	0
assemblage-53-34	0	0	0	0	0	0	0	0	0	0	0	163783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-17-33	30	0	0	0	0	0	0	0	0	0	0	163858	0	0	2	0	0	0	0	0	0	0	0	11	0	0	1	0	0
assemblage-17-4	0	0	0	0	0	0	0	0	1	0	1	1157	0	0	0	0	0	0	0	0	68	0	0	0	0	3362	0	0	0
assemblage-26-45	0	0	0	0	0	20	0	0	0	0	0	163950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-59-24	0	0	0	0	0	0	0	0	0	0	0	1138	0	0	0	0	0	267	0	0	863	0	0	0	0	2321	0	0	0
assemblage-73-8	0	0	0	0	0	0	0	0	0	0	0	4215	0	0	0	0	0	122	0	0	224	0	0	0	0	28	0	0	0
assemblage-22-55	0	0	0	0	0	0	0	0	0	0	0	949	0	0	0	0	0	1687	0	0	962	0	0	0	0	991	0	0	0
assemblage-52-30	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	6	0	0	3959	0	0	0	0	609	0	0	0
assemblage-63-12	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	15	0	0	3934	0	0	0	0	629	0	0	0
assemblage-47-10	0	0	0	0	0	0	0	0	0	0	0	886	0	0	0	0	0	377	0	0	2406	0	0	0	0	920	0	0	0
assemblage-35-51	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	4029	0	0	254	0	0	0	0	252	0	0	0
assemblage-3-10	47	0	0	0	0	0	0	0	0	0	0	163819	0	0	1	0	0	0	0	0	0	0	0	34	1	0	0	0	0
assemblage-51-32	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	4049	0	0	265	0	0	0	0	222	0	0	0
