Assemblage_Name	1-7233645-1	2-3367110-3	1-6233843-1	1-3-1	1-4403496-1	2-1669903-3	1-3-9724406	2-1-3	1-3-757085	1-3-7133489	4-4-0	7326509-3-1	8665627-3-1	4775705-3-1	2-4-1	2-8730386-3	1-3-7475979	7019870-3-1	1836284-4-0	1-5385791-1	2-2572490-3	1-4575587-1	1-3-1808201	6764360-3-1
assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
assemblage-74-2	0	0	0	47291	0	16898	0	6548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-51-43	0	0	0	266	0	0	0	349	0	0	294	0	0	0	270	0	0	0	0	0	0	0	0	0
assemblage-23-4	0	0	0	26967	0	19120	0	20497	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
assemblage-66-14	0	0	0	40297	0	1873	0	27124	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-69	0	0	0	5	0	0	0	707	0	0	26	0	0	0	441	0	0	0	0	0	0	0	0	0
assemblage-55-33	0	0	0	37211	0	4937	0	29078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-53	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-45-24	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0
assemblage-37-57	0	0	0	36674	0	23369	0	10407	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0
assemblage-1-73	0	0	0	46746	0	10491	0	13989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-33-30	1	0	0	36954	5	7345	0	22281	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-59-71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0
assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0
assemblage-48-1	0	0	0	1092	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-68	0	0	0	32069	0	13084	0	21432	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
assemblage-73-6	0	0	0	1029	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-32-5	0	0	0	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-2-48	0	0	0	907	0	0	0	204	0	0	66	0	0	0	2	0	0	0	0	0	0	0	0	0
assemblage-13-15	0	1	0	180758	0	37392	0	60563	1	0	433	1	0	1	0	2	0	0	0	0	0	0	2	1
assemblage-55-47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0
assemblage-42-34	0	0	0	943	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-3-16	0	0	0	33342	0	10002	0	27390	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
assemblage-50-41	0	0	0	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-29-48	0	0	0	50104	0	4405	0	14890	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0
