Assemblage_Name	1-7233645-1	2-3367110-3	1-6233843-1	1-3-1	1-4403496-1	2-1669903-3	1-3-9724406	2-1-3	1-3-757085	1-3-7133489	4-4-0	7326509-3-1	8665627-3-1	4775705-3-1	2-4-1	2-8730386-3	1-3-7475979	7019870-3-1	1836284-4-0	1-5385791-1	2-2572490-3	1-4575587-1	1-3-1808201	6764360-3-1
assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0
assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0
assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-51-43	0	0	0	266	0	0	0	349	0	0	294	0	0	0	270	0	0	0	0	0	0	0	0	0
assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-29-48	0	0	0	50104	0	4405	0	14890	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0
