Seriation_Number	Assemblage	8639351-4-4	733770-4-2	0-0-2	3-2677409-2	5119683-4-2	3-7596707-2	3-4-1403441	3-4-2	3-7779774-2	2-1-4	4-4-4	3-3983074-2	4-4-0	3-8671927-2	3-4507280-2	3295939-0-2	9543264-4-2	2-2-0	1176652-4-2	3-4-9589649	3288350-4-2	3-4-6650077	4-4-6784101	3-8421824-2	2-2522762-4
1	assemblage-46-35	0	0	0	0	0	0	0	68743	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1	assemblage-3-16	0	0	0	0	0	0	0	68341	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0
1	assemblage-50-41	0	0	0	0	0	0	0	0	0	0	2171	0	0	0	0	0	0	0	0	0	0	0	538	0	0

2	assemblage-1-73	0	0	0	0	0	0	0	70871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	assemblage-3-16	0	0	0	0	0	0	0	68341	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0
2	assemblage-50-41	0	0	0	0	0	0	0	0	0	0	2171	0	0	0	0	0	0	0	0	0	0	0	538	0	0

3	assemblage-1-73	0	0	0	0	0	0	0	70871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	assemblage-46-35	0	0	0	0	0	0	0	68743	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3	assemblage-50-41	0	0	0	0	0	0	0	0	0	0	2171	0	0	0	0	0	0	0	0	0	0	0	538	0	0

4	assemblage-1-73	0	0	0	0	0	0	0	70871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	assemblage-46-35	0	0	0	0	0	0	0	68743	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4	assemblage-3-16	0	0	0	0	0	0	0	68341	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0

5	assemblage-55-47	0	0	0	0	0	0	0	0	0	0	0	0	2695	0	0	0	0	14	0	0	0	0	0	0	0
5	assemblage-3-16	0	0	0	0	0	0	0	68341	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0
5	assemblage-50-41	0	0	0	0	0	0	0	0	0	0	2171	0	0	0	0	0	0	0	0	0	0	0	538	0	0

6	assemblage-55-47	0	0	0	0	0	0	0	0	0	0	0	0	2695	0	0	0	0	14	0	0	0	0	0	0	0
6	assemblage-46-35	0	0	0	0	0	0	0	68743	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
6	assemblage-50-41	0	0	0	0	0	0	0	0	0	0	2171	0	0	0	0	0	0	0	0	0	0	0	538	0	0

7	assemblage-55-47	0	0	0	0	0	0	0	0	0	0	0	0	2695	0	0	0	0	14	0	0	0	0	0	0	0
7	assemblage-46-35	0	0	0	0	0	0	0	68743	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
7	assemblage-3-16	0	0	0	0	0	0	0	68341	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0

8	assemblage-55-47	0	0	0	0	0	0	0	0	0	0	0	0	2695	0	0	0	0	14	0	0	0	0	0	0	0
8	assemblage-1-73	0	0	0	0	0	0	0	70871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	assemblage-50-41	0	0	0	0	0	0	0	0	0	0	2171	0	0	0	0	0	0	0	0	0	0	0	538	0	0

9	assemblage-55-47	0	0	0	0	0	0	0	0	0	0	0	0	2695	0	0	0	0	14	0	0	0	0	0	0	0
9	assemblage-1-73	0	0	0	0	0	0	0	70871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
