Seriation_Number	Assemblage	1-4-4472448	1-5112331-2	1-3680909-2	2828598-4-2	1-4-2	1-4-2470516	1-5932697-2	2919044-4-2	4956657-4-2	1-714009-2	1040139-4-2	1949260-4-2	1-2419351-2	0-2264346-2	1-8817033-2	8490811-4-2	4-2-2	1-3-7584588	4-8710569-2	1-4-4114175	6079110-4-2	1-4-7024312	3-182424-1	1105710-4-2	1-7085296-2	1-3-0	1-5108944-2	1-4-302523	997754-4-2	1365993-4-2	1-4-3571017	5026284-4-2	3-3-9976434	1-182498-2	9562616-4-2	1-4-5696628	1-4-4799620	3-254-1	8661244-4-2	1-4-6661731	9856306-4-2	1-4-1301424	0-2-6957938	3-3-1	1-4-3999521	1-6106629-2	8194313-4-2	3-3-2841715	2403438-3-0	1-4-4665687	1-2181301-2	6658765-4-2	1-3440985-2	1-5944100-2	1-3980363-2	3-3-3155714	8139633-4-2	1-8274154-2	2851905-4-2	6204820-4-2	1-4-9858037	1-4-7028848	1-4-1045773	4382470-4-2	1-4-3219234	1-4-2708505	1-4-2705714	1-4134553-2	1-4-6363845	1-4-7169292	1-4-2654454	1-4-5415405	1-1413907-2	4-2-2398440	1-7977828-2	6539079-4-2	1-4-6310579	1-4-1219971	8006064-4-2	3413651-4-2	1-4-8496263	1-4435944-2	1-4-2183852	3-1-3	3-4-4	0-2-2	5055904-4-2	1-4-6486336	1-4-5473631	1-129414-2	1-4-3042395	2590555-4-2	527442-4-2	1-4-4499486
1	assemblage-36-54	0	0	0	0	17979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24376	0	0	0	0	0	0	0	0
1	assemblage-11-3	0	0	0	0	42587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	assemblage-61-64	0	0	0	0	37780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

2	assemblage-39-44	0	0	0	0	29319	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12683	0	0	0	0	0	0	0	0
2	assemblage-11-3	0	0	0	0	42587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	assemblage-61-64	0	0	0	0	37780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

3	assemblage-10-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	6066	0	0	0	0	0	0	0	0
3	assemblage-42-61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	866	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1782	269	134	0	0	0	0	0	0	0	0
