Assemblage 	OriginTime	Duration
assemblage-37-7	5800	1400
assemblage-54-10	4400	1400
assemblage-32-54	5800	1400
assemblage-2-12	8600	1400
assemblage-25-74	7200	1400
assemblage-44-36	4400	1400
assemblage-73-43	7200	1400
assemblage-44-10	8600	1400
assemblage-55-5	8600	1400
assemblage-59-43	5800	1400
assemblage-53-62	3000	1400
assemblage-6-68	4400	1400
assemblage-11-3	8600	1400
assemblage-57-35	5800	1400
assemblage-31-23	4400	2800
assemblage-17-26	5800	1400
assemblage-48-41	3000	1400
assemblage-51-49	3000	2800
assemblage-64-65	4400	5600
assemblage-17-73	8600	1400
assemblage-12-37	7200	1400
assemblage-28-48	5800	4200
assemblage-67-71	8600	1400
assemblage-17-56	3000	2800
assemblage-7-33	3000	1400
assemblage-48-10	4400	1400
assemblage-72-67	7200	1400
assemblage-25-2	7200	1400
assemblage-15-49	5800	1400
assemblage-43-49	8600	1400
assemblage-27-51	7200	2800
assemblage-63-62	3000	1400
assemblage-39-44	4400	1400
assemblage-33-69	3000	1400
assemblage-54-47	8600	1400
assemblage-70-50	5800	2800
assemblage-42-61	3000	1400
assemblage-71-21	3000	1400
assemblage-24-5	3000	2800
assemblage-3-42	3000	1400
assemblage-29-52	8600	1400
assemblage-21-17	4400	1400
assemblage-32-21	8600	1400
assemblage-10-51	7200	2800
assemblage-38-27	5800	4200
assemblage-36-54	4400	1400
assemblage-16-44	3000	2800
assemblage-66-2	8600	1400
assemblage-32-65	7200	1400
assemblage-6-20	3000	1400
assemblage-69-65	3000	1400
assemblage-9-27	4400	1400
assemblage-59-14	5800	1400
assemblage-61-65	7200	1400
assemblage-61-64	7200	1400
assemblage-58-31	4400	2800
assemblage-39-33	5800	1400
assemblage-15-32	3000	1400
assemblage-16-33	5800	1400
assemblage-41-54	7200	1400
assemblage-74-56	3000	1400
assemblage-2-62	4400	1400
assemblage-28-72	3000	1400
assemblage-26-20	4400	1400
assemblage-30-22	7200	1400
assemblage-20-62	3000	1400
assemblage-60-61	3000	1400
assemblage-10-6	3000	1400
assemblage-46-24	8600	1400
assemblage-66-45	7200	1400
assemblage-68-49	3000	4200
assemblage-54-71	5800	1400
assemblage-47-50	8600	1400
assemblage-13-67	7200	1400
assemblage-37-15	8600	1400
