Assemblage_Name	4-2-5180842	3-3-324369	9176107-4-3	3-9312033-1	4-2-5400395	3-3-326421	4-4582825-4	2-3-2141281	4-2-5866838	3-9046501-1	0-4-6388554	3-6109653-4	520268-2-4	0-4-6679905	3-3-9311476	3-404713-1	2-3-4893920	4-4887419-4	0-4066106-0	4-2750871-4	0-4-5208298	3-1698274-1	4759125-4-3	4-966520-4	0-904177-0	0-4-8594252	4-1083725-4	1293953-2-4	3-3-1496127	0-3030069-0	3-3-3206197	1-9946032-3	7846804-2-4	3-3-8615989	0-4-8179602	3976424-3-1	2352723-2-4	3-5109561-1	0-3-3	7088849-3-1	0-6448636-0	0-4-9607782	222754-4-0	1288228-0-4	7111434-2-4	8727064-3-1	3950268-2-4	4-2-2086496	2021217-3-1	8677502-2-4	463869-2-4	1-4-5365017	1-553352-3	3-7000502-1	6905101-3-1	4882094-4-3	4-2-3193943	6860446-3-1	3-3-128298	3-3-1256093	0-4-9245650	2-3-9324696	1-4-971057	3-3-7968243	5630695-2-4	3-8853455-1	5189422-3-1	7174117-2-4	1997826-3-1	1-2-3	3-3-9855464	9307476-4-0	5502551-4-0	237577-2-4	3-3404561-1	4-2-7216354	3373967-4-0	4-2-632629	4345469-4-1514887	5170536-3-1	4883541-4-0	4-2908882-4	3-4244814-1	0-4-6304352	1-4-5109996	8562472-3-1	0-5355658-3	4494005-4-0	8660223-3-1	3-3108610-1	0-5776994-0	845380-3-1	1-4-3	5742346-3-1	0-4-1721055	7344593-4-3	3944573-4-3	5143088-3-1	3-3-6372443	3-3-1072762	4-2744449-4	0-5148258-0	4-2-2170147	3-4667038-1	6256539-4-3	7183333-3-1	3-1968122-1	4-9635130-4	4097279-2-4	3058503-2-4	1-3-4	378535-4-0	1-4-131404	84872-3-1	2-2016274-1	4-2-8210342	3606921-2-4	1889591-3-1	0-4-6433764	4-8126796-4	2-3-4551716	0-4-255017	7140028-4-0	0-4-4685070	1-7581575-3	966052-4-0	1805368-3-1	3-4840691-1	4-708219-4	2895307-4-0	0-4-9174582	3-3-8729123	6546839-3-1	5387138-4-0	4545776-4-0	0-2453666-0	0-8620463-0	761789-4-0	4-6753833-4	9639049-3-1	2-3-4825396	3-3-4809487	0-3-3887211	3-3-2924035	4-2-2681807	3-3-6572327	0-4-1514887	3-7934689-4	4-2-1967334	0-9006787-0	8069073-4-3	4-7910185-4	2748056-3-1	3-3-1501339	686860-2-4	1-4-8759776	4492101-2-4	6217439-4-0	3-3-893549	2-839124-1	3-3-5414279	7106599-4-0	0-8429041-0	3199297-2-4	0-4-1589457	3112690-2-4	2025217-3-1	4-2-6455992	8204475-4-3	3-1229042-1	4-3689237-4	3-8596254-1	0-6383166-0	3-3-5633016	1637966-2-4	4-3234730-1	3-0-6277869	0-218057-0	6514176-2-4	373460-3-1	4-5079105-4	0-3740776-0	2-3-7000985	1023292-2-4	4807473-3-1	4-2-4765618	1-9693712-3	1-4-4625500	0-4-8227893	3910280-3-1	4-2-1370701	8758257-2-4	5434407-3-1	0-4-3018258	5067558-3-1	4-2-6004138	2-3-1	2-0-1	4-2-2997783	3-4529205-1	3-3-6994070	2390991-3-1	4-8171405-4	4-2266291-4	5400365-2-4	4-3247963-4	3-3-5755172	3-673089-1	0-4-6588010	0-6482769-0	1-5540110-3	2611566-4-0	4-3801947-4	6373575-4-0	7786390-2-4	1367755-4-3	2-8904505-1	3-8524251-1	0-4-2726180	3-0-4	4-1-2612747	4-5878216-4	9339495-2-4	3-3-1	3-3-3468546	0-4-5521576	9621400-3-1	3-3-5927845	6259895-3-1	3-3-2742863	3-3-833012	5893900-4-0	3-3-5478456	3-3456435-1	3994004-3-1	0-4-9021662	1526699-3-1	7496965-4-0	4-9526508-4	3-7321415-1	4-9011915-4	3733647-3-1	3-3-7883006	9195035-3-1	0-4-3253620	0-7664432-1514887	0-4-2630047	4-7967550-4	3-3738057-1	1-1583902-3	3-3685414-1	3-6891062-1	4-8235271-1	1495885-3-1	3-3-2323313	6097672-0-4	1-4381516-3	4-4645136-4	4349973-3-1	4-2-8329133	971978-2-4	3-3-1993005	285555-2-4	4-9851285-4	4-2-2548186	8050249-2-4	2331969-2-4	52913-2-4	9593917-2-4	3-0-3990379	6453503-2-4	9675912-2-4	6372583-3-1	2834525-4-0	2819014-4-0	3-3-6317883	4-442676-4	3-9719713-1	3-3-4529500	3-3-686180	0-4-1517420	0-4-8171693	3-3-859164	4-1-1	3-4105339-1	3694723-2-4	9266113-4-3	4-2-4	3428316-2-4	4-2-0	889594-3-3	3-8824952-1	3-3-2723362	2-2933678-1	2-1381332-1	3412173-4-0	9822007-4-0	8821907-3-1	3-3-4030755	3-3-9435982	4-2-8005667	2077597-3-1	3-3-6532460	1-4-1680497	160018-2-4	0-4-6593568	3-9780923-1	4976273-3-1	0-4-0	7027309-3-1	6601969-3-1	2-4362982-1	7832591-3-1	1-4943835-3	3-3848480-1	3-2114446-1	4-3689957-4	1-4-1504799	0-8268329-0	260109-2-4	1-4-4147146	6814582-3-1	2-3-6440947	3-5648986-1	6530546-2-4	3-3-7697888	3-3-916465	2489467-3-3	3-7305444-1	4672213-2-4	4-2-2263437	4-5543588-4	3-3-6463929	6794362-3-1	201318-2-4	4079254-2-4	9578839-4-0	102468-4-0	2-3-2324347	2646411-2-4	0-4-4709511	4-2-4070003	0-4-1762909	7653856-3-3	0-7018343-0	1442635-4-0	5317965-4-0	261268-2-4	3-5971115-1	3-3-4351079	8296344-3-1	8511610-4-0	1-9210321-3	8692539-4-0	1-2190901-3	0-2293726-0
assemblage-36-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25015	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-7-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8878	0	0	0	29086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-25-25	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5548	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1492	0	0	0	26670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-15-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	663	0	0	0	8804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-14-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-49-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-39-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3809	0	0	0	3264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0
assemblage-13-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5277	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-15-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-41-1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1499	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
