Assemblage 	OriginTime	Duration
assemblage-32-10	3000	1400
assemblage-19-27	8600	1400
assemblage-19-25	8600	1400
assemblage-36-12	7200	1400
assemblage-34-4	5800	1400
assemblage-34-6	8600	1400
assemblage-19-28	5800	1400
assemblage-4-15	8600	1400
assemblage-16-10	5800	1400
assemblage-4-11	3000	1400
assemblage-46-5	4400	2800
assemblage-41-4	8600	1400
assemblage-7-16	5800	1400
assemblage-41-1	8600	1400
assemblage-41-2	8600	1400
assemblage-8-10	5800	1400
assemblage-12-14	3000	1400
assemblage-35-29	4400	1400
assemblage-12-18	5800	1400
assemblage-28-21	3000	1400
assemblage-38-22	8600	1400
assemblage-44-28	8600	1400
assemblage-20-28	7200	1400
assemblage-44-22	4400	2800
assemblage-44-23	7200	1400
assemblage-30-23	8600	1400
assemblage-14-27	3000	1400
assemblage-27-3	7200	1400
assemblage-42-7	8600	1400
assemblage-29-7	4400	1400
assemblage-42-5	5800	1400
assemblage-41-20	7200	1400
assemblage-8-29	7200	1400
assemblage-41-26	3000	2800
assemblage-4-27	3000	1400
assemblage-13-4	4400	1400
assemblage-34-29	5800	1400
assemblage-18-28	8600	1400
assemblage-36-2	4400	1400
assemblage-24-29	7200	1400
assemblage-45-2	3000	2800
assemblage-30-2	7200	1400
assemblage-46-6	5800	1400
assemblage-15-3	4400	1400
assemblage-45-12	3000	1400
assemblage-9-5	7200	2800
assemblage-16-14	4400	1400
assemblage-9-1	3000	1400
assemblage-12-6	7200	1400
assemblage-12-1	7200	1400
assemblage-2-4	4400	1400
assemblage-44-19	8600	1400
assemblage-30-11	3000	1400
assemblage-30-16	7200	1400
assemblage-10-28	7200	1400
assemblage-41-10	7200	2800
assemblage-10-27	5800	2800
assemblage-1-4	4400	1400
assemblage-2-8	7200	2800
assemblage-10-22	4400	1400
assemblage-17-14	4400	1400
assemblage-17-17	3000	1400
assemblage-48-15	5800	1400
assemblage-23-4	4400	1400
assemblage-34-19	5800	1400
assemblage-5-27	8600	1400
assemblage-45-22	8600	1400
assemblage-45-20	7200	1400
assemblage-32-29	3000	1400
assemblage-21-11	3000	1400
assemblage-15-15	5800	2800
assemblage-43-10	3000	1400
assemblage-18-8	8600	1400
assemblage-18-2	3000	1400
assemblage-18-1	8600	1400
assemblage-36-8	5800	1400
assemblage-39-25	7200	1400
assemblage-39-19	3000	1400
assemblage-16-9	5800	1400
assemblage-48-4	5800	1400
assemblage-26-24	4400	1400
assemblage-26-25	3000	1400
assemblage-10-19	3000	1400
assemblage-39-14	3000	1400
assemblage-39-16	4400	1400
assemblage-35-15	5800	1400
assemblage-8-8	7200	1400
assemblage-35-16	3000	1400
assemblage-35-11	4400	1400
assemblage-35-10	5800	1400
assemblage-8-3	3000	2800
assemblage-11-11	3000	1400
assemblage-8-5	5800	1400
assemblage-44-11	7200	1400
assemblage-44-10	3000	1400
assemblage-38-3	5800	4200
assemblage-25-11	4400	1400
assemblage-38-7	7200	1400
assemblage-38-8	4400	1400
assemblage-36-27	4400	1400
assemblage-40-2	8600	1400
assemblage-25-18	7200	1400
assemblage-15-5	8600	1400
assemblage-27-28	5800	2800
assemblage-29-17	3000	1400
assemblage-47-29	8600	1400
assemblage-24-18	7200	1400
assemblage-11-29	3000	1400
assemblage-47-20	5800	2800
assemblage-21-23	7200	1400
assemblage-21-22	5800	1400
assemblage-33-13	4400	1400
assemblage-12-22	7200	1400
assemblage-26-1	8600	1400
assemblage-26-7	5800	1400
assemblage-24-8	8600	1400
assemblage-18-15	3000	1400
assemblage-23-19	7200	2800
assemblage-18-12	4400	2800
assemblage-27-14	8600	1400
assemblage-32-6	7200	2800
assemblage-32-4	4400	1400
assemblage-7-27	5800	1400
assemblage-32-2	7200	1400
assemblage-27-19	4400	4200
assemblage-14-10	3000	1400
assemblage-28-9	5800	1400
assemblage-1-16	5800	1400
assemblage-33-20	7200	1400
assemblage-33-21	3000	4200
assemblage-1-12	4400	1400
assemblage-13-6	8600	1400
assemblage-3-9	8600	1400
assemblage-26-23	8600	1400
assemblage-30-18	8600	1400
assemblage-9-15	3000	2800
assemblage-42-28	3000	1400
assemblage-7-14	3000	1400
assemblage-9-18	3000	1400
assemblage-10-1	4400	2800
assemblage-16-17	8600	1400
assemblage-3-22	8600	1400
assemblage-16-24	8600	1400
assemblage-10-14	7200	1400
assemblage-10-15	3000	1400
assemblage-33-19	4400	1400
assemblage-10-12	4400	1400
assemblage-10-13	8600	1400
assemblage-25-25	3000	2800
assemblage-31-26	7200	2800
assemblage-49-20	4400	2800
assemblage-6-17	5800	1400
assemblage-49-24	4400	1400
assemblage-17-5	3000	2800
assemblage-48-25	5800	2800
assemblage-49-7	5800	1400
assemblage-48-21	8600	1400
assemblage-48-22	3000	1400
assemblage-22-16	4400	1400
assemblage-19-7	3000	4200
assemblage-14-4	7200	1400
assemblage-49-8	3000	1400
assemblage-49-9	5800	1400
assemblage-29-20	4400	1400
assemblage-2-25	3000	1400
assemblage-29-25	5800	2800
assemblage-29-27	4400	1400
