Assemblage 	OriginTime	Duration
assemblage-33-1	4400	1400
assemblage-20-14	4400	1400
assemblage-33-6	3000	2800
assemblage-19-21	4400	1400
assemblage-34-5	8600	1400
assemblage-39-7	7200	1400
assemblage-20-19	8600	1400
assemblage-21-3	8600	1400
assemblage-31-28	8600	1400
assemblage-31-29	7200	1400
assemblage-4-17	8600	1400
assemblage-4-13	5800	1400
assemblage-40-24	3000	1400
assemblage-31-23	3000	1400
assemblage-19-23	5800	1400
assemblage-39-20	4400	1400
assemblage-39-22	7200	1400
assemblage-12-15	3000	1400
assemblage-35-28	7200	1400
assemblage-8-16	5800	1400
assemblage-12-11	4400	1400
assemblage-39-29	4400	1400
assemblage-1-26	5800	1400
assemblage-20-7	4400	2800
assemblage-30-27	3000	1400
assemblage-14-20	7200	1400
assemblage-44-22	5800	1400
assemblage-30-24	8600	1400
assemblage-44-25	8600	1400
assemblage-14-26	5800	2800
assemblage-4-23	5800	1400
assemblage-42-18	5800	1400
assemblage-41-27	8600	1400
assemblage-23-21	8600	1400
assemblage-8-25	8600	1400
assemblage-45-25	7200	2800
assemblage-42-8	4400	1400
assemblage-34-23	8600	1400
assemblage-18-26	5800	1400
assemblage-18-20	7200	1400
assemblage-34-24	4400	2800
assemblage-4-8	5800	1400
assemblage-30-2	7200	1400
assemblage-47-13	8600	1400
assemblage-36-6	5800	1400
assemblage-3-18	5800	1400
assemblage-47-18	5800	2800
assemblage-36-8	3000	1400
assemblage-45-5	8600	1400
assemblage-15-5	8600	1400
assemblage-12-6	8600	1400
assemblage-31-20	7200	1400
assemblage-30-10	3000	1400
assemblage-10-28	3000	2800
assemblage-10-27	7200	1400
assemblage-1-2	7200	1400
assemblage-41-19	3000	1400
assemblage-23-8	8600	1400
assemblage-34-14	8600	1400
assemblage-17-12	3000	1400
assemblage-2-19	8600	1400
assemblage-2-16	8600	1400
assemblage-15-10	3000	1400
assemblage-6-8	4400	1400
assemblage-38-23	3000	1400
assemblage-6-1	7200	1400
assemblage-6-2	4400	1400
assemblage-12-16	4400	1400
assemblage-15-12	3000	1400
assemblage-15-11	3000	2800
assemblage-21-17	3000	1400
assemblage-43-19	4400	1400
assemblage-32-27	3000	1400
assemblage-3-17	3000	1400
assemblage-48-1	3000	1400
assemblage-26-28	4400	1400
assemblage-5-6	7200	2800
assemblage-17-2	7200	1400
assemblage-16-1	4400	1400
assemblage-10-2	7200	1400
assemblage-7-10	5800	1400
assemblage-8-6	4400	1400
assemblage-10-5	5800	1400
assemblage-38-13	5800	1400
assemblage-8-1	3000	1400
assemblage-35-19	8600	1400
assemblage-8-5	8600	1400
assemblage-15-22	8600	1400
assemblage-15-20	8600	1400
assemblage-15-24	5800	1400
assemblage-44-13	5800	2800
assemblage-25-17	4400	2800
assemblage-44-14	3000	1400
assemblage-40-3	7200	2800
assemblage-36-26	5800	4200
assemblage-49-20	4400	1400
assemblage-27-27	5800	1400
assemblage-27-26	8600	1400
assemblage-27-25	7200	2800
assemblage-27-24	4400	1400
assemblage-29-13	7200	1400
assemblage-47-20	7200	1400
assemblage-28-1	7200	1400
assemblage-26-8	5800	1400
assemblage-26-4	5800	1400
assemblage-26-6	7200	2800
assemblage-29-2	8600	1400
assemblage-27-14	4400	1400
assemblage-27-15	5800	1400
assemblage-17-3	5800	1400
assemblage-31-3	5800	1400
assemblage-42-12	4400	1400
assemblage-20-25	5800	1400
assemblage-32-5	3000	2800
assemblage-41-14	3000	1400
assemblage-42-15	7200	1400
assemblage-42-14	4400	1400
assemblage-44-2	7200	1400
assemblage-37-15	3000	1400
assemblage-11-7	7200	1400
assemblage-11-5	4400	1400
assemblage-1-19	5800	2800
assemblage-43-25	5800	2800
assemblage-43-27	4400	1400
assemblage-21-25	3000	1400
assemblage-1-12	3000	1400
assemblage-19-2	3000	5600
assemblage-17-23	3000	1400
assemblage-2-6	5800	1400
assemblage-22-5	7200	1400
assemblage-4-6	3000	1400
assemblage-9-13	7200	1400
assemblage-13-29	4400	1400
assemblage-9-11	8600	1400
assemblage-42-27	7200	1400
assemblage-30-20	3000	1400
assemblage-13-27	8600	1400
assemblage-22-9	7200	1400
assemblage-22-8	3000	1400
assemblage-9-19	5800	1400
assemblage-11-23	7200	1400
assemblage-7-4	7200	1400
assemblage-7-6	5800	1400
assemblage-21-23	4400	1400
assemblage-19-17	8600	1400
assemblage-16-28	3000	1400
assemblage-8-3	4400	2800
assemblage-25-24	3000	1400
assemblage-44-27	7200	2800
assemblage-12-23	4400	1400
assemblage-22-15	8600	1400
assemblage-49-1	3000	1400
assemblage-28-19	3000	1400
assemblage-12-24	3000	4200
assemblage-19-7	3000	1400
assemblage-14-7	3000	4200
assemblage-17-9	3000	1400
assemblage-17-8	4400	1400
assemblage-29-21	4400	1400
assemblage-47-24	3000	2800
assemblage-48-24	3000	1400
assemblage-5-12	5800	1400
assemblage-5-16	7200	1400
assemblage-5-15	4400	1400
