assemblage	easting	northing
assemblage-1-1	1	1
assemblage-2-1	2	1
assemblage-3-1	3	1
assemblage-4-1	4	1
assemblage-5-1	5	1
assemblage-6-1	6	1
assemblage-7-1	7	1
assemblage-8-1	8	1
assemblage-9-1	9	1
assemblage-10-1	10	1
assemblage-11-1	11	1
assemblage-12-1	12	1
assemblage-13-1	13	1
assemblage-14-1	14	1
assemblage-15-1	15	1
assemblage-16-1	16	1
assemblage-17-1	17	1
assemblage-18-1	18	1
assemblage-19-1	19	1
assemblage-20-1	20	1
assemblage-21-1	21	1
assemblage-22-1	22	1
assemblage-23-1	23	1
assemblage-24-1	24	1
assemblage-25-1	25	1
assemblage-26-1	26	1
assemblage-27-1	27	1
assemblage-28-1	28	1
assemblage-29-1	29	1
assemblage-30-1	30	1
assemblage-31-1	31	1
assemblage-32-1	32	1
assemblage-33-1	33	1
assemblage-34-1	34	1
assemblage-35-1	35	1
assemblage-36-1	36	1
assemblage-37-1	37	1
assemblage-38-1	38	1
assemblage-39-1	39	1
assemblage-40-1	40	1
assemblage-41-1	41	1
assemblage-42-1	42	1
assemblage-43-1	43	1
assemblage-44-1	44	1
assemblage-45-1	45	1
assemblage-46-1	46	1
assemblage-47-1	47	1
assemblage-48-1	48	1
assemblage-49-1	49	1
assemblage-50-1	50	1
assemblage-51-1	51	1
assemblage-52-1	52	1
assemblage-53-1	53	1
assemblage-54-1	54	1
assemblage-55-1	55	1
assemblage-56-1	56	1
assemblage-57-1	57	1
assemblage-58-1	58	1
assemblage-59-1	59	1
assemblage-60-1	60	1
assemblage-61-1	61	1
assemblage-62-1	62	1
assemblage-63-1	63	1
assemblage-64-1	64	1
assemblage-65-1	65	1
assemblage-66-1	66	1
assemblage-67-1	67	1
assemblage-68-1	68	1
assemblage-69-1	69	1
assemblage-70-1	70	1
assemblage-71-1	71	1
assemblage-72-1	72	1
assemblage-73-1	73	1
assemblage-74-1	74	1
assemblage-75-1	75	1
assemblage-76-1	76	1
assemblage-77-1	77	1
assemblage-78-1	78	1
assemblage-79-1	79	1
assemblage-80-1	80	1
assemblage-81-1	81	1
assemblage-82-1	82	1
assemblage-83-1	83	1
assemblage-84-1	84	1
assemblage-85-1	85	1
assemblage-86-1	86	1
assemblage-87-1	87	1
assemblage-88-1	88	1
assemblage-89-1	89	1
assemblage-90-1	90	1
assemblage-91-1	91	1
assemblage-92-1	92	1
assemblage-93-1	93	1
assemblage-94-1	94	1
assemblage-95-1	95	1
assemblage-96-1	96	1
assemblage-97-1	97	1
assemblage-98-1	98	1
assemblage-99-1	99	1
assemblage-1-2	1	2
assemblage-2-2	2	2
assemblage-3-2	3	2
assemblage-4-2	4	2
assemblage-5-2	5	2
assemblage-6-2	6	2
assemblage-7-2	7	2
assemblage-8-2	8	2
assemblage-9-2	9	2
assemblage-10-2	10	2
assemblage-11-2	11	2
assemblage-12-2	12	2
assemblage-13-2	13	2
assemblage-14-2	14	2
assemblage-15-2	15	2
assemblage-16-2	16	2
assemblage-17-2	17	2
assemblage-18-2	18	2
assemblage-19-2	19	2
assemblage-20-2	20	2
assemblage-21-2	21	2
assemblage-22-2	22	2
assemblage-23-2	23	2
assemblage-24-2	24	2
assemblage-25-2	25	2
assemblage-26-2	26	2
assemblage-27-2	27	2
assemblage-28-2	28	2
assemblage-29-2	29	2
assemblage-30-2	30	2
assemblage-31-2	31	2
assemblage-32-2	32	2
assemblage-33-2	33	2
assemblage-34-2	34	2
assemblage-35-2	35	2
