Seriation_Number	Assemblage	0-8784041-2	0-6784478-2	0-3-310923	0-998445-2	0-1409225-2	0-3-620372	0-5866185-2	0-3-4087004	0-3-7037722	0-3522828-2	26718-3-2	2966776-3-2	4930709-3-2	0-3-2240905	0-3-9374238	0-6776512-2	1-3-3	0-7611718-4297513	0-7343680-2	0-3-853006	0-8907939-2	0-9003209-2	0-3-6702489	0-3844653-2	0-7611718-2	0-3-1699462	3910084-3-2	0-3-4398939	0-1613079-2	1193021-3-2	9022212-3-2	0-3-7811378	0-7172696-2	0-2968071-2	0-3-8606402	0-8978286-2	0-3-9133010	2-0-3	0-9215737-2	0-3-5307807	6054320-3-2	0-3-4709105	0-9396196-2	0-5173046-2	826158-3-2	1866614-3-2	0-3-20185	0-3-134074	0-3-6355378	0-9756464-2	8584484-3-2	3419939-3-2	0-3-2	1312048-3-2	0-1153603-2	0-6970466-2	5122802-3-2	3391526-3-2	0-3-7848637	0-3-2967759	0-3-2857472	0-919343-2	0-145598-2	2302369-3-2	2-8821911-3	0-9697576-2	0-3-126832	0-3-4221838	3629649-3-2	31272-3-2	0-1455518-2	0-3-8321709	1653347-3-2	0-2788648-2	9538604-3-2	0-3922226-2	0-3-6940526	0-9231062-2	8218574-3-2
1	assemblage-3-18	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	assemblage-11-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	32173	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	assemblage-3-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

2	assemblage-5-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1682	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	32652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2	assemblage-11-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	32173	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	assemblage-3-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

3	assemblage-4-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	assemblage-11-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	32173	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
