Seriation_Number	Assemblage	8511742-4-1	6719732-8058096-1	2296163-4-1	3-3938636-1	6719732-5182460-1	3-8262739-1	3-1969773-1	3121492-4-7163622	3-4-5263272	6719732-4-5208853	3-4-3388854	3-2844310-1	3-1229890-1	3121492-6867599-1	3-4-9073941	3-4-9139059	8159452-4-1	3-2412703-1	8580615-4-1	4871655-4-1	3-4-5164260	3-3713960-1	3-4-4290579	6719732-4-4124420	3121492-4-1836184	3-4-9922615	6407233-4-1	3-5318542-1	3-4-2371723	6719732-2525118-1	2291606-4-1	6719732-4-3334974	6873570-4-1	3-4-7314829	3121492-4-7664294	3698248-4-1	7632550-4-1	2752390-4-1	3-7622427-1	3-4007890-1	3-2843994-1	3286956-4-1	3-9404371-1	8125668-4-1	3-4-739830	3-4-9923672	3-4098306-1	6419679-4-1	3121492-4-3906671	3-4-4570950	1102038-4-1	3-727018-1	3-2368167-1	3-4-7270454	3121492-6025332-1	3-4986790-1	3-4-8448237	3-4-3043174	1828526-2368167-6627750	5353195-4-1	1209195-4-1	3121492-2751737-1	9131214-4-1	3121492-3254668-1	7491957-4-1	1128515-4-1	3121492-8893191-1	4079083-4-1	3-4-5197910	3121492-8554996-1	6719732-7316530-1	1240522-4-1	3-6345583-1	2814038-4-1	3-8061925-1	3121492-4-4142068	3-4-9772003	9256876-4-1	5830663-4-1	3-4-8442830	182765-4-1	3-2402774-1	9715254-4-1	3121492-4-1	3121492-1500571-1	3-4-5343923	6719732-56461-1	3-2368167-6627750	5963665-4-1	3-4-549644	3-372534-1	6719732-4-7101924	7581947-4-1	1161138-4-1	9035093-4-1	3-4-4628881	3121492-9571621-1	4618106-4-1	3121492-4-7561479	3121492-4425549-1	1794046-4-1	9542323-4-1	3121492-4-9981572	3-9104245-1	2267322-4-1	4766235-4-1	3-4-6545275	8436049-4-1	6719732-4-4481929	3-4-3719865	3-8102911-1	3962922-4-1	979596-4-1	3121492-4-2801987	3121492-628140-1	9432789-4-1	4428473-4-1	6719732-293703-1	3-9357157-1	3-4695449-1	3121492-4-1690254	6719732-4-9614216	3-4-2937517	6719732-4-477588	3121492-4-8540186	2787533-4-1	4526449-4-1	6719732-9220309-1	3-2644814-1	3121492-4-6348066	6719732-3046313-1	7995315-4-1	2313836-4-1	3-698387-1	3-4-408924	542861-4-1	3121492-7739760-1	4582968-4-1	3146701-4-1	4772492-4-1	3121492-4-7454565	319820-4-1	2957200-4-1	3093463-4-1	3121492-3024840-1	3-3833168-1	3-4-4863434	3121492-4-651394	6106443-4-1	6719732-5864219-1	3-4316592-1	6997918-4-1	441523-4-1	3781952-4-1	3-4-7500563	3-7597766-1	3-4-1067997	3-6607635-1	3-3323313-1	3121492-4-6998363	3404684-4-1	6719732-2259670-1	7167098-4-1	4543774-4-1	3-7532352-1	3-4-1148500	3121492-8303592-1	9840741-4-1	6719732-4-1	3121492-4-9054336	3-2368167-1222736	3121492-254961-1	762012-4-1	1084568-4-1	549855-4-1	322930-4-1	123606-4-1	4769855-4-1	4797100-4-1	3-2920081-1	3-4-8373956	7143663-4-1	3095229-4-1	3-1664593-1	3-4537423-1	6623043-4-1	3-4-1	6713729-4-1	3121492-4101050-1	6719732-7517229-1	3099165-4-1	1759084-4-1	7308157-4-1	2686419-4-1	7777604-4-1	3-8322601-1	3-5531176-1	3-4-7108348	208382-4-1	3-2368167-6442406	7082128-4-1	6719732-4-5399016	8561463-4-1	3-4-5912006	3-4-8787421	357146-4-1
1	assemblage-2-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	195	18	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	10571	0	0	0	33	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
1	assemblage-10-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	3628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	130	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5076	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4606	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	assemblage-13-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	23	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	9996	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	172	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6191	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6835	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

2	assemblage-5-19	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3814	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	5479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	assemblage-10-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	3628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	130	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5076	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4606	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	assemblage-13-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	23	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	9996	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	172	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6191	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6835	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

3	assemblage-5-19	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3814	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	5479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	assemblage-2-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	195	18	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	10571	0	0	0	33	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
