Assemblage_Name	0-3607513-2	617822-5546347-3	0-1-2	5157348-1-2	3718365-1-2	0-8029453-2	4535730-1-2	0-4356605-2	9402640-1-2	0-3107599-2	2556286-1-2	0-1-7750729	726583-1-2	0-7685376-2	0-1-8858902	0-1-6561964	0-1-2562737	0-1-6159808	0-1-7437470	9171573-1-2	0-432515-2	0-1-4127778	0-6269290-2	0-1-5319	5145063-1-2	0-1-4531896	0-2375664-2	9732960-1-2	0-7305856-2	0-1-1428946	0-1-4078054	0-5507796-2	0-5613392-2	0-5903686-2	0-1-146490	5692383-1-2	640081-1-2	0-1-5012881	2868264-1-2	0-1-4485649	6363474-1-2	6020742-1-2	207916-1-2	0-8722206-2	0-599943-2	0-1-9751167	2780320-1-2	5095182-1-2	0-1106263-2	0-2077667-2	6766524-1-2	0-1-8107922	0-1-6021300	0-1-3448229	0-5952419-2	5323168-1-2	8901582-1-2	0-1-4883976	0-1-3563033	0-9512780-2	0-1-9760224	0-1-9362858	617822-7461979-3	617822-3-3	231832-1-2	0-9617959-2	9557363-1-2	0-1-2375127	6234387-1-2	1929352-1-2	0-1-1222600	490380-1-2	4548074-1-2	0-458056-2	0-1-325236	17608-1-2	0-8143927-2	0-6344293-2	0-1-14075	5295215-1-2	0-9058792-2	413056-1-2	0-3345872-2	0-1-6853659	1630749-1-2	1338629-1-2	0-1-9990797	0-5452047-2	0-1-1845827	3484271-1-2	0-1-7163772	9985306-1-2	0-1-423579	5095182-1-3451146	2997071-1-2	0-1-5956157	7761677-1-2	0-5078051-2	4891368-1-2	0-9493695-2	0-5602923-2	2-4-2	0-5603352-2	0-5878054-2	0-9685974-2	0-1-2077685	1332239-1-2	5162528-1-2	3249624-1-2	5376770-1-2
assemblage-37-6	0	0	11252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-46-9	0	0	20460	0	0	0	0	1	4	114	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-8	0	0	11280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-35-1	0	0	62057	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	5	0	0	0	0	0	1	0	0	0	0	0	281	0	0	0	3	0	0	0	0	0	5	0	0	0	0	1	0	0	2	1	0	1536	0	0	1	0	0	0	0	0	0	0	0	0	6	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	609	0	0	0	0	0	9	0	0
assemblage-12-7	0	0	19040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-7	0	0	43208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1550	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	427	0	1	0	0	0	12	0	0
assemblage-17-8	3	0	61835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	372	0	0	0	5	0	0	0	0	0	14	0	0	0	0	0	0	0	31	1	0	1619	0	0	3	0	1	2	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610	0	0	0	0	0	32	0	0
assemblage-41-13	0	0	20487	0	0	0	0	0	0	92	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-46-2	0	0	20451	0	0	0	0	10	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-44-13	0	0	43325	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	0	0	0	37	0	0
