Assemblage_Name	85875-2-2	6365564-4-5724029	2-4-7750000	4-1649943-2	4-6270522-2	2-5816155-0	2-322624-0	2-3338199-5724029	5049788-2-2	2-4-593439	3266657-4-5724029	2-4-3357159	0-1-1	4-2-4492082	2-4-7842729	2-8673473-0	2-2259201-0	2-7992927-0	2-4-5369105	2-9071553-5724029	2-3072039-0	2-4-5489558	5273121-4-5724029	2-4-2983049	3517349-4-0	2807651-4-5724029	4-2-2	4-2-5612013	2-4-6986527	4-2-70543	2529032-4-5724029	2-5104136-0	4-2171039-2	2-3320742-0	2-1-6375218	2-1676585-0	2-1-9450429	76650-1-0	8679552-4-5724029	2-4-9743508	2-4-588263	9041068-4-0	2-4-2027404	2-8347267-0	921580-4-5724029	4-2-998468	2-1-4758150	2-2365336-5724029	2-4-8593293	5829030-4-5724029	1014057-4-5724029	4-2607178-2	9111441-6328019-5724029	2924395-2-2	2-4-6900994	4-2-7161422	6439678-1-0	4-2-4528981	367809-2-2	4-2-3164915	2-7982262-0	4-2-8700480	2-3957268-5724029	2-4-5724029	2-4-9153220	1086776-4-0	4-2-2999517	2-4-3029619	2-204702-0	2-4191768-5724029	2-6366796-0	2-4-343405	4-618863-2	2-4-3752092	6477558-4-0	2906036-4-5724029	2-1596307-0	5980211-2-2	8560824-2-2	7843257-4-0	2-1-9845819	2-4-3893731	2-4270123-5724029	2-4-795658	7991572-2-2	2-5783962-0	4-2-9511713	2-4-8727538	2-4-1371961	1185786-1-0	4718158-4-0	1420610-4-0	2-8001804-0	2-9027369-5724029	2-3877461-0	2-3035651-0	3136049-4-0	2-1-0	2-4-9410678	2-4-6358524	2-4-7999527	385052-2-2	2-4-746724	2-4804390-5724029	2-4-1203888	2-4-9761149	2-5908438-0	4-9621042-2	2-4-2204538	2-4-4276807	2446252-1-0	4-2-2751293	4-2-3958157	4-2-625011	3269692-2-2	2-800473-0	2-9474159-0	2-9993811-5724029	4-1023273-2	2-4-8964255	2045423-1-0	4-4208159-2	4-9596877-2	2-4-853676	2-1-1754524	2-687617-5724029	4-2-1948521	7608559-4-5724029	2-9903812-5724029	2-3958368-0	6237174-1-0	2-4-3204917	2-4-4642848	2-6174604-0	4555853-4-5724029	2-3574204-0	2-1-6227659	2-4-9484738	7686807-4-0	2-8047827-593439	4-2-2403482	7258825-4-5724029	3876535-4-0	2-1-6549432	2-2529005-593439	589875-4-5724029	9111441-4-5724029	8223850-4-5724029	2-4-6435717	4-3606662-2	4-914394-2	2-4-8534880	2-4-0	6153018-2-2	2-9363309-5724029	2-4720065-0	2-1-7454183	4-7103562-2	2078328-1-0	2-405543-5724029	6509315-1-0	5500487-2-2	7219662-4-0
assemblage-37-6	0	0	0	0	0	0	0	0	0	1114	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2797	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3320	0	0	0	0	0	0	0	0	0	9
assemblage-46-9	0	7	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17241	38	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	12	0	0	1	707	0	0	0	0	0	0	0	0	0	0
assemblage-28-8	0	0	0	0	0	0	0	0	0	1078	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2717	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3326	0	0	0	0	0	0	0	0	0	2
assemblage-35-1	928	0	0	7	1	3	0	0	0	3045	0	0	191	2	0	0	1	0	0	0	0	1	0	0	0	0	15360	0	0	0	0	3	0	0	1	0	1	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	1	0	653	0	6	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	18669	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	16	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	5	0	0	8	0	0	1	0	0	0	347	0	0	0	0	0	0	0	0	0	25873	1	0	2	0	0	2	0	0	0	0
assemblage-12-7	3	0	0	8	0	0	0	0	0	2456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	788	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	4421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7833	0	0	0	0	0	0	0	1	0	0
assemblage-28-7	867	0	0	0	0	0	0	0	0	652	0	0	167	0	0	0	1	0	0	0	1	0	0	0	0	0	11984	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	351	0	0	0	0	0	0	0	1	0	17724	0	0	0	0	0	0	0	0	0	0
assemblage-17-8	879	0	0	4	0	11	0	0	0	2874	0	0	295	5	0	0	0	0	1	0	0	5	0	0	0	0	15269	0	0	0	0	16	3	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	18281	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	327	0	0	0	0	0	0	1	0	0	26539	0	0	1	0	1	0	0	0	0	0
assemblage-41-13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17066	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	897	0	0	0	0	0	0	2	0	0	0
assemblage-46-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16874	75	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1089	0	0	0	0	0	0	3	0	0	0
assemblage-44-13	1187	0	0	0	0	1	0	0	0	586	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	12167	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13788	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	17859	0	0	1	0	0	0	0	0	0	0
