Assemblage_Name	9281323-3-2	1-3-9135	2337334-1-3	1-2297263-2	1-3590041-2	1-6208473-2	1-3-6984948	1-3-3979588	5380894-3-2	1-3-8884089	1-3989896-3439087	1-2699454-2	1-3-8079114	6474254-3-2	1-4058586-2	1-6117008-2	1-3-6325967	1-3-4375200	1-3-5372057	1413759-3-2	5274245-1-3	1-3-5326103	2-4294862-3	1-2839838-2	1-3188404-2	1-3-7118237	1-6533016-2	1-7500614-2	1-7039846-2	1-1559308-2	1-3-9088810	2-331837-3	1-4152945-2	1-3-4777782	1-2419504-2	1-3-5939677	1-3-4090350	2727787-1-3	2-1-4867351	2-1835934-3	1-4719459-2	1-7116283-2	3153848-3-2	8863344-1-3	4912072-3-2	1-2191855-2	1-6736168-2	1-3-4726091	8515857-3-2	1-8794153-2	1-3-5408609	1-3-9832948	1-3-2	1-8461350-2	1-4503674-2	1-1366146-2	4650616-3-2	9977295-3-2	1-5743752-2	488879-3-2	5556314-3-2	2-1-4916673	1-5924635-2	2040003-3-2	1-3-3115865	1-2338232-2	5621453-3-2	1-7542261-2	7199184-3-2	1-2047786-2	1-3-9049284	7712827-3-2	1-3989896-2	2030637-3-2	1-3756019-2	1-4700186-1	1-9844908-2	1-3572680-2	1-8496100-2	1-3-6363107	1-2830390-2	1-1-1	1-8673533-2	1-3-8059344	4295534-3-2	1-6436101-7118237	2-1-7241095	1-5057316-2	1-3-6186095	1-3-8098089	1-6838160-2	1-7282344-2	1-3-3569583	8096571-3-2	1-3-8418236	1-3-3481860	1-3-7138726	1-3534688-2	1-5161216-2	1-1286642-2	897497-3-2	1-8519070-2	2-1-3	6675558-3-2	1-3-4514196	2457765-3-2	1-3-6195939	1-5705288-2	3836120-3-2	1-8634460-2	1-8552044-2	4307839-3-2	1-4165243-2	5705818-3-2	1-3-9373382	2-1-8343468	2-1-5247122	1-3-340843	8448285-3-2	1-454241-2	1-1998877-2	1-3-595842	1-4442155-2	3205569-3-2	1-3-3664880	101493-3-2	6664715-3-2	1-9126738-2	1-2703197-2	697040-3-2	1-3-8375115	2-1039117-3	1-4396751-2	2020971-3-2	1-3-9077728	1-3-7521081	8573508-3-2	4-7389168-2	9982354-3-2	1519944-3-2	5282827-3-2	1-3474591-2	1-3987456-2	1-2480093-2	4275269-3-2	1-3-7321100	9705783-1-3	1-3-4902227	1-3-3233439	6306997-3-2	1-4517659-2	1545897-3-2	1-3-5737174	1-1638487-2	1-5321021-2	1-3-5009950	1-3-5940315	1-9707608-2	4171095-3-2
assemblage-37-6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8303	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2048	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
assemblage-46-9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	19875	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8066	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	2266	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-35-1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	47884	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	154	2	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	5	0	0	0	14705	78	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	858	895	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15306	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
assemblage-28-7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	33240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	8	0	0	0	10081	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	13	0	740	925	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
assemblage-17-8	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	47776	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	1	0	0	0	0	0	0	0	466	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	9	0	0	0	14731	55	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	5	0	778	1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-41-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-46-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19885	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
assemblage-44-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	10	0	0	0	0	31680	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	1	0	0	11854	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	678	919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
