Assemblage_Name	1979810-8835184-1	4-8595686-1	3-3-6229099	6347497-1-1	3-4062016-3	1590937-3-3	0-8762699-2	4-1-8319219	3541762-3-3	4-1-4872339	3-2171629-3	4-1-1500054	4-1-2314415	9424102-3-3	4-1-6992443	4-1-1091940	0-3-1104343	2427353-1041289-2	4-1-5162229	3-3-1191540	3-9971887-3	0-8369277-2	3-3-2816811	4-2412701-1	9857679-3-3	149641-3-3	7363399-1-1	3-3-6336787	3-8746723-3	4-1208461-1	4-1-9598455	4-1-2822475	3-3-1179010	4-1-5741813	4-9704848-1	4-1-4996546	0-3-704210	4-6062046-440660	4-5629808-1	4-1-6308425	1618358-3-3	4-1-8188332	9006815-1-1	7114094-1-1	3-4131676-3	4-2168703-1	4-4966720-1	9138076-1-1	4-9205149-1	4-7278681-1	4-1-6954749	4-1-1250359	2027139-1-1	4-3159624-1	1847187-1-1	5949874-3-2	4010123-1-1	4-1-440660	4-1425120-1	5194922-1-1	4-1911593-1	4-670480-1	3-9083212-3	0-3-8244937	4-1-4156929	4-8454077-1	4-2708116-1	657479-1-1	4-1-8771162	4-1-3530014	4-1-3853998	5070870-1-1	9322296-1-1	2043571-1-1	4-1778697-1	4-5358828-1	4-1-7337285	5986716-1-1	4-5924885-1	4-5457830-1	3-3-5502702	4-5598073-1	4556392-3-2	8795033-3-3	4-1-9702331	8901934-1-1	4-1-7982905	1546908-3-3	646667-1-1	8541713-3-3	4-1-1448955	4-2044345-1	4045121-6327409-1	9159820-1-1	4-4217863-1	4-5680795-1	5049687-1-1	1300255-1-1	5263329-1-1	91771-1-1	7975940-1-1	4-1-1810665	4-1-9304447	4-869364-1	3-3-5872579	8184891-1-1	4-3057292-1	1979810-1-1	4-1-6514504	6485979-4511166-1	3-3-6738575	627136-1-1	3-4888386-3	0-1041289-5038045	4-9960068-1	3-7179596-3	4-1-3899449	5455733-1-1	3-3-3897465	4-5942939-7691625	4-2534775-1	5863801-1-1	323758-3-2	4-1-6171191	4-8670678-1	9083529-1041289-2	4-1-605312	3-9454294-3	466640-1-1	4045121-1-1	3-3-4331701	4406031-3-3	0-8782068-2	8804550-3-3	4-1-4158717	4-3656652-1	4-9974081-1	3059024-1-1	0-1041289-4829535	3-3-7536206	3-3-7855939	4-1-7921240	3136456-1-1	3-2841642-3	4-1-4938986	4-1-3170772	4-1-1480064	3-252822-3	4-4553435-1	9119214-1-1	4-1-9728909	4-7995023-1	4-8693149-1	8428504-1-1	6035053-1-1	4-6839115-1	5453759-1-1	7469173-3-2	4-636819-1	4-6760763-1	9384607-3-3	4-1-4902802	4-1469805-1	4-1-965920	4-1-7650836	4-5737780-1	3-8303040-3	4-5674463-1	4-1-9909006	226560-3-2	4-1-9565377	4-5942939-5929359	4-9951104-1	4-4302902-1	9226655-3-3	4-8899557-1	4-488030-1	4-3610191-4803397	3-3-3031511	0-3-3462536	5407394-3-3	0-3-2573834	9565206-3-3	4-3306323-1	9183904-1-1	4-4633770-1	4-1-8748871	4-1-2595434	3-3-3751744	3-3-4605724	8519668-1-1	4-5178846-1	4-1-6039340	3375816-1-1	4-1-6971243	4-1393891-1	3-9568412-3	3-3-9273720	1305449-3-3	4-59221-1	6929311-3-3	4-1-5388792	2883151-3-2	1227151-1-1	4829300-3-3	7630043-1-1	4-1-2705460	9287816-1-1	4-8817934-1	4-6683048-1	4-1-5557124	5835549-3-2	0-7696187-2	2304968-1041289-2	6862271-1-1	4-5628614-1	4-2062043-1	9231268-3-3	4-1-8159552	4-2749842-1	4-4970787-1	3-1654641-3	3-3814346-3	3-3-3342694	4-1-2463478	7122273-3-3	4-265388-4803397	4-936335-1	3-3623178-3	4-1-1754813	4-1-4803397	4-1-903592	7555934-1-7982905	4952547-1-1	3-500467-3	4-1645383-1	0-3-294206	4-3864522-1	4-1923390-1	3-3-9939571	4-8377866-1	4-1676521-1	4-1-144113	4-5511456-1	4-1-6376170	6042259-1-1	1928978-1-1	7246022-1-1	0-3657400-2	0-8776433-2	9690085-3-2	8374102-5942939-440660	4-5537072-1	3-3-3	3-3-1602728	4-4247971-1	646163-3-3	4-1-3863375	4-1630715-1	4-5199207-1	3402871-3-3	0-9421500-2	4-8630851-1	1719501-1-1	4373440-3-3	5695468-7710003-1	3-3-1263210	0-9306968-2	4-1-9252896	4-1-3389693	5392014-1-1	3-3-1478927	3-3593934-3	4-1-3784230	4009773-1-1	8800677-1-1	4-1-3397197	1954801-1-1	4-1-758930	4-1-4803084	1896574-1-1	7027150-1-1	7093318-1-440660	4-7056309-1	4-5942939-440660	4-4629583-1	4-1-579570	3-3-4265268	4-1-3755909	8900848-3-2	4-1-435706	4-2979038-1	4-1-9368821	4-3201416-1	8295856-3-2	4-6027290-1	9273007-1-1	3-3-7275033	4-2390261-1	3-3-7964113	7317670-1-1	4-1-7209581	4-5357156-1	4-1-7576443	4-714817-1	3388523-1-1	866097-3-3	4-4689491-1	2831219-3-2	4-669343-1	1343877-1-1	4-9289266-1	3-2623598-3	3-8699608-3	3-3-2758881	4-1-1388403	4-4335597-1	3-5727482-3	4-1-3803240	4-1-4201483	4-1-1	4-190530-7982905	0-3-5612473	4-5942939-5219597	4-1-6473640	4-9616108-440660	3227360-3-3	4-5032279-1	4-8319992-1	0-7333297-2	72360-1-1	4-9511307-1	3-3-9517106	4-4697217-1	3-487122-3	907971-1-440660	0-1041289-5969108	0-1041289-2	4-1-3374773	1966035-3-3	8402556-3-3	4-2934648-1	2877264-1-1	9794447-3-3	7957698-3-2	3-7563250-3	4-339494-1	0-3-2	914186-1-1	3370244-3-2	7570899-1-1	4-1-1080926	1979810-1-7955455	3250165-3-2	4-8359189-1	4-1-3796070	3-2148018-3	8227459-1-1	4-7839832-1	4-8991174-1	1413831-1-1	4-4860643-1	8131766-1-1	8875339-3-3	4-5389216-1	4-1-5792195	4567928-1-1	2682451-1-1	9934969-1-1	4-87992-1	4580143-1-440660	4-1-8504138	3-8073722-3	4472857-1-1	0-5536878-2	4533970-1-1	4-7261918-1	8296250-1-1	4-8136182-1	4-1-2187599	0-7815618-2	4-1-5127153	4-7807823-1	5303225-1-1	4-1426039-7982905	19739-1-1	2132569-1-1	4354558-1-1	4-7710003-1	4017341-1-1	3-3-2602638	4-1-1889708	7805496-1-1	4-1-4870203	8579431-1-1	4-4511166-1	4954971-3-3	3949183-1-1	9201794-1-1	3-3-5680671	3-3-5012494	7074174-1-1	1665331-1-1	4-1-2234739	3-968551-3	6993230-1-1	3-5817988-3	3-3-6081655	2796185-1-1	4-1-1427354	4-1-6206322	3600872-1-1	9887585-1-1	4-9111783-1	3938030-1-1	4-981267-1
assemblage-37-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	203	0	0	0	0	0	0	0	0	0	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	0
assemblage-46-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1036	0	0	0	0	19	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	138	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	6	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	322	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7415	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	975	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10005	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	354	0	0	0	0	0	0	0	0	0	611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-35-1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	1	0	0	0	0	0	1	13	649	0	0	0	0	0	0	1	1	0	4	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	0	0	0	0	0	0	3	24	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	76	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	1	18848	0	137	0	0	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	1	0	3	0	0	0	0	0	0	0	0	1	33844	0	8	0	0	0	0	0	0	0	1	24	0	0	0	0	1	3081	0	0	0	6	11	0	0	0	0	9081	0	55	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	22	0	32	3	0	0	1	0	1	1	0	0	0	0	36	0	0	0	4	2	0	5	0	0	0	0	0	0	1	0	0	0	0	29	0	0	4	0	0	1	0	0
assemblage-12-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	579	0	0	0	0	0	0	0	0	0	7	0	0	0	0	18	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	10933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1737	0	0	0	0	0	0	1	0	0	704	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	28	0	0	0	0	0	0	9	0	0	0	0	5	0	0	0	0	0	0	0	0
assemblage-28-7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14812	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23803	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810	0	0	0	0	1	0	0	0	0	6210	0	16	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	68	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-17-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	61	879	0	0	0	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	14	42	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19926	0	27	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33571	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2079	0	0	0	0	0	0	0	0	0	9467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	38	0	0	0	0	0
assemblage-41-13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	886	0	2	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6718	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	13164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-46-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	906	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7490	0	0	0	80	0	0	1	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-44-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	5	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13782	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23481	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1031	1	0	0	0	1	0	0	0	0	7066	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
