Assemblage_Name	7464402-1-1	0-1-2119666	8601804-9238914-4	1838103-1-1	0-1-1	8036197-1-1	3-1381283-4	3-2-1738292	0-1-6696955	0-8462190-1	440263-1-1	3-2944882-4	0-1-7437602	3-2-231560	5037987-1-1	3-4492854-4	1779780-1-1	3825457-2-4	0-1809755-1	0-1-3045354	0-1-7997702	3-2-5232963	3-2-9671429	0-1-5220691	0-1-593550	626441-1-1	3-2-5497873	3-2-4611052	3-5491138-4	0-4637651-1	3-2-9528933	3-2-4318479	6475310-1-1	4395611-1-1	3-2427916-4	3-2919939-4	3-2-2208293	6689479-2-4	3-2-2150712	0-1-4522042	3-4027846-4	0-3059452-1	0-1-9367067	0-1-5892868	0-1-5521276	2205471-1-1	3-9238914-4	0-4481666-1	0-4495604-1	0-464149-1	0-1-9804567	2194081-2-4	3-2-4298433	3-2-6996758	0-9536866-1	350678-1-1	6220815-2-4	5565507-1-1	3-4567304-4	1642674-1-1	0-1-3110408	4809413-1-1	3-2-4457004	9439277-1-1	9237241-1-1	0-1-4701480	0-1596309-1	3-9387802-4	0-1125201-1	3-2-1954432	0-1-920421	0-1-8448328	0-8041582-1	0-1-118655	9488318-1-1	3-554775-4	5037913-1-1	3-2-2200000	0-6889696-1	0-5501248-1	3-4921200-4	0-6039833-1	1536722-2-4	3-2-8809443	8665942-1-1	3706810-1-1	0-6612945-1	5401629-1-1	0-2579507-1	0-1-3454543	3-2-2387506	6237467-1-1	2996954-2-4	5621196-2-4	0-1-6897234	0-1021364-1	0-4616029-1	0-1-9632750	0-1-3128803	0-1-4407212	6901244-2-4	3-6556414-4	0-577394-1	0-9316769-1	0-1-6012445	3-5130147-4	3-5705007-4	3-2-6719693	3-9677169-4	0-1088432-1	0-837203-1	3-5969854-4	3-4904787-4	0-1-9046963	0-7919332-1	4712542-1-1	0-3514623-1	2355591-2-4	3-2-3137011	3-2-7312770	0-9665025-1	0-1656305-1	3-9555983-4	3-2-4	0-1-4906739	3-5115567-4	0-1-6541709	3-8248377-4	8730624-1-1	3-2-9298573	0-1-8820752	0-7563924-6897234	3-2-5846178	0-1-5228930	1923826-1-1	3-7311025-4	6219148-1-1	2844887-1-1
assemblage-37-6	0	0	0	0	6956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4241	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-46-9	0	0	0	0	13477	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7964	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-8	0	0	0	0	7561	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-35-1	0	0	0	34	47017	0	4	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	2	0	0	0	0	0	69	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	87	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	17532	0	0	0	0	0	0	0	0	0	0	0	0	0	513
assemblage-12-7	0	0	0	0	12060	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7060	0	0	0	0	0	0	0	0	0	0	0	0	0	64
assemblage-28-7	0	0	0	4	34850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	526	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	10303	0	0	0	0	0	0	0	0	0	0	0	0	0	564
assemblage-17-8	0	0	0	48	46690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	7	0	0	0	0	0	143	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	38	469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17608	0	0	0	0	0	1	0	0	0	0	0	0	0	574
assemblage-41-13	0	0	0	0	12653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	4	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8721	0	0	0	0	0	0	0	0	0	0	0	1	0	0
assemblage-46-2	0	0	0	0	12488	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	4	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8922	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-44-13	0	0	0	97	34397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	59	0	0	0	0	0	1	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10918	0	0	0	0	0	0	0	0	0	0	0	0	4	228
