Assemblage_Name	6355284-1-1	3-9699320-1	3-1-2387627	3-7873312-1	3078391-1-1	7736748-1-1	3-1928724-1	3937328-1-1	3-5598285-1	4639029-1-1	3154636-1-1	948176-1-1	6150476-1-1	3-1-906488	3-9264952-1	3-8335587-1	4-9627250-3	4-8566254-3	3-6881686-1	3-3932912-1	3-2470364-1	7848174-1-1	3-1-7430914	4-7220914-3	3-1-9174392	4-3-2452002	4960541-1-1	3-8064044-1	3-6350104-1	4-1366717-3	4-8584967-3	3-4522840-1	3-7185862-1	3-6652319-1	4429983-1-1	4-3-7326946	3-1628018-1	3-1-5584049	4492705-1-1	3-1-4353663	1660231-1-1	3-7924446-1	3-9034644-1	4-3-5890060	3-5968203-1	5446359-1-1	3014825-1-1	448015-1-1	3-616717-1	3-4515102-1	3-1-9796745	3-4242050-1	2481529-1-1	4-6865778-3	7105234-1-1	366437-1-1	962212-1-1	3-323003-1	3-1-6519877	9208320-1-1	6215477-1-1	3-2742612-1	3-1-5364723	3-1-9848662	3-1-9654677	3-1-2714393	9323595-1-1	5709335-1-1	3-1-5714476	3-1875613-1	3-9305730-1	3237302-1-1	3974663-1-1	3-6505551-1	3-9652782-1	3-1-1100518	3-997651-1	4-3-3	3-8074567-1	3-1-4875187	4-3-1536440	3-6426454-1	3-9859296-1	3-1510890-1	3-2116954-1	3-1-8671903	3-2595313-1	3-1-3703537	3-5278452-1	8076887-1-1	3-4242050-6853423	3-2734091-1	843890-3-3	3-6134578-1	1080315-1-1	3508195-1-1	4208584-1-1	3045822-3-3	3-1-6682037	3-1-1	8225564-1-1	3-2242676-1	3-1-4989403	3-1-5266364	3-1-929229	3998272-1-1	302947-3-3	1287193-1-1	3516407-1-1	7944983-3-3	3-1-2145562
assemblage-37-6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	791	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	1068	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9762	0	0	0	73	0	0	0	0	0	0	0
assemblage-46-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1494	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	19962	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	944	0	0	0	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9971	0	0	0	79	0	0	0	0	0	0	0
assemblage-35-1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	2353	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	2	0	0	0	17728	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	44185	0	0	0	0	3	0	0	0	4	4	0
assemblage-12-7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13391	0	0	0	0	0	10	0	0	0	9	0
assemblage-28-7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	607	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	14099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30245	0	0	0	0	3	0	0	0	1	0	0
assemblage-17-8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	2193	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	2	0	0	0	0	1	0	0	16721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	45412	0	0	0	0	0	0	0	0	21	0	0
assemblage-41-13	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1324	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	20064	0	0	0	0	0	0	0	0	0	0	0
assemblage-46-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1758	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	19703	3	0	0	0	0	0	0	0	0	0	0
assemblage-44-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	15	0	0	0	13074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31602	0	0	0	0	0	0	0	0	0	0	0
