Assemblage_Name	2-2-3803228	2-930930-1	8124998-2-4	2418654-4-1	2-248298-1	2-6932888-4	2-4-7660396	2-4-773152	5683982-2-4	2-4341315-4	2-2-5759895	2-2-1167604	2-4-6906950	3091771-2-4	2-7285407-4	2-9717957-1	2-224347-1	2-2-8337863	3911697-4-1	2-2-5320275	2-6874258-8490455	1164797-2-4	4037859-2-4	1352207-4-6094589	2-4-617142	2-1322264-4	2-1856917-4	2-2-3416736	3736745-2-4	2-4787478-4	2-785854-4	2-5874937-4	2451545-2-4	3616142-2-4	2-2-1136975	2-7462045-4	2-2-7052446	9980893-2-4	2-4-1387346	7135960-4-1	2-2-6658611	2-2-3915863	2-2-4866019	2-6066598-4	2-5816290-1	2432798-2-9440401	2-4-2292738	2-2-6548597	2-2-6257211	2-9984973-4	9536043-4-1	2-2-8083975	2-2-8490455	2-4-9898570	2-2-5111605	2-4-8746878	2-7112262-4	2-2-8454810	3179674-2-4	9229035-2-4	6336116-2-4	8618071-4-1	2-6329023-4	2-4-102392	2-5693002-4	2-2-1071018	2-6280167-4	2-4-4637416	574045-2-4	2-4-1460524	7051114-2-4	8626176-2-4	867119-2-4	2-4851644-4	8437025-4-1	7970322-2-9440401	1766175-2-4	2-4-1755014	790679-2-4	9413974-4-1	2-4-7792475	7752915-2-4	6832800-2-4	3644330-2-4	2-342458-1	2168419-2-4	2-6847423-2387968	2975770-2-4	2-9768090-1	5035306-2-4	2-4-999418	2-4-8531803	2-4-3689007	2-4-6757304	2-4-2113498	2-2-9511289	1713440-4-1	6686897-4-1	7823924-2-4	2-4-3303812	3207900-2-4	9617969-2-4	2-2-3639939	2-4645692-4	946381-4-1	2-2-3260176	2-4-3227115	2-2-8112479	1823047-4-1	2-8433354-1	2-7808370-4	2-8316327-4	4690548-4-1	4026695-2-4	2-4-9481862	2-4722798-1	5003060-2-4	2-2-9940892	6563003-4-1	2-2-2044648	2-9773161-1	2-4-7769564	2-6480448-4	8389700-2-4	9338394-4-1	2-2-2656653	2-6120655-1	5384675-4-1	2-1564813-1	2-1795738-1	2-4-8425959	2199576-2-4	2-2-6006567	2-352354-4	9993002-2-4	2-2958555-1	2-7986847-4	2-2-1441638	1273279-2-4	3427001-2-4	2-6940202-4	2-7491631-9440401	2-2-4	9241810-2-4	2-2-9577249	2-4862313-4	2-2-8033763	2-2-563569	2811747-2-4	6070006-2-4	3263257-2-4	2-2-4131900	2678090-2-9440401	2-9764362-4	2-4-9861249	3918666-2-4	3715687-2-4	6442037-4-1	2-4-8573016	2-4-6094589	2-3404719-4	2-2-5935032	4638785-2-4	2-2327187-4	2-2-7880794	2-8703924-4	2-2-8030643	2-4-6241796	6978060-4-1	2-2-764460	2-7075418-4	2-2-7822213	3557552-2-4	2-2-8146735	2-2-3755870	2-2-1903911	2-4-2387968	2-2-5652364	6604594-2-4	2-1466747-1	2-2-9911655	2-8653312-1	2-1294625-4	2-2-2100399	2-2-1048491	1208829-2-4	2-6636151-4	2-2-3642399	2320885-4-1	2-9764198-4	5892214-4-1	2-2-3439753	2-2-5880622	2-4-1314001	2143113-2-4	2-1546983-4	2-5680757-4	5419295-2-4	2-7819620-4	2-2-186034	2-2-7789498	2-5658279-4	2-2-6112239	2-2-5488726	4581690-2-4	2-1815187-4	1720149-2-4	2404668-2-4	5152211-2-4	9682113-2-4	8841212-4-1	4698810-2-4	2-9395186-4	2-13100-4	2-2-8850139	2-3353719-4	2-4-172540	2-4221536-1	4931920-2-4	2-4-9524241	9502873-2-4	6557945-2-4	2-2-3718355	2-2-9885442	2-719324-4	8124553-4-1	2-7658976-4	3394249-2-4	2-2-3514285	2-4-7732816	2-2-191982	3940384-2-4	2-2-8994239	724559-2-4	786712-4-1	4562792-2-4	1317456-4-1	2-6931912-4	2-5407930-4	2-2193645-1	3186682-2-4	2613720-2-4	6509791-2-4	6824374-2-4	2-9543641-1	2-4521731-1	2-2-9151814	2-2-7941131	2-2-5537035	2-2-820727	2-2-4214371	823069-2-4	2-3691897-4	2-4-1067885	8599627-2-4	2-2-9007015	1228122-2-4	2-2-1037540	390780-4-1	2068360-2-9440401	2-2-657025	2-4-8363361	2-4-8594244	992478-2-4	2-2-9440401	2-2-3105718	9558005-2-4	6490098-4-1	2-6082895-4	2930691-2-4	2-2-9637918	2-6697116-4	2-2-794142	2-2-9507152	636987-2-4	2-3427428-1	4866136-4-1	6959925-2-4	2-4-500726	2-6116677-4	2-2-9459480	3671376-2-4	2-2-9521095	2-2-2030759	2-7508466-1	2-4450763-4	2-2-5275784	1700461-4-1	2244297-2-4	2-2-2896406	2-9407081-4	2-2-2118743	1564198-2-4	2-9853153-4	1468805-2-4	7292276-2-4	7534991-4-1	2-2-8119270	2-2-86642	2-3583235-4	2-2056880-1	2-2-2473481	2-4355539-4	2-2-4189678	425769-2-4	2-1812497-1	2-2-7489239	2-4-1	2-2-2395694	2-7344983-4	2-2-7529265	2-2-8855464	2-4-3217467	2-2-8624017	2-9089058-4	2-2-8172428	2-2-5633987	3663390-2-4	6130280-4-1	2775930-4-1	7924461-4-6094589	2-2-912363	2-9511099-4	2-847042-4	2-2-9073851	1781819-2-4	2-2-8363390	7559280-2-4	2852272-2-4	9098871-4-1	6937689-4-1	8148721-2-4	2-2-661187
assemblage-37-6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5354	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-46-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	3	3	0	0	0	3752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
assemblage-28-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4957	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-35-1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	717	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	7	0	1	0	0	0	1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	6	2	0	0	0	2	0	0	0	0	0	0	104	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	44072	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	162	0	0	0	3	0	0	0	0	2	1	0	2	1	0	0	0	213	0	773	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	1	0	0	14	48	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	104	0	0	6	0	0	0	0	5	0	0	0	0	0	0	1	1	85	0	0	0	10	0	0	4	0	0	0	0	0	0	0	0	0	682	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17022	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
assemblage-12-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	177	0	319	0	0	0	0	0	0	0	1	3	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0	0	4	0	0	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	664	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1153	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	148	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	31290	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	219	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	44	0	690	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	5	0	0	3	29	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	69	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	776	0	0	0	0	0	0	0	0	0	18	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
assemblage-17-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	879	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1181	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	1	8	0	1	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43413	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	7	185	0	788	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	74	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	91	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	46	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	552	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	17819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
assemblage-41-13	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	5	0	0	0	0	0	0	0	0
assemblage-46-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	16179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
assemblage-44-13	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	1	0	0	0	817	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31526	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	561	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	16	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	69	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10839	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
