Assemblage_Name	3-472764-1	3-1-2889210	3-4575159-1	3-6421119-6740198	3-1-8985629	3-1-3302240	3-1-1360548	534006-1-1	3-1-221791	120613-1-1	3-1-5507835	3209146-4-4	3-1-6936392	3-3228118-1	3-1-1237908	3-2703255-6740198	3-3691645-8095361	3-1-9567063	8975737-1-6740198	7236118-1-1	2-3330733-4	6629046-1-1	3-4373120-2618535	3-1-8828623	3-1-1574550	4990287-1-1	3-1-1413801	3372604-1-6740198	3-1-3183937	3823566-1-1	2651043-1-6740198	5467572-1-6740198	3-2184030-1	3-1-8632258	3-6100835-6740198	3-1-962206	32607-1-6740198	8501121-1-6740198	7557205-1-6740198	3-1-1552132	3-1-8113542	3908345-1-1	2936879-1-1	6322970-1-1	3-9314137-1	3-9022683-1	300294-4-4	3-5463064-6740198	5835438-4081443-8095361	3-6527182-8095361	3-1-6528177	3-1-7139260	3561214-1-6740198	3-9427282-6740198	2-8233470-4	3-447223-1	3-6786342-1	8773760-1-1	3-1-7451633	3-559167-1	3-5648901-1	3-1-6293155	3-4081443-8095361	3-1-7648731	3-1-1653640	3-3516186-1	3-1-6153277	614637-1-1	3-5087004-1	755409-1-6740198	2348291-1-1	2-4-7479518	3-6248683-8095361	8773760-1-1730824	6345922-1-6740198	9291608-1-6740198	3-6201768-1	3-1-8522677	3-4378669-1	3-1337708-1	3-2278281-6740198	3-1-1214424	7065245-1-6740198	3-4373120-1	3-1-433052	9566100-1-1	5536724-1-6740198	3-3206929-1	3-1-2489325	3-4298482-1	3-1-7282283	8333190-1-6740198	3567687-4-4	3-4829880-6740198	3293378-1-1	3-6783890-1	3-5679397-8095361	2-4366596-4	9120096-1-6740198	3-1-1338246	3-1-7967584	3-1-183659	3-9921601-6740198	3-7449942-6740198	2-401885-4	3-1-1728380	3-8830634-1	3-5738019-6740198	4097745-1-1	3-1-3917655	3-9583555-1	3-7477810-6740198	3-1054144-6740198	745442-1-1	7093878-1-6740198	4229581-1-6740198	3-1-3144693	1015646-1-6740198	4614854-9795975-6740198	8177283-4-4	3-7636887-1	6333420-1-6740198	2-3562125-4	3-1-2380177	3-1-6219341	1312156-1-6740198	3386209-1-6740198	3-4568351-1	3-1-7164559	3-1-3193668	2-4-3249080	8152946-1-1	3-4516718-1	3-1-6145854	3-1398936-8095361	5771854-1-1	3-3291225-6740198	3-1-8972039	6180785-1-1	9673289-1-6740198	2091911-1-1	3-1-4794286	3-259561-6740198	3-1-9519674	3-1-6272832	9441589-1-8095361	3-3862924-1	2-4-2070142	3-1260946-6740198	3-2742964-1	3-1-3146821	3-156623-1	3-1-8671919	5392780-1-6740198	3-1-3735502	3-7448833-6740198	9120096-1-1431983	3-1-2633143	3-6403123-6740198	2593323-1-6740198	2-4-2054283	3-372095-1	3-2664295-1	120613-338595-1	3-1-7658632	3-5529750-1	3802586-4-4	1557450-1-1	4614854-1122696-6740198	2332481-1-1	8896656-4-4	3-1-2862419	4091123-1-8095361	2-4-4	3-1-9950780	3-7260337-6740198	1539088-1-6740198	3-1-8493624	3-638735-1	3-1-7013752	9354929-1-6740198	6623201-1-1	3-1-9592891	2-4-9663931	3-8878741-1	3-3109351-6740198	3-4623067-9613635	8726389-1-1	3-26314-1	3319170-1-6740198	5750432-1-6740198	3-3376244-1	3-5847158-1	2-9226281-4	3-1-8784729	8273359-1-1	3-1-1270561	3-3562620-8095361	4614854-7156396-6740198	9859436-1-8095361	3-9931939-1	3-9995900-6740198	9738679-1-6740198	3-8215603-6740198	3-1809621-1	5124986-1-1	6543403-1-1	3-1-6625879	2-7004154-4	3-1-6356774	3-771664-1	3-5490893-6740198	3-7530485-6740198	1877034-1-1	3-1-7904691	3-1-1292818	3-1-5325698	3-8816782-1	6501480-1-1	3-1-1717892	4536114-1-1	3-1-379992	3-1-7845519	3-3872657-1	3-1-1676689	69475-1-1	3-7839396-1	3-4413272-1	3-1-2827919	3-9318104-1	3-678377-1	3-1-9772233	5209815-1-1728380	3-1-8366273	3-4924773-1	6575213-4-4	8402150-1-1	3-6150533-1	7187086-1-1	3-1-5153070	4614854-3126935-6740198	3-1-8668006	2707680-1-8095361	7999989-1-1	3-1-2834872	4614854-1-6740198	6797262-1-6740198	3901513-1-6740198	2-4-1780104	3-3220657-8095361	3-1-8095361	6672841-1-1	6637085-1-1	3-1-1943708	3-1-1	4460871-1-8095361	3-4373120-3936697	3-1-1888631	3-3128748-6740198	2-4-7000920	3-1-8414965	3-7362335-1	3-1-828545	4614854-1-1666283	3-1-1283488	4614854-831990-6740198	2-4-9407200	3-1-8304033	3252532-1-1	3-1-8479112	3-1-8551551	3-1-9952485	3-6419245-1	702524-1-1	3-5049899-6740198	3-6333166-6740198	3-1-5854156	3-1-1525852	9271555-1-6740198	3-8208092-1	2-4-8654705	3-1-7283083	9472090-4373120-1	8269321-4-4	9323254-1-1	7904224-1-1	4615749-1-9613635	3-9029775-1	3-1-5377681	1914045-1-6740198	3-3977557-1	9566521-1-1	3-1-6740198	3-1-4360629	3-3649114-1	3-1-3177277	3-1-242752	3140271-1-6740198	3-784586-6740198	3-1-670137	3-7473396-6740198	3-1-5300249	17430-1-1	5221839-1-1	3-1-4969079	3-2511114-1	4548952-1-1	3-6708825-1	3-1-9613635	3-9955147-8095361	3-7954038-1	3-1-2098654	2-4-406908	3-4081443-3197630	3-1-5468653	3-1-6477902	7909599-1-1	3-1-2258809	3-1-3193689	3-1-2569944	6167376-1-1	3-717814-1	3-7877563-6740198	2526558-1-6740198	3-1-5795215	3-1007390-6740198	6912063-7095001-1	3-1-2136862	7435543-1-1	3-8237713-1	3-6148113-1	4580477-1-6740198	5139572-1-1	482433-1-1	460382-1-1	864570-1-8095361	3-7095001-1	3-8679917-1	3-1-3367241	3-1-7908154	2-4-420688	2555225-4-4	2210587-1-1	3-1-3303520	3-1-5274631	3292438-1-1	3-1-4759325	3-1-166883	3-1-1099467	4621149-1-1	3-1-8493185
assemblage-37-6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	155	0	0	0	0	0	0	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	7321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	3345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-46-9	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	207	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	1056	0	0	0	0	2944	0	0	0	5514	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	857	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	344	3	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	7107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	3375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-35-1	0	0	0	0	0	0	0	0	0	25	1	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	6	0	0	1	0	43	8	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	489	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	136	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	12402	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	44241	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	2	0	0	0	1	0	0	0	0	0	3	1	0	7967	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	1	6	2	0	0	0	0	5	0	204	0	1	0	0	0	2	0	0	0	0	0	0	2	0
assemblage-12-7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-7	0	0	0	0	0	5	0	0	0	16	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	36	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10328	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	28626	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16	0	2	0	0	0	0	0	0	0	0	0	0	0	6749	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0
assemblage-17-8	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	24	7	0	0	0	0	0	0	17	0	0	10	0	43	51	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12538	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	44661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	7095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	3	0	333	0	0	0	0	2	0	0	0	0	0	0	0	0	1
assemblage-41-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1554	0	0	0	0	2233	0	0	0	5567	0	0	0	0	0	0	0	40	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
assemblage-46-2	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	298	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	746	0	0	0	0	3029	0	0	0	5358	5	0	0	0	0	0	0	63	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9207	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-44-13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10262	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29380	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
