Assemblage_Name	4745547-3-0	1-5476755-0	1-2736762-0	1-3-3967776	5153386-3-0	6298049-3-0	2-495509-2	1-3-7414573	9890265-3-0	1-6379685-0	1-6324438-0	315627-2-1	85066-3-0	1-5433098-0	7001343-3-0	1-8077394-7711824	1-8751649-0	7527256-3-0	1-4532194-0	1-269756-0	1-3-1516162	8558613-3-0	1-3-8017973	1-4806538-0	7836196-3-0	6502294-3-0	1-3-2242921	2-0-7054331	2057575-3-0	1-3-2137806	1-1156469-0	1-4216940-0	1-6470472-0	2-0-2	2-8145302-2	9836220-0-2	1-3-5914534	1-3-3161913	1-3-4983413	1-3-2896185	1-5941092-0	8916202-3-0	1-1036791-0	1-9029006-0	1-3-9636761	3-0-3423751	3804019-0-2	415411-3-1516162	7116032-3-0	2-8509181-2	1-3-312431	1-3-2013644	1-5601008-0	1-3-3081065	1-3901908-0	1-9896720-0	22032-3-0	3-0-4266451	1-5809377-0	1-7114614-0	1-3-5710465	1-6179610-0	9687519-3-0	1-2349802-0	1-3-1877244	187043-3-0	9612385-3-0	1-4750056-0	1-3-6362723	9175892-2-1	9478681-3-0	1-3-9665030	1-3-5930777	4083104-3-0	1-3-6560059	1-75074-0	8225471-3-0	1-3-9712882	1-5129796-0	1-4623168-0	1-6981311-0	1-3-855088	1-3-0	1-2409883-0	1-4077625-0	1-3-4059300	9174375-2-1	5995718-3-0	2-6296085-2	7554523-3-0	1-9769127-0	9948152-3-0	1-1094241-0	1956786-2-1	1-8201658-0	4566807-3-0	1-2852864-0	3312966-3-0	1-3-9457693	1-6124868-0	2-0-6507580	1-786265-0	1-3-4614762	1-3-3485944	1-1318305-0	1-3-8380657	1-3-1117829	8147606-3-0	1933746-3-0	1-5986507-0	1-8088269-0	1-3-6972695	8790590-3-0	1-3-1647321	1-3-3082066	9203733-0-4266451	1641817-3-0	4222380-3-0	9613838-3-0	1-3-1723948	6544274-3-0	7374312-3-0	2-3629399-2	9010641-2-1	1-8077394-0	1-3-5971359	1-3-6721417	2-0-8136964	2-5090107-2	1-3-2702463	1-3-3031832	473898-2007374-2	1-3-9451304	752496-3-0	1-2775086-0	8358109-3-0	3060407-3-0	1-3-7977335	1-2695431-0	1-3-8521800	1-8676004-0	6771867-3-0	1121875-3-0	8565565-3-0	1-7409627-0	1-3-9955467	7121930-0-2	1-3-509600	3-2-7432704	1-3-3840040	1-444447-0	4755016-3-0	1-9390010-0	54754-3-0	3167126-3-0	2-0-1217755	1-3-7531474	1-3-9313465	2-0-4884706	1-5601086-0	9508200-3-0	1-3-8919666	1-3-4955472	1-3-5956089	1-7032663-0	1-3-603007	9835066-3-0	1-3-2859750	1-3-9408295	2489637-3-0	490327-3-0	1-3133339-0	1-8158298-0	4415515-3-0	60664-3-0	6702993-0-2	1568861-0-2	3228469-0-2	4881930-3-0	1-3-6276566	903981-3-0	9468992-3-0	2535408-3-0	4754315-3-0	1-3-5987085	8131175-3-0	2-0-4119098	1-9692611-0	1-2278300-0	7275978-3-0	1-3521318-0	1-3-6448843	421281-3-0	1-3-2531660	1-3-8376220	2658636-3-0	1-1492103-0	2-0-3720468	1-5757157-0	1-3-3086016	3948154-3-0	8942716-3-0	1486860-3-0	1-3-3401393	8614978-3-0	1-3-1062286	4582859-0-2	1-125051-0	1-4865958-0	1-2098511-0	1-3-7674053	2-0-3118905	1-3-563265	2-0-7508896	1-2832016-0	8325446-3-0	1-2332422-0	3193441-0-2	5633287-0-2	3-9309531-1	1-105912-0	1-3-760477	1-1672669-0	1-5504086-0	2-0-8823816	1-4920190-0	1-4517450-0	1-3-6556201	1-257239-0	8213374-2-1	5980673-3-0	719332-3-0	7706056-3-0	1-2504403-0	1-5634976-0	1-3-456284	1-4240766-0	1-3-5622973	2977559-3-0	1-3-6650863	3-2-1	1-3-1108304	2715831-2-1	1-3580119-0	1-3-9653910	4911143-3-0	1-7019630-0	1-3-1497504	5761013-3-0	1-3-2996090	473898-0-2	1-3-3562491	1-3-8577439	1-8010370-0	3386298-3-0	1-3-9785103	6125104-3-0	1-3823261-0	2-951207-2	2-0-4180631	1-3-362708	1-3-4768284	1-6950497-0	1-1496094-0	1-3-1268545	1-6740190-0	1-3-5775496	1-7147330-0	1-9079078-0	2-470515-2	1-3-7656403	3083522-3-0	6627433-3-0	1-9368731-0	1-7803338-0	1-3-8504306	1873106-3-0	1-7571964-0	8545190-0-4266451
assemblage-9-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13658	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2231	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5938	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1119	1	197	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
assemblage-23-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-1-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0
assemblage-13-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	81	0	4	0	0	0	0	1	0	0	0	0	0	1493	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	10	0	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	17	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-16-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1243	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	14674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	20	192	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	20	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	1	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
assemblage-2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-17-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	3	0	814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-4-19	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	69	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	12	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	2311	0	211	0	0	0	0	0	0	0	23	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
