Assemblage_Name	4-4-1811620	4-890062-3	4-9685676-3	4-4-9537793	4-2604365-3	4-7151937-3	195162-4-3	4-2345662-0	4-4-561485	4-243841-3	4-4-7715889	4-5195654-3	4-1-3861430	5897270-4-3	3999094-4-3	4-5039035-3	4-4-7496328	4-4-1658998	4-1-8880226	4-268284-3	4-4-1972438	4357633-4-3	4-8970626-3	4-4762284-3	9457505-4-3	4-1-0	4-1-2015810	4-7216660-3	4-4-3255427	4-4-5404477	7332389-4-3	2979983-4-3	4-4-4848265	4-4-1184597	4-83997-3	9619198-4-3	4-4778464-3	4-5586071-3	4-4-8378099	4-4-936644	4-4-5904560	4-4-2104489	4-1851322-3	4-4-5531994	7589385-4-3	4-3561713-3	4-1268817-3	4-4-8618834	4-4620587-3	4-4-4479949	4-4-8089739	4-1-8010082	4-7969044-3	1182169-4-3	4-4852448-3	4-602164-3	4-0-8465214	4-4790321-3	4-4-2365270	4-8628261-3	9714158-4-3	4-0-532267	4-4-8046499	1892497-1-0	4-4-2795870	4-3839332-3	4-6047303-3	7840693-4-3	4-4363041-3	2848541-4-3	8020-1-0	4096916-4-3	4-3116535-3	4-4-6503536	4-8166185-3	8644362-4-3	4-525379-3	4-273367-3	4-1962599-3	4-3486495-3	4-4-3959192	4-3339785-3	4-4-8536444	4-1-4888718	4-6819628-3	4-4-8251822	281691-4-3	8293673-4-3	4-8298868-3	4-4-4058480	4-6326966-3	4-8221865-3	4-9530466-3	4-4-1450451	4-0-3	4231811-4-3	4-8151041-3	4-3489024-3	4-4-6309305	4-4-559293	4-5830969-3	4-4-2137438	4458552-4-3	4-8544238-3	4-4-3	7919727-1-0	4175272-4-3	4-1-985337	5696928-4-3	4-132917-3	2790785-4-3	4-4-7193932	4-4-4210515	4-4-727899	2884149-4-3	4-1544191-3	6073848-4-3	3899201-4-3	4-4-7467303	4-775832-3	5572011-4-3	4-6682548-3
assemblage-9-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14757	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
assemblage-11-1	0	0	0	0	0	0	0	313	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2542	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	1490	0	0	0	0	0	0	0	0	0	6666	42	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
assemblage-23-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26860	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-1-13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12054	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
assemblage-13-7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	12023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-3	0	0	0	1	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	85	0	0	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	8	0	0	0	3	0	31172	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
assemblage-16-16	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	144	0	0	0	0	0	0	0	53	527	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	37	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	8	0	0	15957	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-17-21	0	0	0	0	0	0	0	579	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2730	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	809	0	0	0	0	0	0	0	0	0	6919	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-4-19	0	0	0	0	0	3	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2941	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	5	0	0	0	4357	0	5	0	0	0	0	0	0	0	9203	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-23-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11063	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
assemblage-8-14	0	0	0	0	0	3	1	229	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	3039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1265	0	0	0	0	0	0	0	0	0	23455	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-15-5	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	5253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-2-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-7	0	0	0	0	0	0	0	243	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2652	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	739	0	0	0	0	0	0	0	0	0	7336	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-7-12	0	0	0	0	0	0	0	0	0	0	1	0	0	27	0	0	0	0	0	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	5089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
