Assemblage_Name	7598973-0-4	3-3586622-2	3-4056250-2	2249362-0-4	3165192-3-1	4-0-5422822	4653187-0-2	6143004-0-2	3196661-3-8169633	8134338-0-2	4060294-0-2	3-0-5863425	6622379-3-1	3-4983732-2	658688-0-2	4-2876758-4	4006256-0-4	7665939-1100030-4	3-4389075-2	2213968-0-2	4-0-4548890	3-0-6524906	3-3664897-2	3-0-9495713	4-0-5067323	4-0-9765225	4-4557965-4	3-225853-2	3-2065657-2	5004559-9747776-2	3190975-0-4	513399-0-2	3-0-1819420	3-5267268-2	3-9064-2	3-0-6630651	9491547-0-2	4-1100030-4	6358100-0-2	991005-0-2	4618053-0-4	3-0-8986260	3-0-4908622	6510050-0-2	3196661-5920056-1	3-0-7768593	465714-0-2	4-0-122113	3-0-1315530	1-3-3	3-0-2107468	7411399-0-2	4-4164123-4	6689884-0-2	4-0-801714	4-8429062-4	3-0-7848602	1379170-0-2	4-0-2392264	3792691-3-1	3-0-6949162	3447488-0-2	3196661-8158063-1	3141699-0-2	4-0-2163229	4-3654171-4	4-7861489-4	3-0-838737	4-0-8051299	4-0-91285	7032212-0-2	3-4801757-2	3-0-1549172	3-8668591-2	3-2641474-2	2577830-0-2	3-0-2	3-0-583034	4-7598173-4	3-9395943-2512280	0-3-1	9059317-0-2	6951901-0-2	7112604-0-2	2794657-0-4	3196661-3-5741580	6520489-0-2	4-0-2663090	8841156-0-4	4500267-0-4	4668167-0-2	3-0-1374534	1-3-8578867	3-0-1829058	3-0-3848021	3-0-7660667	9840867-0-2	8011692-0-4	7425152-0-2	3-0-435808	4-0-3002691	4-8450707-4	3146165-0-4	3-5833133-2	3-0-4513939	3-0-6484166	3-6194850-2	3-0-9512203	3-0-6126793	2930848-0-2	2569724-0-2	4-0-8623189	3-0-6047853	4695919-0-2	3-7407179-2	7425223-3-1	3-0-280072	5004559-0-2	3196661-3-3422763	3-269389-2	217871-0-4	1894268-0-2	4-0-4	3196661-3-1	6092541-0-2	3881202-0-2	3196661-7989579-1	565224-0-2	7425059-0-4	7518931-0-2	3-9395943-2	4-2082268-4	3-0-5801028	3-9938253-2	4-7428935-4	3-0-5341566	3-0-5347872	3-4941234-2	3-8593667-2	3196661-3246761-1	3-0-5543724	6950512-0-4	3196661-4390511-1	3-665748-2	1-5679411-3	4-747010-4	4-6540286-4	3-0-3367114	3-0-1066634	9365433-0-2	6849461-0-2	4-0-2286214	3-9799939-2	3-0-6198232	3-0-9747833	1-3-5071483	6450136-0-2	5399505-0-2	3196661-6313636-1	4-0-9650202	3386185-0-6484166	7929152-0-4	7196243-0-2	4285747-0-2	9684923-0-2	1360994-0-4
assemblage-9-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2641	0	0	0	0	0	0	0	0	0	0	0	2422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	18746	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20223	2797	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-9-2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	4	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	55387	0	0	0	0	0	69	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1326	0	0	0	0	0	0	0	0	0	0	0	1058	0	0	0	0	17161	14900	0	0	0	0	0	1	275	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	23	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
assemblage-33-5	0	0	20	224	0	1	0	0	2	0	0	12	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7387	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84097	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	6	0	0	0	27078	19476	0	0	0	0	0	17	0	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	39	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0
assemblage-34-4	0	0	2	240	0	2	0	0	0	0	0	2	0	0	1	98	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9511	0	0	0	0	0	0	0	0	0	3	0	2096	235	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	79786	0	9	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	35988	13491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	16	1
assemblage-64-2	0	0	2	268	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7279	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	26780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9849	4732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
assemblage-34-3	1	0	0	102	0	3	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9588	0	0	0	0	0	0	0	0	0	0	0	1980	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45523	0	1	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	30621	7848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
assemblage-61-15	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10238	9631	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	71	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
assemblage-59-9	0	0	0	0	0	0	0	0	9	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	144	0	12	0	0	3	0	0	0	0	0	0	0	801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89884	2	0	0	0	0	258	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1044	0	0	0	0	0	0	0	0	0	0	0	1332	16	0	0	0	22067	19990	0	0	0	0	0	29	332	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-99-1	0	0	0	276	0	4	0	0	0	0	0	23	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6961	0	21	0	1	0	0	0	1	0	0	0	0	337	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	116198	0	14	0	0	0	144	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1311	0	0	0	0	0	0	2	1	0	0	0	1034	0	0	0	0	32275	25854	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	7	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	16	0
assemblage-38-7	0	0	8	122	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9200	0	0	0	0	0	0	0	0	0	1	0	2086	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	46388	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29858	7992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0
