Assemblage_Name	5794697-4-3	6051612-4-3	1-4-7960081	1-6374890-3	1-4-702038	9296823-4-2	274777-4-3	9319361-4-3	1-4-1319178	1-4-1063855	1-1438446-3	1-4-3	1-9741928-3	1-966809-3	7541130-4-3	1-4-6273936	1-1687219-6046613	1-4-7213374	1-4-1839544	2-3-3	1-9287127-6046613	474439-4-3	4-8473931-2	4968051-4-3	7091079-4-3	1-646626-3	8577736-4-3	1-5743229-3	1-2341692-3	1-4-8058632	1-2082837-3	1-4-5467390	1-9165482-3	1-4-1039056	1-4-9038828	1-4-4637814	1-3790254-3	1661746-4-3	3779613-4-3	1-4-5759456	1-4-5380979	1-1099481-3	1-4-62310	1-4-1572554	1-4-6817152	4233477-4-3	1-7396254-3	1-4-3349092	1-4-1057281	8049400-4-2	1-305343-3	6443287-4-3	1-7041975-3	1-4-6046613	1-3524727-3	1-9172767-3	2823576-4-3	1-3563214-3	9671851-4-3	4-9295732-2	1-71936-3	6895054-4-2	3413776-4-3	1-7221884-3	1-4-5661554	4-4-5451504	1292311-4-6046613	6834608-4-3	8456774-4-3	9667009-4-3	972085-4-3	6507275-4-3	1-5819921-3	1-4-4448272	1-4779712-3	3-2806117-0	1-4-8486217	6056860-4-3	4-1871885-2	1-4-261202	1-3633815-3	1-5827958-3	1-9071599-3	1-4-4628327	1-4-3102434	1-4-1345920	8692469-4-3	1-8677203-3	4685181-4-3	1-702411-6046613	1-4-5608271	291782-4-3	1-1845573-3	1-4-7456245	9175328-4-3	1-4-2855462	1-4-5422686	9531540-4-3	1-4-4039258	1-9301562-3	2208616-4-3	1-4-6869616	1-4-6379736	1-4-7081405	1-8232930-3	594186-4-3	1-1694343-3	1027922-4-3	1-4-3531124	983475-4-3	2141425-4-3	1-4-3962420	1-9911359-3	1-4-7968476	4654035-4-6046613	4-4-4505498	2424845-4-3	1-2603119-3	1-2556507-3	1-436197-3	8524535-4-3	1-6819361-3	1-5333646-3	1-4-8349894	3953277-4-3	4-4-1022908	1-9924303-3	1-4-9991709	2307318-4-3	1-4-1673134	1-1458589-3	4-4-2	7162932-4-3	1-4-571086	3-1-0	1-3073286-3	1-7784608-6046613	1-4747474-3	5403420-4-3	1-4-7436767	1-9050272-3	3539140-4-3	3113510-4-3	2273233-4-3	1-6704124-3	1-6743294-3	1436155-4-3	6429913-4-3	4-3708584-2	1-3837957-3	1-762720-3	9679913-4-6046613	1-6293385-3	1-4-5136334
assemblage-9-3	0	0	0	0	0	0	0	0	0	0	0	29430	0	0	0	0	0	0	0	1251	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	90	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	14233	0	0	2443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-9-2	0	0	4	0	0	0	0	0	0	0	0	74841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
assemblage-33-5	0	0	0	0	0	0	0	8	0	0	0	135031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	4	0	0	1	0	0	6	0	0	2	0	0	0	0	0	0	1	0	0	18	0	0	0	0	9	0	0	1	1	0	0	9	0	0	0	0	0	0	0	2445	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-34-4	0	0	0	0	0	0	0	19	0	0	0	121212	0	1	0	0	0	0	0	1042	0	0	2	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2	0	0	0	0	0	1	0	0	14	0	0	0	0	0	15	0	0	0	0	26	0	0	0	0	0	1	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	16936	4	0	2652	0	0	0	0	1	0	0	0	31	0	0	0	0	0	0	0	0	0	0
assemblage-64-2	0	0	0	0	0	0	0	16	0	0	0	46592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2543	0	0	0	0	0	16	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-34-3	0	0	0	0	0	0	0	79	0	0	0	75523	0	0	0	0	0	0	0	1323	0	0	0	1	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	116	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	0	0	0	0	0	16970	0	0	2674	0	0	0	0	0	0	0	0	2	0	0	0	5	8	0	0	0	0	0
assemblage-61-15	0	0	0	0	0	0	0	0	0	0	0	43583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	958	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
assemblage-59-9	0	0	33	0	0	0	0	0	0	0	0	120650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	12	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	15487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-99-1	0	0	8	0	0	0	1	61	0	0	0	166868	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	82	0	1	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	26	0	0	0	0	0	3	0	0	0	0	0	0	0	4	2430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-38-7	0	0	0	0	0	0	0	42	0	0	0	75442	0	0	0	0	0	0	0	1287	0	0	0	10	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	139	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	64	0	0	0	0	0	17108	0	0	2623	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
