Assemblage_Name	1-4-1142065	1-4-9601157	2-5290882-4	1-2672611-3	3836856-4-1674480	3365528-4-3	1-4-8306976	1-7630867-3	1-4350989-3	1-4253210-3	1-4-3	1-2487980-3	1-6059218-3	1-4-6590450	1-8653171-3	1-4-8400948	2-3-4	1-5644663-3	1-3164207-3	7392143-4-3	773702-4-3	1-2080934-3	9322889-4-3	1-4-1164071	3836856-6653671-3	4700805-4-3	1-221921-3	1-6911946-3	1-7677319-3	1-9317931-3	1-4-7560777	1-4-5148483	2711130-4-3	7165068-4-3	1-6826114-3	1-4-3888443	1-7694786-3	1-4-246582	5754370-4-3	1-9044504-3	445746-4-3	1-1654357-3	1-6137714-3	3183219-4-3	2058561-4-3	1-4-1330624	1-1907835-3	1-4-8193987	9361023-4-3	6206994-4-3	677835-4-3	1-6521599-3	1-4-1938917	1-4-13501	1-3549710-3	1-4-9140581	1-5628522-3	4454433-4-3	6649893-4-3	5570451-4-3	1-4-8525481	8838429-4-3	1-4-9997290	5407445-4-3	1992030-4-3	1-4-8826298	1-4-8614103	5725753-4-3	1-4-6904461	1-7646771-3	1-4-2450170	1-4-6953319	1-1226455-3	1-9421600-3	1-9644997-3	1-6856374-3	9798176-4-3	4029594-4-3	6297380-4-3	1-87675-3	1-4-8917878	609852-4-3	1824913-4-3	1-7275721-3	1-5298034-3	9063702-3-4	1-4-70654	2931033-4-3	1-4-5588798	1-5994729-3	6109162-4-3	1-4-4569725	6437535-4-3	1-3893783-3	1-4-916217	1-4-9823707	1-5940358-3	1-4-5536155	1-5125436-3	1-1905395-3	420222-4-3	3836856-4-630683	1-5376455-3	1-4-7584706	1-4-4754773	688617-4-3	1-4-9812854	1-4-9405768	1-4-2365670	1-4-8333714	6356275-3-4	2721252-4-3	5505189-4-3	298407-4-3	8881028-4-3	1-4-1444128	3836856-4-3	1-4003476-3	9924031-4-3	2-3-1009592	3712598-4-3	898739-4-3	1-4-8804833	1-4-7262907	1-4395580-3	1-4-4204914	6905332-4-3	1337546-4-3	1081968-4-3	1-4-8932622	1-2935052-3	1-1055487-3	1-4-8793497	293281-4-3	2-3-521212	8511330-4-3	1-5330877-3	1-4-2670667	1-4-7269614	1-4-9406058	656766-4-3	7228799-4-3	1-1611434-3	14886-3-4	1-8670008-3	1-4-8029402	3836856-8207456-3	1-3907744-3	5513915-4-3	854087-4-3	3509825-4-3	1-9780747-3	1-4-9545473	1-1713590-3	4386123-3-4	1-2193659-3	7877394-4-3	5765789-4-3	1-4-6900909	3836856-8970862-3	1-9045799-3	1-4-7849894	1-4-9834533	1-7616560-3	1-4-9961088	2586853-3-4	1-2430650-3	1-4-4285783	1-7468690-3	1-4-2373184	1-4-1874212	215440-4-3
assemblage-9-3	0	0	0	0	0	0	0	0	0	0	36784	0	0	0	0	0	10373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-9-2	0	0	0	0	0	0	0	0	0	0	80846	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	16	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	732	0	0	0	0	0	0	0	0	0	7843	0	0	0	0	2	0	0	0	0	0	47	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-33-5	0	0	0	0	0	0	0	0	0	0	125204	0	0	0	0	0	3704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	15	0	86	2	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	6	0	0	0	0	13	0	0	0	0	1	336	0	0	0	0	15	0	0	0	0	9099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-34-4	0	0	0	0	0	0	1	0	0	0	120412	0	0	0	0	7	13725	0	0	0	0	0	0	0	1	4	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6998	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	2	0	0	0	4	0
assemblage-64-2	0	1	0	0	0	0	0	0	1	0	42116	0	0	0	0	0	4007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-34-3	0	0	0	0	0	0	0	0	0	0	79171	0	0	0	0	0	14386	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
assemblage-61-15	0	0	0	0	0	0	0	0	0	0	41391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1047	0	0	0	0	0	0	0	0	0	2052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-59-9	0	0	0	0	0	0	0	0	0	0	123071	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	15	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	39	32	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	0	0	0	0	5	0	0	0	0	10522	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	334	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
assemblage-99-1	0	0	0	0	0	0	0	0	0	0	162385	0	10	0	2	0	4640	0	0	0	0	0	0	0	1	10	4	1	0	0	3	0	0	0	0	0	35	0	0	0	5	0	0	0	0	0	3	27	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	2	0	0	1	0	6	8	0	2	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	5	1	0	0	1	0	0	0	1	0	1138	1	0	0	0	0	0	0	0	0	15216	0	0	0	0	0	0	8	0	0	0	38	0	0	0	0	0	1	0	0	0	8	2	0	0	0	0	0	368	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	2	0	0	2	0	1
assemblage-38-7	0	0	0	0	0	0	0	0	0	0	78832	0	0	0	0	0	15038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	1980	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0
