Assemblage_Name	0-3-4927131	0-1768929-5250016	0-9859598-5250016	5486119-3-5250016	0-3-9320931	1264188-3-0	0-1305573-0	8262404-3-5250016	2696611-3-0	8657269-0-1	0-3-5014399	0-3244041-0	1-0-1031503	0-8493908-5250016	0-3-9770991	6812042-3-5250016	0-6211745-0	9581081-3-0	0-6031559-0	0-3212640-0	0-3-6543605	4878903-3-0	2571633-2741716-5250016	0-3-7414371	0-3-1414810	2954351-3-5250016	5916022-3-0	3790858-3-5250016	7445728-0-1	6811486-3-5250016	0-3-9841731	0-3-5298454	7800956-3-0	7580040-3-0	3345665-3-5250016	0-3-5250016	0-3-2091660	9963528-3-5250016	0-3-1252243	0-9307346-0	5969384-3-0	0-3-9663062	6837054-3-5250016	0-6446947-0	5972909-3-5250016	0-3-5813269	0-6403090-5250016	0-955109-0	608094-3-0	1-0-7379680	0-6540935-0	0-3-4877992	0-3-5649404	0-3-1391515	5072351-3-5250016	1-5128430-1	8756940-3-0	0-3430547-5250016	7933137-3-0	9351045-3-5250016	0-3-924050	1252454-3-0	0-4248544-5250016	0-3012863-5250016	0-3-8133575	0-3-1895585	0-1416427-0	0-3-7036687	4058949-3-0	0-286113-5250016	0-3-6592978	1-0-1	0-3665840-0	0-3-5139459	9252679-3-5250016	3279662-3-0	5146720-3-0	0-6215645-5250016	6637146-3-5250016	0-3-5234131	0-5986108-5250016	0-7176098-5250016	4925136-3-5250016	0-5635394-0	9298808-3-0	0-3-802195	0-3-8031249	0-3-5410516	0-3-9088209	5626123-3-5250016	8601411-3-5250016	1-3381535-1	0-3-6516491	0-8951619-0	0-3-3082058	0-3-6200649	0-5481349-5250016	0-4899508-0	0-6336830-5250016	0-7129373-0	4961522-3-5250016	1-0-6505555	0-3-4505116	1-0-7782851	1-3158865-1	9039722-3-5250016	0-3-8477297	0-4417849-0	0-9328155-5250016	0-3-0	0-3-7539463	0-1455089-5250016	0-3-8330665	750686-3-5250016	0-3-9556707	0-993437-0	0-4657202-5250016	0-3-7573860	1977461-3-5250016	3014782-3-0	0-3-6824130	0-3-2755270	5480829-3-0	8779269-3-0	8756940-6690828-0	9983353-3-0	0-3986912-5250016	1-3742143-1	1423386-3-5250016	0-3470871-5250016	0-3367371-5250016	1-1376430-1	254739-3-0	0-154214-0	0-3-484415	0-3-4828440	4712842-3-0	0-3248334-5250016	0-4328933-5250016	0-1326451-0	0-7987269-5250016	9041972-0-1	8769986-3-0	3710142-3-0	0-6427047-0	1-0-2671457	4573072-3-0	2571633-3-5250016	0-3-281360	0-8564227-0	8909599-3-5250016	0-2954892-0	1538277-3-5250016	0-3-9554302	0-3528201-5250016	0-3-6026588	4903656-3-5250016	7705054-3-5250016	6892154-3-5250016	0-3-4502846	6264291-3-0	7440108-3-0	6716153-3-0	0-8735258-5250016	0-3-9510589	0-3-8056078	9213093-3-0	0-3-7213944	773981-3-0	8756940-3-7180745	8517212-3-0	5798659-3-0	0-3-1072937	0-3-1624877	0-6051236-0	0-3-4541828	0-3-9977502	0-3-9476276	0-3-3879470	826984-3-0	8147304-3-0	6444682-3-5250016	0-8739260-0	1900900-3-5250016	0-5813651-5250016	8878898-3-0	0-8975571-5250016	1436113-3-5250016	0-5977456-5250016	3128275-3-0	0-3-4705269	0-2436751-5250016	3530348-3-5250016	5313693-3-5250016	823922-3-5250016	0-2591450-0	1-0-7727168	0-3402964-0	7762973-3-5250016	0-3-3938622	5438621-3-0	3767319-3-0	5588044-3-5250016	4360135-3-0	0-2222839-5250016	0-3-447042	0-3-9872478	0-3-1960589	0-8346800-5250016	0-5190297-0	0-4904130-0	0-3-6507835	0-3-5392063	0-3-6638994	0-107096-0	9558455-3-5250016	0-3-3249688	0-3469450-0	0-3-2299789	9673270-3-0	9778074-0-1	0-7412223-5250016	0-3-8621259
assemblage-9-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3161	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	10266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2018	0	0
assemblage-9-2	0	0	382	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	957	0	0	0	0	63547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	0	0	377	0	0	0	0	7	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23977	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	208	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	5	0	0	11	0	0	0	0	0	698	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
assemblage-33-5	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	587	0	0	2	0	66413	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	241	0	0	0	0	0	20	0	0	0	0	1	0	2	0	10108	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	60356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1302	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	53	0	0
assemblage-34-4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36553	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	19512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	82465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	84	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	1092	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2144	0	0
assemblage-64-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10840	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0
assemblage-34-3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	17608	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1950	0	0
assemblage-61-15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	0	0	0	6	32802	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-59-9	0	0	238	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	801	0	0	0	0	88055	1	0	5	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	249	0	0	683	0	0	9	0	0	0	0	0	0	5	0	1075	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43367	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	45	139	0	0	0	101	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	2	1	0	6	0	0	19	0	1	0	0	0	1709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-99-1	0	0	294	0	0	0	0	15	5	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1052	0	0	0	0	98144	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	282	0	0	452	0	0	0	0	0	1	0	0	0	20	0	9425	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	4	0	0	8	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	73750	0	0	0	1	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	1	0	0	49	118	0	0	0	17	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	5	0	0	0	1	1	0	0	0	5	0	0	0	0	6	0	0	11	0	0	0	0	0	1721	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	6	0
assemblage-38-7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13940	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	18739	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	61095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2176	0	0
