Assemblage_Name	4-7631206-2251109	0-9859579-2	0-2-6976909	0-6145511-2	0-2-8106735	4649851-2-2	1137245-2-2	0-2-2091473	0-2-7599336	3055892-2-9079620	0-7501247-2	0-484619-2	0-2-8828543	0-5963300-2	0-7394377-2	4-2-4832499	4-2-496606	4-6883416-3	0-2844493-2	0-8661479-2	4-8012748-9079620	0-8466465-2	0-2-2162658	3275944-2-3	4-2-3	3041770-2-2	5514161-2-3	4-9509608-9079620	4-3139952-3	0-4902402-2	4-1451138-3	4913941-2-2	5452494-2-2	0-99716-2	0-6816198-2	6556818-2-2	0-2-923747	4558848-2-2	0-6675688-2	8573816-2-2	5568780-2-2	2615845-2-9079620	0-2-1299757	4-1076804-9079620	0-2-5716277	0-2-1930362	0-1295970-2	4-7631206-9079620	0-2-8547912	4-2-9079620	0-2856237-2	1390213-775059-2	0-2-359743	0-2-3082394	0-2-8181462	0-4671045-2	0-2-728688	6707797-2-2	0-7125436-2	0-3889045-2	2110486-2-2	0-3686432-2	0-9826470-2	0-2-8251691	6462178-2-3	6936953-2-2	0-3415330-2	0-2-369630	3780738-2-2	4-2-9694385	4-5833428-9079620	2802743-2-3	0-4522218-2	8601669-2-9079620	6193976-2-2	4-8294143-9079620	4-2-7593031	0-4233500-2	4-2-3565573	0-9795983-2	0-2-8246843	3665711-2-2	0-5674572-2	5196705-2-2	0-2-6340967	0-2746968-2	2943599-2-3	0-2-3369896	4838432-2-3	9443376-2-2	0-2-4491895	7041701-2-2	7234855-2-2	4-4946777-3	0-5992961-2	0-2-8573960	764250-2-2	9292010-2-2	0-2-3110634	0-2-2617255	6691484-2-2	4-8229083-9079620	0-6523518-2	0-2221312-2	575778-2-2	4-6806412-3	3116006-2-2	0-8513553-2	0-8150652-2	0-1728671-2	4-2-3729923	1616296-2-9079620	0-1485011-2	378405-2-2	0-9021594-2	4-2-2137522	4-8574648-3	4-9778297-9079620	0-2-2587002	2115026-2-9079620	0-1886423-2	616055-2-9079620	0-775059-2	4-7722725-3	0-6332212-2	4150807-2-2	0-9720407-2	4-2-9982928	0-2-4288314	4-2-7029003	0-1849477-2	0-2-5966563	0-2024938-2	7288657-2-2	4962057-2-3	427284-2-2	3990605-2-2	0-2-3073301	0-2-9297700	0-2-2	0-8394654-2	0-2-298648	0-9072822-2	8581605-2-2	0-3882820-2	4-72084-3	7712743-2-2	5514161-2046380-3	2472018-2-2	0-2-3147897	777462-2-3	4-5844928-9079620	0-6067380-2	6645065-2-2	0-2-9371425
assemblage-15-2	0	0	0	0	0	59	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	8965	0	0	0	0	1	0	0	0	2	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1621	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	39076	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
assemblage-11-3	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1283	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	3083	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16094	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3
assemblage-11-2	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1109	0	0	0	0	0	0	3	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1782	20	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	17444	0	0	0	0	0	0	0	0	0	0	0	23	1	0	0
assemblage-12-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7857	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	381	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	21548	0	16	0	0	0	0	0	0	0	1	0	0	0	1	0
assemblage-28-1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15714	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
assemblage-12-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	943	0	6546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	22	0	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	3	0	162	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12384	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
assemblage-12-2	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	3535	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	3	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	16352	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0
assemblage-2-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7825	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	21706	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-1-4	0	0	107	0	0	3	0	0	0	0	1	1	0	1	0	0	0	0	1030	7	0	0	0	0	17129	0	0	0	14	0	0	0	2	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2067	8	0	7	0	1	0	0	150	0	27	0	0	0	0	1	0	0	0	0	0	0	1	10	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	16	0	1	0	322	0	0	1	0	0	0	1	0	0	42	0	2	0	0	0	0	68882	2	2	0	0	0	2	0	0	0	0	3	6	0	0	0
assemblage-3-2	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	466	42	0	0	0	0	5472	0	22	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12892	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
