Assemblage_Name	1790254-3-0	7703747-3-0	8758692-3-0	9501896-3-0	2-3-7156065	2-3-4183587	2-3-1056167	2-3-7567027	2-4750793-0	2-7256398-0	2-3-0	2-3-7079109	2-3-9655651	2-3-3198477	8877949-3-0	2-6334731-0	2-3-237910	3165220-3-0	2-3-8291848	9411180-3-0	2-2700431-3269593	4-1-2	4619097-3-0	2-7240828-0	2-9805435-0	2-3-8131385	2-3-1154328	2-3657844-0	2-4748600-0	587343-3-0	2-1296594-0	2-4688554-0	2-7342430-0	3637196-3-0	4651616-1-2	1279438-3-0	2-3-3757676	2-1462187-0	6341045-3-0	3801288-3-0	2-975274-0	2-7262787-0	5342069-3-0	2-6929347-0	2-3-6840226	2-8610225-0	2-3-9801696	3527421-3-0	2-3-1864533	8205324-3-0	2847004-3-0	2-5940323-3269593	2-2589883-3269593	2-1674281-237910	2-5310814-0	2-1952534-0	2-5016984-0	2-6405878-0	9100885-3-0	9655788-3-0	2-5582627-0	9603475-3-0	4564938-3-3269593	2-5388141-0	5673842-1-2	2-9115140-3269593	1691420-3-0	2-3-6716520	6056061-3-0	3625160-3-3269593	2-3849993-0	2-3-1874549	7216645-3-0	7751391-3-0	2-3-542460	2-3-3269593	2-3-9841556	2-4309319-3269593	5479015-3-0	2-3-6989717	2-4067947-0	2-3-6041798	2-1856256-0	4578310-3-0	2-8611472-0	6748924-3-3269593	2-9675337-3269593	4066976-3-0	2-3-24019	8568295-3-0	2-232710-3269593	2-9635870-0	2-3-2586867	2-8552307-0	2-4775798-3269593	9242180-3-0	2-3-1483630	3080270-3-3269593	805079-1039984-0	2-588495-0	2-9309024-0	3973634-3-0	2-3-4720139	2-4591292-0	2-5378868-0	161072-3-0	2-9969945-0	6973385-3-0	2-3-8042605	2-3-1760062	2-7698433-0	2-6267078-3269593	2-8453829-0	2730081-3-0	2-5726267-0	2-9907091-0	2-4512765-3269593	805079-3-0	2-615507-0	2-4910881-0	2-9575693-0	2-2676647-0	2-4677403-0	2-9209047-3269593	2-3279320-0	2-3-2689933	2-6960767-0	2-1345520-0	2-688028-0	2-2603920-0	2-1735912-0	8516739-3-0	2-6635514-0	2-6238446-0	4798419-3-3269593	2-3-1354056	2-3-5014416	2-3-8487284
assemblage-15-2	0	1	8	3	0	1	0	0	0	0	47077	0	0	0	0	0	1454	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	10	0	0	58	0	1	0	9	0	0	0	0	0	1	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-3	3	0	0	0	0	0	0	0	2	3	18768	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1951	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	21	0
assemblage-11-2	0	0	0	0	0	0	0	0	0	1	19456	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-4	0	0	0	0	0	0	0	0	0	0	28170	3	0	0	0	0	970	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	128	0	4	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	23	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	26	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-1	0	0	48	0	2	0	0	0	0	0	19330	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
assemblage-12-1	0	0	0	0	0	0	0	0	0	0	8824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10573	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-12-2	0	0	33	0	0	0	4	0	0	0	19463	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-2-3	0	1	0	0	0	0	0	0	0	0	28245	0	0	0	0	0	916	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	113	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0
assemblage-1-4	0	4	68	0	0	0	0	0	0	0	85002	2	0	0	0	0	977	0	0	0	0	1139	0	0	0	0	15	0	0	7	0	0	0	0	82	125	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	437	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1328	0	0	0	15	0	5	0	2	1	0	0	0	1	59	0	0	0	42	1	1	3	0	0	0	1	6	7	0	0	25	0	0	0	0	32	0	82	0	0	0	0	268	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
assemblage-3-2	0	0	0	0	0	0	0	3	0	0	18158	0	0	0	0	0	0	0	0	0	0	455	0	0	0	0	0	0	0	0	2	0	0	0	52	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
